,0,1,2,3,4
0,0.8,0.6,0.55,0.35,0.55
1,0.8,0.85,0.44999999999999996,0.35,0.5
2,0.8,0.85,0.85,0.35,0.75
3,0.55,0.6,0.55,0.19999999999999996,0.9
4,0.55,0.9,0.55,0.8,0.9
5,0.55,0.95,0.8,0.6,0.85
6,0.8,0.9,0.5,0.8,0.8
7,0.8,0.95,0.9,0.9,1.0
8,0.9,0.9,0.9,0.8,0.9
9,0.8,0.9,0.9,0.9,0.9
10,0.8,0.9,0.7,0.9,0.9
11,0.55,0.85,0.6,0.9,0.55
12,0.8,0.9,0.9,0.9,0.9
13,0.8,0.9,0.7,0.8,0.9
14,0.8,0.9,0.7,0.9,0.75
15,0.8,0.9,0.6,0.8,0.9
16,0.8,0.9,0.9,0.9,0.9
17,0.8,0.9,0.7,0.9,0.9
18,0.8,0.9,0.9,0.9,0.75
19,0.55,0.9,0.9,0.9,0.55
20,0.8,0.9,0.9,0.9,0.9
21,0.8,0.9,0.9,0.8,0.9
22,0.8,0.9,0.7,0.8,0.55
23,0.8,0.9,0.7,0.9,0.9
24,0.8,0.9,0.7,0.9,0.55
25,0.8,0.9,0.6,0.8,0.55
26,0.8,0.9,0.6,0.9,0.9
27,0.55,0.9,0.9,0.8,0.9
28,0.8,0.9,0.9,0.8,0.75
29,0.55,0.9,0.6,0.9,0.75
30,0.8,0.9,0.9,0.7,0.6
31,0.8,0.9,0.9,0.75,0.6
32,0.8,0.9,0.9,0.75,1.0
33,0.8,0.9,0.6,0.75,0.65
34,0.8,0.95,0.9,0.95,1.0
35,0.55,0.9,0.9,0.95,1.0
36,0.8,0.9,0.6,0.95,1.0
37,0.8,0.9,0.9,0.7,1.0
38,0.65,0.95,0.9,0.9,1.0
39,0.8,0.9,0.9,0.7,1.0
40,0.8,0.95,0.9,0.7,0.65
41,0.85,0.9,0.9,0.9,0.65
42,0.85,0.9,0.9,0.9,0.65
43,0.85,0.9,0.9,0.9,1.0
44,0.8,0.9,0.9,0.9,0.85
45,0.85,0.95,0.9,0.9,0.85
46,0.8,0.95,0.9,0.9,1.0
47,0.85,0.95,0.9,0.9,1.0
48,0.8,0.9,0.9,0.9,1.0
49,0.8,0.9,0.9,0.9,1.0
50,0.8,0.95,0.9,0.9,1.0
51,0.8,0.95,0.9,0.9,1.0
52,0.85,0.9,0.9,0.9,1.0
53,0.8,0.95,0.9,0.9,1.0
54,0.85,0.9,0.9,0.9,1.0
55,0.85,0.9,0.9,0.9,1.0
56,0.85,0.95,0.9,0.9,1.0
57,0.85,0.95,0.9,0.85,1.0
58,0.85,0.9,0.9,0.85,1.0
59,0.8,0.95,0.9,0.8,1.0
60,0.8,0.95,0.9,0.85,1.0
61,0.85,0.95,0.9,0.85,1.0
62,0.85,0.9,0.9,0.85,1.0
63,0.85,0.95,0.9,0.9,1.0
64,0.8,0.95,0.85,0.85,1.0
65,0.85,0.9,0.9,0.85,1.0
66,0.85,0.95,0.9,0.85,1.0
67,0.85,0.95,0.85,0.85,1.0
68,0.85,0.95,0.9,0.9,1.0
69,0.8,0.9,0.85,0.85,1.0
70,0.8,0.9,0.85,0.85,1.0
71,0.8,0.9,0.9,0.9,1.0
72,0.8,0.9,0.9,0.85,1.0
73,0.8,0.9,0.9,0.85,1.0
74,0.8,0.95,0.85,0.85,1.0
75,0.85,0.9,0.85,0.85,1.0
76,0.85,0.95,0.9,0.85,1.0
77,0.8,0.9,0.85,0.85,1.0
78,0.8,0.9,0.85,0.9,1.0
79,0.8,0.9,0.9,0.85,1.0
80,0.85,0.9,0.9,0.85,1.0
81,0.85,0.9,0.9,0.9,1.0
82,0.8,0.95,0.85,0.9,1.0
83,0.85,0.95,0.9,0.85,1.0
84,0.85,0.9,0.85,0.95,1.0
85,0.85,0.9,0.9,0.95,1.0
86,0.8,0.95,0.9,0.95,1.0
87,0.8,0.9,0.9,0.95,1.0
88,0.85,0.9,0.85,0.95,1.0
89,0.8,0.95,0.9,0.95,1.0
90,0.8,0.9,0.9,0.95,1.0
91,0.85,0.95,0.9,0.95,1.0
92,0.85,0.95,0.9,0.95,1.0
93,0.85,0.9,0.9,0.95,1.0
94,0.85,0.9,0.9,0.95,1.0
95,0.8,0.95,0.9,0.95,1.0
96,0.85,0.95,0.9,0.95,1.0
97,0.85,0.95,0.9,0.95,1.0
98,0.85,0.9,0.85,0.95,1.0
99,0.85,0.9,0.9,0.95,1.0
