time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 19:16:26.574988,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,0,0.04714687956097374
2025-03-23 19:16:29.543077,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,1,0.025284019444719252
2025-03-23 19:16:32.652127,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,2,0.028857079613369585
2025-03-23 19:16:36.027567,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,3,0.04202828687214022
2025-03-23 19:16:39.384575,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,4,0.05836394272200918
2025-03-23 19:16:42.852214,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,5,0.05061008158139402
2025-03-23 19:16:46.182754,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,6,0.049468523919328655
2025-03-23 19:16:49.519306,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,7,0.05039814020698141
2025-03-23 19:16:52.949928,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,8,0.07061636394482196
2025-03-23 19:16:56.357716,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,9,0.0672779241991166
2025-03-23 19:16:59.845062,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,10,0.06832079165235339
2025-03-23 19:17:03.195837,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,11,0.06438799419793939
2025-03-23 19:17:06.680757,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,12,0.06040442717454708
2025-03-23 19:17:10.103982,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,13,0.05926958679505745
2025-03-23 19:17:13.607059,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,14,0.05233290798301915
2025-03-23 19:17:17.014926,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,15,0.06025631264125331
2025-03-23 19:17:20.468372,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,16,0.06323506258624534
2025-03-23 19:17:23.928704,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,17,0.05888725264366046
2025-03-23 19:17:27.410671,artificial-characters,5NN,tree_depth_unpruned_sampling,0,0,18,0.059056136983996366
