time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 19:44:04.301974,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,0,0.09257016875044066
2025-03-23 19:44:35.480158,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,1,0.0011186704608352471
2025-03-23 19:45:06.489607,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,2,0.0016838180717149154
2025-03-23 19:45:38.110879,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,3,0.0016838180717149154
2025-03-23 19:46:10.330874,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,4,0.022592422006091684
2025-03-23 19:46:45.493431,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,5,0.04584739918794478
2025-03-23 19:47:20.294321,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,6,0.02276944401579928
2025-03-23 19:47:55.174892,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,7,0.020920116888377582
2025-03-23 19:48:25.254951,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,8,0.021452384717531636
2025-03-23 19:48:55.659465,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,9,0.02580251202903483
2025-03-23 19:49:25.761567,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,10,0.024941549136435426
2025-03-23 19:49:56.333568,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,11,0.02281018797898715
2025-03-23 19:50:27.197395,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,12,0.021977651482560256
2025-03-23 19:50:57.536679,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,13,0.023724798817379877
2025-03-23 19:51:28.540312,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,14,0.025392763135487995
2025-03-23 19:51:58.907742,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,15,0.02718728991897712
2025-03-23 19:52:29.213850,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,16,0.025216721628719574
2025-03-23 19:52:58.698619,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,17,0.025623877237408665
2025-03-23 19:53:29.530862,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,18,0.022034183144516772
2025-03-23 19:53:59.672702,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,19,0.02135809151088719
2025-03-23 19:54:30.883299,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,20,0.02092929284186895
2025-03-23 19:55:01.612540,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,21,0.02831074415902035
2025-03-23 19:55:31.990831,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,22,0.029719382720921672
2025-03-23 19:56:03.099021,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,23,0.03941542209108018
2025-03-23 19:56:33.283623,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,24,0.03803785207108201
2025-03-23 19:57:04.053782,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,25,0.03595465322040292
2025-03-23 19:57:34.208382,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,26,0.03460875350973014
2025-03-23 19:58:04.196289,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,27,0.04294578671655347
2025-03-23 19:58:36.215090,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,28,0.05340325480218466
2025-03-23 19:59:06.396567,artificial-characters,GaussianNB,local_set_cardinality_sampling,0,0,29,0.052101130641472815
