time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 21:18:36.444816,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,0,-0.004953998584571684
2025-03-23 21:18:36.453884,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,1,0.0
2025-03-23 21:18:36.462524,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,2,0.033381118165062396
2025-03-23 21:18:36.471129,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,3,-0.06417400683084673
2025-03-23 21:18:36.479700,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,4,-0.06647450909745989
2025-03-23 21:18:36.488201,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,5,-0.07168718320057965
2025-03-23 21:18:36.496807,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,6,-0.004581707110130839
2025-03-23 21:18:36.505274,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,7,-0.0270455323519343
2025-03-23 21:18:36.514869,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,8,-0.0270455323519343
2025-03-23 21:18:36.523869,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,9,-0.0270455323519343
2025-03-23 21:18:36.532497,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,10,-0.02249488752556239
2025-03-23 21:18:36.541245,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,11,-0.04216660953033946
2025-03-23 21:18:36.549692,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,12,-0.015010721944245908
2025-03-23 21:18:36.558279,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,13,-0.015010721944245908
2025-03-23 21:18:36.566744,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,14,-0.005281369513749912
2025-03-23 21:18:36.575400,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,15,-0.017083829956297203
2025-03-23 21:18:36.584043,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,16,-0.017083829956297203
2025-03-23 21:18:36.592613,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,17,-0.017083829956297203
2025-03-23 21:18:36.601261,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,18,-0.010260457774269982
2025-03-23 21:18:36.610086,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,19,-0.010260457774269982
2025-03-23 21:18:36.618676,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,20,-0.0359034726309595
2025-03-23 21:18:36.627259,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,21,-0.01900842641583389
2025-03-23 21:18:36.636038,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,22,-0.01900842641583389
2025-03-23 21:18:36.644869,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,23,0.0029211295034079487
2025-03-23 21:18:36.653521,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,24,0.0038910505836575737
2025-03-23 21:18:36.662266,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,25,0.05682257441051408
2025-03-23 21:18:36.670975,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,26,0.013916500994035741
2025-03-23 21:18:36.679815,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,27,-0.050687461522676
2025-03-23 21:18:36.688816,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,28,-0.04703476482617597
2025-03-23 21:18:36.697631,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,29,-0.08198085726175619
2025-03-23 21:18:36.706215,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,30,-0.08198085726175619
2025-03-23 21:18:36.715142,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,31,-0.05480016481252559
2025-03-23 21:18:36.724081,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,32,-0.058507339259871616
2025-03-23 21:18:36.732914,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,33,-0.07150216361013806
2025-03-23 21:18:36.741591,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,34,-0.040033016921172004
2025-03-23 21:18:36.750308,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,35,-0.03161397670549104
2025-03-23 21:18:36.759003,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,36,-0.025428984908000718
2025-03-23 21:18:36.768099,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,37,-0.025428984908000718
2025-03-23 21:18:36.776946,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,38,-0.039396479463537526
2025-03-23 21:18:36.785635,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,39,-0.039396479463537526
2025-03-23 21:18:36.794286,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,40,-0.039396479463537526
2025-03-23 21:18:36.803032,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,41,-0.011398963730570033
2025-03-23 21:18:36.811727,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,42,-0.02162718846549949
2025-03-23 21:18:36.820356,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,43,-0.02162718846549949
2025-03-23 21:18:36.829055,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,44,-0.002627855265817658
2025-03-23 21:18:36.837727,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,45,0.14421553090332806
2025-03-23 21:18:36.846450,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,46,0.13232104121475063
2025-03-23 21:18:36.855195,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,47,0.1344419955920657
2025-03-23 21:18:36.863729,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,48,0.13738019169329074
2025-03-23 21:18:36.872246,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,49,0.13163607657390952
2025-03-23 21:18:36.880803,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,50,0.13129318854886463
2025-03-23 21:18:36.889255,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,51,0.06719367588932801
2025-03-23 21:18:36.897761,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,52,0.03633184379250054
2025-03-23 21:18:36.906290,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,53,0.044635865309318734
2025-03-23 21:18:36.914884,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,54,0.02992372384118913
2025-03-23 21:18:36.923500,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,55,0.016968987712112416
2025-03-23 21:18:36.932128,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,56,0.019264448336252182
2025-03-23 21:18:36.941153,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,57,0.018118059614260607
2025-03-23 21:18:36.950713,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,58,0.03238392508778776
2025-03-23 21:18:36.959258,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,59,0.03483167931504183
2025-03-23 21:18:36.967779,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,60,0.017352310391889447
2025-03-23 21:18:36.976357,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,61,0.015047879616962967
2025-03-23 21:18:36.984970,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,62,0.017926734216679785
2025-03-23 21:18:36.993561,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,63,-0.0038610038610038533
2025-03-23 21:18:37.001979,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,64,0.018309310479158736
2025-03-23 21:18:37.011024,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,65,0.0258987243911869
2025-03-23 21:18:37.019768,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,66,0.03132807995387288
2025-03-23 21:18:37.028494,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,67,0.03132807995387288
2025-03-23 21:18:37.037114,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,68,0.03225806451612889
2025-03-23 21:18:37.045614,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,69,0.025898724391186678
2025-03-23 21:18:37.054026,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,70,0.02646320262700419
2025-03-23 21:18:37.062844,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,71,0.050768333009142186
2025-03-23 21:18:37.071490,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,72,0.0590050134978789
2025-03-23 21:18:37.081306,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,73,0.046887009992313544
2025-03-23 21:18:37.089849,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,74,0.02646320262700419
2025-03-23 21:18:37.098320,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,75,0.008012209080503707
2025-03-23 21:18:37.107014,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,76,0.021219652074173423
2025-03-23 21:18:37.116072,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,77,0.0009460737937558861
2025-03-23 21:18:37.125117,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,78,-0.003039513677811634
2025-03-23 21:18:37.134373,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,79,0.011970359110773265
2025-03-23 21:18:37.143521,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,80,0.02065799540933444
2025-03-23 21:18:37.152498,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,81,0.017384731670446074
2025-03-23 21:18:37.161370,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,82,0.0035855821853181258
2025-03-23 21:18:37.170380,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,83,0.017755950132225307
2025-03-23 21:18:37.179070,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,84,-0.004497751124437732
2025-03-23 21:18:37.187638,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,85,0.023107270336276464
2025-03-23 21:18:37.196199,autoUniv-au6-cd1-400,GaussianNB,minority_value_sampling,0,0,86,-0.004309537193179613
