time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 21:29:10.154579,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,0,0.0
2025-03-23 21:29:10.172117,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,1,-0.015045135406218879
2025-03-23 21:29:10.191889,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,2,0.02039728036261823
2025-03-23 21:29:10.217847,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,3,0.023553437712729774
2025-03-23 21:29:10.243637,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,4,0.050865512649800326
2025-03-23 21:29:10.269190,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,5,0.04862356291530423
2025-03-23 21:29:10.297881,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,6,0.04934003771213069
2025-03-23 21:29:10.328989,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,7,0.0459921156373192
2025-03-23 21:29:10.358076,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,8,0.02781388094619186
2025-03-23 21:29:10.386439,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,9,0.052911709455228606
2025-03-23 21:29:10.414965,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,10,0.044979079497907914
2025-03-23 21:29:10.442577,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,11,0.04793988079813427
2025-03-23 21:29:10.469866,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,12,0.05608861845697777
2025-03-23 21:29:10.498294,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,13,0.06678392219750662
2025-03-23 21:29:10.526115,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,14,0.056501408014054344
2025-03-23 21:29:10.554370,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,15,0.039971080355298505
2025-03-23 21:29:10.585553,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,16,0.08073252514831053
2025-03-23 21:29:10.615515,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,17,0.06847464671654202
2025-03-23 21:29:10.645779,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,18,0.07584597432905493
2025-03-23 21:29:10.675294,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,19,0.10115846090194458
2025-03-23 21:29:10.707929,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,20,0.0884525310754819
2025-03-23 21:29:10.739029,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,21,0.06043014602460173
2025-03-23 21:29:10.770505,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,22,0.05963654978244182
2025-03-23 21:29:10.801998,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,23,0.05835917676910074
2025-03-23 21:29:10.832438,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,24,0.047545855108105384
2025-03-23 21:29:10.863586,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,25,0.060022650056625215
2025-03-23 21:29:10.894806,autoUniv-au7-300-drift-au7-cpd1-800,5NN,class_likelihood_sampling,0,0,26,0.08141962421711912
