time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 21:41:50.896548,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,0,0.0598050003838575
2025-03-23 21:41:50.928370,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,1,0.01379093738400472
2025-03-23 21:41:50.933757,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,2,0.0
2025-03-23 21:41:50.948902,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,3,0.025000000000000022
2025-03-23 21:41:50.970172,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,4,-0.003427859146151624
2025-03-23 21:41:50.990196,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,5,-0.010289990645462987
2025-03-23 21:41:51.009620,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,6,-0.015260043600124673
2025-03-23 21:41:51.028690,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,7,-0.04486785494775658
2025-03-23 21:41:51.047282,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,8,-0.03855721393034828
2025-03-23 21:41:51.066815,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,9,-0.038880248833592645
2025-03-23 21:41:51.086680,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,10,-0.027077497665732864
2025-03-23 21:41:51.106182,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,11,-0.0375893134513825
2025-03-23 21:41:51.126308,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,12,-0.013431013431013383
2025-03-23 21:41:51.148133,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,13,-0.0185467550109506
2025-03-23 21:41:51.180099,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,14,-0.0185467550109506
2025-03-23 21:41:51.212927,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,15,-0.0020980565371024884
2025-03-23 21:41:51.246603,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,16,0.019721099100585837
2025-03-23 21:41:51.283704,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,17,0.007946327916632301
2025-03-23 21:41:51.320572,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,18,0.007455090643998741
2025-03-23 21:41:51.355967,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,19,0.013889657462232252
2025-03-23 21:41:51.388855,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,20,0.007373170463299439
2025-03-23 21:41:51.425849,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,21,0.007373170463299439
2025-03-23 21:41:51.464143,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,22,0.017107987359703536
2025-03-23 21:41:51.502070,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,23,0.011491748815424141
2025-03-23 21:41:51.543409,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,24,0.011491748815424141
2025-03-23 21:41:51.585378,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,25,0.011491748815424141
2025-03-23 21:41:51.626846,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,26,0.011491748815424141
2025-03-23 21:41:51.668873,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,27,0.011491748815424141
2025-03-23 21:41:51.710566,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,28,0.011491748815424141
2025-03-23 21:41:51.752546,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,29,0.011491748815424141
2025-03-23 21:41:51.792726,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,30,0.011491748815424141
2025-03-23 21:41:51.833102,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,31,0.011491748815424141
2025-03-23 21:41:51.872016,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,32,0.00013607293509310114
2025-03-23 21:41:51.911103,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,33,0.005771534356963981
2025-03-23 21:41:51.952352,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,34,0.005771534356963981
2025-03-23 21:41:51.991746,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,35,0.005771534356963981
2025-03-23 21:41:52.031501,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,36,0.005771534356963981
2025-03-23 21:41:52.070419,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,37,0.005771534356963981
2025-03-23 21:41:52.109075,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,38,0.005771534356963981
2025-03-23 21:41:52.148159,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,39,0.005771534356963981
2025-03-23 21:41:52.187578,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,40,0.005771534356963981
2025-03-23 21:41:52.226549,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,41,0.01820039250477201
2025-03-23 21:41:52.264143,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,42,0.0018474244729407285
2025-03-23 21:41:52.296962,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,43,0.002010104851415062
2025-03-23 21:41:52.330354,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,44,-0.014426317918295739
2025-03-23 21:41:52.367297,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,45,-0.014426317918295739
2025-03-23 21:41:52.410033,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,46,-0.014426317918295739
2025-03-23 21:41:52.451088,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,47,-0.008140600571459489
2025-03-23 21:41:52.488574,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,48,-0.013960717061014538
2025-03-23 21:41:52.526647,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,49,-0.02092274678111572
2025-03-23 21:41:52.563511,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,50,-0.02646609283243495
2025-03-23 21:41:52.600369,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,51,-0.02754066677403766
2025-03-23 21:41:52.636819,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,52,-0.027182225561488638
2025-03-23 21:41:52.674135,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,53,-0.011943189154292932
2025-03-23 21:41:52.711729,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,54,-0.011943189154292932
2025-03-23 21:41:52.749031,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,55,-0.024495289367429285
2025-03-23 21:41:52.785894,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,56,-0.024495289367429285
2025-03-23 21:41:52.823033,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,57,-0.024495289367429285
2025-03-23 21:41:52.859995,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,58,-0.024495289367429285
2025-03-23 21:41:52.900719,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,59,-0.024495289367429285
2025-03-23 21:41:52.939402,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,60,-0.024495289367429285
2025-03-23 21:41:52.976709,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,61,-0.017778853653944493
2025-03-23 21:41:53.013386,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,62,-0.017778853653944493
2025-03-23 21:41:53.049811,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,63,-0.017778853653944493
2025-03-23 21:41:53.087030,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,64,-0.01849110435227308
2025-03-23 21:41:53.123844,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,65,-0.01849110435227308
2025-03-23 21:41:53.161966,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,66,-0.018847603661820145
2025-03-23 21:41:53.199817,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,67,-0.018847603661820145
2025-03-23 21:41:53.237687,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,68,-0.018847603661820145
2025-03-23 21:41:53.276278,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,69,-0.018847603661820145
2025-03-23 21:41:53.314069,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,70,0.04699014765313403
2025-03-23 21:41:53.350054,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,71,0.04699014765313403
2025-03-23 21:41:53.387722,autoUniv-au7-300-drift-au7-cpd1-800,GaussianNB,class_likelihood_sampling,0,0,72,0.04699014765313403
