time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 22:18:04.412883,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,0,0.12344777209642077
2025-03-23 22:18:06.575139,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,1,0.013273816515916748
2025-03-23 22:18:08.737382,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,2,0.05521472392638038
2025-03-23 22:18:10.904713,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,3,0.06364821619058914
2025-03-23 22:18:13.080404,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,4,0.0346038114343028
2025-03-23 22:18:15.254917,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,5,-0.02351651029608881
2025-03-23 22:18:17.442271,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,6,0.011316259678379903
2025-03-23 22:18:19.626825,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,7,0.019233218698254895
2025-03-23 22:18:21.808182,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,8,-0.02127659574468077
2025-03-23 22:18:23.974642,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,9,-0.01073910296904601
2025-03-23 22:18:26.149839,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,10,0.07578558225508314
2025-03-23 22:18:28.354810,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,11,0.15153122099960215
2025-03-23 22:18:30.666120,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,12,0.07950907150480269
2025-03-23 22:18:32.891685,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,13,-0.014771997430957029
2025-03-23 22:18:35.100605,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,14,0.00935608145294431
2025-03-23 22:18:37.301051,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,15,0.005112615724747638
2025-03-23 22:18:39.517657,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,16,0.00935608145294431
2025-03-23 22:18:41.731202,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,17,0.06670326653856706
2025-03-23 22:18:43.949298,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,18,0.07053034445051931
2025-03-23 22:18:46.359446,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,19,0.09017928819909027
2025-03-23 22:18:48.639906,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,20,0.08663160808192627
2025-03-23 22:18:50.900360,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,21,0.08536585365853655
2025-03-23 22:18:53.182149,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,22,0.0777701307639368
2025-03-23 22:18:55.420267,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,23,0.10087103118853602
2025-03-23 22:18:57.669930,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,24,0.09596662030598058
2025-03-23 22:18:59.927617,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,25,0.02620650150365167
2025-03-23 22:19:02.163733,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,26,-0.004626569729015095
2025-03-23 22:19:04.469949,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,27,0.13920645595158032
2025-03-23 22:19:06.780783,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,28,0.12422527620587442
2025-03-23 22:19:09.100700,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,29,0.039912220545878396
2025-03-23 22:19:11.434170,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,30,0.02818270165208947
2025-03-23 22:19:13.759041,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,31,0.04006677796327207
2025-03-23 22:19:16.022659,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,32,0.04984852657670047
2025-03-23 22:19:18.273144,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,33,0.013246823465801638
2025-03-23 22:19:20.518458,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,34,0.0021574973031283085
2025-03-23 22:19:22.775650,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,35,0.0231500066907534
2025-03-23 22:19:25.045341,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,36,0.010562909479877036
2025-03-23 22:19:27.344328,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,37,0.015110631408526753
2025-03-23 22:19:29.634489,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,38,-0.000811468758452838
2025-03-23 22:19:31.951660,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,39,-0.031353135313531455
2025-03-23 22:19:34.269982,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,40,-0.03717672413793083
2025-03-23 22:19:36.576059,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,41,0.0026954177897574594
2025-03-23 22:19:38.932966,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,42,-0.0032537960954448497
2025-03-23 22:19:41.267018,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,43,0.0076438245943407646
2025-03-23 22:19:43.601850,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,44,-0.05676737569435031
2025-03-23 22:19:45.936208,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,45,-0.011279657720731251
2025-03-23 22:19:48.309966,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,46,0.008738750489109215
2025-03-23 22:19:50.720485,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,47,-0.04562737642585568
2025-03-23 22:19:53.098375,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,48,-0.04790419161676662
2025-03-23 22:19:55.508745,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,49,-0.07453754080522312
2025-03-23 22:19:57.893725,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,50,-0.02683461117196062
2025-03-23 22:20:00.279448,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,51,-0.047191622467020355
2025-03-23 22:20:02.670897,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,52,-0.003204681621847616
2025-03-23 22:20:05.100777,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,53,-0.04928896865939514
2025-03-23 22:20:07.526807,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,54,0.13020206075204077
2025-03-23 22:20:09.986786,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,55,0.1099548130905108
2025-03-23 22:20:12.397707,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,56,0.0998253392449282
2025-03-23 22:20:14.757806,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,57,0.06103286384976536
2025-03-23 22:20:17.114621,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,58,0.07270528154817901
2025-03-23 22:20:19.473590,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,59,0.061607507139942896
2025-03-23 22:20:21.827014,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,60,0.09861428763621682
2025-03-23 22:20:24.406014,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,61,0.10529938059187893
2025-03-23 22:20:26.844220,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,62,0.0528281750266808
2025-03-23 22:20:29.298260,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,63,0.0947743793718282
2025-03-23 22:20:31.752482,autoUniv-au7-cpd1-500,DecisionTree,expected_error_reduction,0,0,64,0.06823787338996967
