time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 22:28:44.714086,balance-scale,DecisionTree,margin_sampling,0,0,0,0.28515085781897054
2025-03-23 22:28:44.716727,balance-scale,DecisionTree,margin_sampling,0,0,1,0.06338152327221447
2025-03-23 22:28:44.719187,balance-scale,DecisionTree,margin_sampling,0,0,2,0.27016328550222657
2025-03-23 22:28:44.721616,balance-scale,DecisionTree,margin_sampling,0,0,3,0.1451367781155014
2025-03-23 22:28:44.724070,balance-scale,DecisionTree,margin_sampling,0,0,4,0.30548410330280884
2025-03-23 22:28:44.726606,balance-scale,DecisionTree,margin_sampling,0,0,5,0.23376623376623373
2025-03-23 22:28:44.729023,balance-scale,DecisionTree,margin_sampling,0,0,6,0.28515085781897054
2025-03-23 22:28:44.731447,balance-scale,DecisionTree,margin_sampling,0,0,7,0.30548410330280884
2025-03-23 22:28:44.733859,balance-scale,DecisionTree,margin_sampling,0,0,8,0.23376623376623373
2025-03-23 22:28:44.736390,balance-scale,DecisionTree,margin_sampling,0,0,9,0.11304432348367033
2025-03-23 22:28:44.738795,balance-scale,DecisionTree,margin_sampling,0,0,10,0.23376623376623373
2025-03-23 22:28:44.741202,balance-scale,DecisionTree,margin_sampling,0,0,11,0.11304432348367033
2025-03-23 22:28:44.743586,balance-scale,DecisionTree,margin_sampling,0,0,12,0.30548410330280884
2025-03-23 22:28:44.745989,balance-scale,DecisionTree,margin_sampling,0,0,13,0.3096696455467416
2025-03-23 22:28:44.748374,balance-scale,DecisionTree,margin_sampling,0,0,14,0.11304432348367033
2025-03-23 22:28:44.750741,balance-scale,DecisionTree,margin_sampling,0,0,15,0.11304432348367033
2025-03-23 22:28:44.753103,balance-scale,DecisionTree,margin_sampling,0,0,16,0.2397364419665483
2025-03-23 22:28:44.755475,balance-scale,DecisionTree,margin_sampling,0,0,17,0.3096696455467416
2025-03-23 22:28:44.757819,balance-scale,DecisionTree,margin_sampling,0,0,18,0.2397364419665483
2025-03-23 22:28:44.760295,balance-scale,DecisionTree,margin_sampling,0,0,19,0.11304432348367033
2025-03-23 22:28:44.762670,balance-scale,DecisionTree,margin_sampling,0,0,20,0.11944869831546712
2025-03-23 22:28:44.765037,balance-scale,DecisionTree,margin_sampling,0,0,21,0.25115730235091216
2025-03-23 22:28:44.767426,balance-scale,DecisionTree,margin_sampling,0,0,22,0.18596237337192467
2025-03-23 22:28:44.769924,balance-scale,DecisionTree,margin_sampling,0,0,23,0.3323159099580314
2025-03-23 22:28:44.772308,balance-scale,DecisionTree,margin_sampling,0,0,24,0.12091424918085203
2025-03-23 22:28:44.774677,balance-scale,DecisionTree,margin_sampling,0,0,25,0.16905179577139684
2025-03-23 22:28:44.777039,balance-scale,DecisionTree,margin_sampling,0,0,26,0.17865388030545204
2025-03-23 22:28:44.779416,balance-scale,DecisionTree,margin_sampling,0,0,27,0.14607898184540524
2025-03-23 22:28:44.781848,balance-scale,DecisionTree,margin_sampling,0,0,28,0.24341773428830826
2025-03-23 22:28:44.784241,balance-scale,DecisionTree,margin_sampling,0,0,29,0.24341773428830826
2025-03-23 22:28:44.786611,balance-scale,DecisionTree,margin_sampling,0,0,30,0.11716331269349833
2025-03-23 22:28:44.788996,balance-scale,DecisionTree,margin_sampling,0,0,31,0.3129809133606475
2025-03-23 22:28:44.791398,balance-scale,DecisionTree,margin_sampling,0,0,32,0.3129809133606475
2025-03-23 22:28:44.793777,balance-scale,DecisionTree,margin_sampling,0,0,33,0.3129809133606475
2025-03-23 22:28:44.796176,balance-scale,DecisionTree,margin_sampling,0,0,34,0.2929050814956855
2025-03-23 22:28:44.798560,balance-scale,DecisionTree,margin_sampling,0,0,35,0.3129809133606475
2025-03-23 22:28:44.800937,balance-scale,DecisionTree,margin_sampling,0,0,36,0.11716331269349833
2025-03-23 22:28:44.803348,balance-scale,DecisionTree,margin_sampling,0,0,37,0.24341773428830826
2025-03-23 22:28:44.805743,balance-scale,DecisionTree,margin_sampling,0,0,38,0.11716331269349833
2025-03-23 22:28:44.808124,balance-scale,DecisionTree,margin_sampling,0,0,39,0.24341773428830826
2025-03-23 22:28:44.810437,balance-scale,DecisionTree,margin_sampling,0,0,40,0.3129809133606475
2025-03-23 22:28:44.812758,balance-scale,DecisionTree,margin_sampling,0,0,41,0.2929050814956855
2025-03-23 22:28:44.815158,balance-scale,DecisionTree,margin_sampling,0,0,42,0.2351010996807379
2025-03-23 22:28:44.817496,balance-scale,DecisionTree,margin_sampling,0,0,43,0.20123869445536768
2025-03-23 22:28:44.819887,balance-scale,DecisionTree,margin_sampling,0,0,44,0.20123869445536768
2025-03-23 22:28:44.822243,balance-scale,DecisionTree,margin_sampling,0,0,45,0.2427251961465886
2025-03-23 22:28:44.824558,balance-scale,DecisionTree,margin_sampling,0,0,46,0.20994416938797011
2025-03-23 22:28:44.826918,balance-scale,DecisionTree,margin_sampling,0,0,47,0.17702151335311567
2025-03-23 22:28:44.829292,balance-scale,DecisionTree,margin_sampling,0,0,48,0.10323301965899567
2025-03-23 22:28:44.831653,balance-scale,DecisionTree,margin_sampling,0,0,49,0.13871719525787818
2025-03-23 22:28:44.834039,balance-scale,DecisionTree,margin_sampling,0,0,50,0.14692894419911673
2025-03-23 22:28:44.836415,balance-scale,DecisionTree,margin_sampling,0,0,51,0.14555231498359456
2025-03-23 22:28:44.838755,balance-scale,DecisionTree,margin_sampling,0,0,52,0.13801029790364105
2025-03-23 22:28:44.841103,balance-scale,DecisionTree,margin_sampling,0,0,53,0.1386299148763681
