time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 22:34:54.847745,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,0,0.3510129288404764
2025-03-23 22:34:54.996153,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,1,0.08820558859836158
2025-03-23 22:34:55.149588,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,2,-0.32730455075845977
2025-03-23 22:34:55.294133,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,3,0.08694627709707814
2025-03-23 22:34:55.441865,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,4,0.08794162826420893
2025-03-23 22:34:55.596112,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,5,0.136569962502467
2025-03-23 22:34:55.743352,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,6,0.1811375688884268
2025-03-23 22:34:55.891220,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,7,0.18512003311258274
2025-03-23 22:34:56.039581,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,8,0.5212885785086732
2025-03-23 22:34:56.182208,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,9,0.5147293902717516
2025-03-23 22:34:56.332389,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,10,0.5981168905729705
2025-03-23 22:34:56.479970,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,11,0.6414639743001376
2025-03-23 22:34:56.627708,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,12,0.6519721577726219
2025-03-23 22:34:56.781863,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,13,0.6607669616519174
2025-03-23 22:34:56.926115,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,14,0.6460594620103822
2025-03-23 22:34:57.071814,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,15,0.6886859582542695
2025-03-23 22:34:57.223221,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,16,0.6811224489795918
2025-03-23 22:34:57.365396,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,17,0.7085227935175469
2025-03-23 22:34:57.505277,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,18,0.6939846117976218
2025-03-23 22:34:57.655144,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,19,0.605954465849387
2025-03-23 22:34:57.799049,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,20,0.5890089243776421
2025-03-23 22:34:57.943360,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,21,0.6036406341749854
2025-03-23 22:34:58.096613,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,22,0.6936632045746294
2025-03-23 22:34:58.236725,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,23,0.7099094917614297
2025-03-23 22:34:58.375902,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,24,0.7131053477163185
2025-03-23 22:34:58.519047,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,25,0.7181343460716829
2025-03-23 22:34:58.660565,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,26,0.6883903133903133
2025-03-23 22:34:58.804062,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,27,0.6476805637110981
2025-03-23 22:34:58.946624,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,28,0.6918290678563043
2025-03-23 22:34:59.083969,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,29,0.668013856812933
2025-03-23 22:34:59.222617,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,30,0.6391454965357968
2025-03-23 22:34:59.361520,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,31,0.653619674402494
2025-03-23 22:34:59.501440,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,32,0.6681671283471837
2025-03-23 22:34:59.642297,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,33,0.668205424120023
2025-03-23 22:34:59.784641,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,34,0.668396770472895
2025-03-23 22:34:59.924873,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,35,0.6394369447328949
2025-03-23 22:35:00.065717,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,36,0.6539393240281464
2025-03-23 22:35:00.200719,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,37,0.6228385749100616
2025-03-23 22:35:00.338710,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,38,0.6374709976798144
2025-03-23 22:35:00.477625,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,39,0.658956109134045
2025-03-23 22:35:00.617134,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,40,0.7642343510550513
2025-03-23 22:35:00.759756,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,41,0.7494399245372008
2025-03-23 22:35:00.895972,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,42,0.7331910352187834
2025-03-23 22:35:01.033294,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,43,0.7034049116146637
2025-03-23 22:35:01.172449,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,44,0.7035807446051696
2025-03-23 22:35:01.310154,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,45,0.792654028436019
2025-03-23 22:35:01.445405,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,46,0.7630050953904491
2025-03-23 22:35:01.585318,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,47,0.7331910352187834
2025-03-23 22:35:01.724046,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,48,0.6956168831168832
2025-03-23 22:35:01.861773,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,49,0.777790945721735
2025-03-23 22:35:01.998530,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,50,0.780239099859353
2025-03-23 22:35:02.134963,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,51,0.7655608955573789
2025-03-23 22:35:02.270600,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,52,0.7777119146413752
2025-03-23 22:35:02.413406,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,53,0.7681159420289855
2025-03-23 22:35:02.550036,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,54,0.7377316703578506
2025-03-23 22:35:02.683181,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,55,0.781366604477612
2025-03-23 22:35:02.819667,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,56,0.7549584870848709
2025-03-23 22:35:02.953879,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,57,0.7214729682185997
2025-03-23 22:35:03.086245,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,58,0.7925065212236186
2025-03-23 22:35:03.220926,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,59,0.7290668491900525
2025-03-23 22:35:03.353863,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,60,0.7420316441183215
2025-03-23 22:35:03.486428,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,61,0.7361322856807786
2025-03-23 22:35:03.621593,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,62,0.7655608955573789
2025-03-23 22:35:03.753321,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,63,0.7926048826736193
2025-03-23 22:35:03.885089,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,64,0.8075100687040986
2025-03-23 22:35:04.014681,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,65,0.7777382645803699
2025-03-23 22:35:04.144841,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,66,0.7926785925838171
2025-03-23 22:35:04.275773,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,67,0.7926785925838171
2025-03-23 22:35:04.405989,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,68,0.8222748815165877
2025-03-23 22:35:04.535885,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,69,0.822316986496091
2025-03-23 22:35:04.665795,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,70,0.822316986496091
2025-03-23 22:35:04.793521,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,71,0.8371046084587134
2025-03-23 22:35:04.920964,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,72,0.822316986496091
2025-03-23 22:35:05.050722,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,73,0.8085758039816233
2025-03-23 22:35:05.177852,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,74,0.8232799245994344
2025-03-23 22:35:05.306251,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,75,0.8370853080568721
2025-03-23 22:35:05.435109,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,76,0.8222538215428368
2025-03-23 22:35:05.561398,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,77,0.8370660030809338
2025-03-23 22:35:05.688219,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,78,0.8518255097202465
2025-03-23 22:35:05.814917,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,79,0.8222538215428368
2025-03-23 22:35:05.942257,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,80,0.8369887374036752
2025-03-23 22:35:06.067742,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,81,0.8369887374036752
2025-03-23 22:35:06.194386,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,82,0.852646469409407
2025-03-23 22:35:06.321264,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,83,0.8369887374036752
2025-03-23 22:35:06.445623,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,84,0.8518255097202465
2025-03-23 22:35:06.570926,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,85,0.8518430721820552
2025-03-23 22:35:06.703133,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,86,0.8073959938366718
2025-03-23 22:35:06.827795,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,87,0.80744164000474
2025-03-23 22:35:06.952875,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,88,0.8073046365468991
2025-03-23 22:35:07.085839,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,89,0.8370466935292723
2025-03-23 22:35:07.211141,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,90,0.8095405532114393
2025-03-23 22:35:07.334456,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,91,0.8518781846190306
2025-03-23 22:35:07.457143,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,92,0.8370660030809338
2025-03-23 22:35:07.580136,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,93,0.792654028436019
2025-03-23 22:35:07.701265,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,94,0.7777119146413752
2025-03-23 22:35:07.822106,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,95,0.7495580436063641
2025-03-23 22:35:07.946644,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,96,0.7629770087698506
2025-03-23 22:35:08.067202,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,97,0.777790945721735
2025-03-23 22:35:08.189083,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,98,0.777790945721735
2025-03-23 22:35:08.312388,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,99,0.7629489154912884
2025-03-23 22:35:08.433239,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,0,100,0.7629208155523945
2025-03-23 22:35:08.436478,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,0,-0.06203296140853709
2025-03-23 22:35:08.589519,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,1,0.07730161984826733
2025-03-23 22:35:08.742292,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,2,0.10265613783201721
2025-03-23 22:35:08.892070,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,3,0.10265613783201721
2025-03-23 22:35:09.045201,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,4,0.10265613783201721
2025-03-23 22:35:09.194100,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,5,0.10265613783201721
2025-03-23 22:35:09.342253,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,6,0.10265613783201721
2025-03-23 22:35:09.492423,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,7,0.10265613783201721
2025-03-23 22:35:09.637222,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,8,0.08533443264969587
2025-03-23 22:35:09.780621,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,9,0.08533443264969587
2025-03-23 22:35:09.929952,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,10,0.08533443264969587
2025-03-23 22:35:10.077312,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,11,0.1022171333402726
2025-03-23 22:35:10.232496,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,12,0.11078564703420857
2025-03-23 22:35:10.380349,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,13,0.11078564703420857
2025-03-23 22:35:10.526320,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,14,0.13765225827314875
2025-03-23 22:35:10.674285,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,15,0.13765225827314875
2025-03-23 22:35:10.821338,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,16,0.13765225827314875
2025-03-23 22:35:10.966707,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,17,0.13765225827314875
2025-03-23 22:35:11.114230,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,18,0.11078564703420857
2025-03-23 22:35:11.260039,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,19,0.11078564703420857
2025-03-23 22:35:11.404135,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,20,0.11078564703420857
2025-03-23 22:35:11.548228,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,21,0.11078564703420857
2025-03-23 22:35:11.694458,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,22,0.11078564703420857
2025-03-23 22:35:11.839144,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,23,0.11078564703420857
2025-03-23 22:35:11.981288,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,24,0.11078564703420857
2025-03-23 22:35:12.124913,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,25,0.11078564703420857
2025-03-23 22:35:12.268999,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,26,0.11078564703420857
2025-03-23 22:35:12.411697,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,27,0.11078564703420857
2025-03-23 22:35:12.555457,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,28,0.24437727798026487
2025-03-23 22:35:12.700667,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,29,0.26854519265394317
2025-03-23 22:35:12.842626,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,30,0.36472001478469784
2025-03-23 22:35:12.986460,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,31,0.36746710828963103
2025-03-23 22:35:13.129599,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,32,0.3708640134215677
2025-03-23 22:35:13.274803,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,33,0.5104930213876895
2025-03-23 22:35:13.418653,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,34,0.5217166494312306
2025-03-23 22:35:13.560219,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,35,0.5240790286067092
2025-03-23 22:35:13.704143,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,36,0.49036795433696867
2025-03-23 22:35:13.842583,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,37,0.490316004077472
2025-03-23 22:35:13.984193,balance-scale,GaussianNB,tree_depth_unpruned_sampling,0,1,38,0.5765952797202798
