time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 23:50:57.562364,bupa,GaussianNB,f1_sampling,0,0,0,0.0
2025-03-23 23:50:57.566572,bupa,GaussianNB,f1_sampling,0,0,1,0.12658227848101256
2025-03-23 23:50:57.576067,bupa,GaussianNB,f1_sampling,0,0,2,0.09869375907111766
2025-03-23 23:50:57.585535,bupa,GaussianNB,f1_sampling,0,0,3,0.10803324099722988
2025-03-23 23:50:57.594926,bupa,GaussianNB,f1_sampling,0,0,4,0.061884669479606136
2025-03-23 23:50:57.604422,bupa,GaussianNB,f1_sampling,0,0,5,0.2924654480606331
2025-03-23 23:50:57.613844,bupa,GaussianNB,f1_sampling,0,0,6,0.2924654480606331
2025-03-23 23:50:57.623264,bupa,GaussianNB,f1_sampling,0,0,7,0.20408163265306112
2025-03-23 23:50:57.632647,bupa,GaussianNB,f1_sampling,0,0,8,0.20408163265306112
2025-03-23 23:50:57.642087,bupa,GaussianNB,f1_sampling,0,0,9,0.20408163265306112
2025-03-23 23:50:57.651639,bupa,GaussianNB,f1_sampling,0,0,10,0.20408163265306112
2025-03-23 23:50:57.661105,bupa,GaussianNB,f1_sampling,0,0,11,0.20408163265306112
2025-03-23 23:50:57.670642,bupa,GaussianNB,f1_sampling,0,0,12,0.196236559139785
2025-03-23 23:50:57.680117,bupa,GaussianNB,f1_sampling,0,0,13,0.196236559139785
2025-03-23 23:50:57.689814,bupa,GaussianNB,f1_sampling,0,0,14,0.196236559139785
2025-03-23 23:50:57.699665,bupa,GaussianNB,f1_sampling,0,0,15,0.22332282755515542
2025-03-23 23:50:57.709352,bupa,GaussianNB,f1_sampling,0,0,16,0.22332282755515542
2025-03-23 23:50:57.718981,bupa,GaussianNB,f1_sampling,0,0,17,0.22332282755515542
2025-03-23 23:50:57.728659,bupa,GaussianNB,f1_sampling,0,0,18,0.22332282755515542
2025-03-23 23:50:57.738279,bupa,GaussianNB,f1_sampling,0,0,19,0.2506787330316742
2025-03-23 23:50:57.747756,bupa,GaussianNB,f1_sampling,0,0,20,0.2506787330316742
2025-03-23 23:50:57.757278,bupa,GaussianNB,f1_sampling,0,0,21,0.2506787330316742
2025-03-23 23:50:57.766719,bupa,GaussianNB,f1_sampling,0,0,22,0.2506787330316742
2025-03-23 23:50:57.776234,bupa,GaussianNB,f1_sampling,0,0,23,0.2506787330316742
2025-03-23 23:50:57.785652,bupa,GaussianNB,f1_sampling,0,0,24,0.2506787330316742
2025-03-23 23:50:57.795108,bupa,GaussianNB,f1_sampling,0,0,25,0.2506787330316742
2025-03-23 23:50:57.804596,bupa,GaussianNB,f1_sampling,0,0,26,0.2506787330316742
2025-03-23 23:50:57.814098,bupa,GaussianNB,f1_sampling,0,0,27,0.2506787330316742
2025-03-23 23:50:57.823758,bupa,GaussianNB,f1_sampling,0,0,28,0.2506787330316742
2025-03-23 23:50:57.833435,bupa,GaussianNB,f1_sampling,0,0,29,0.2506787330316742
2025-03-23 23:50:57.843090,bupa,GaussianNB,f1_sampling,0,0,30,0.2506787330316742
2025-03-23 23:50:57.852763,bupa,GaussianNB,f1_sampling,0,0,31,0.2506787330316742
2025-03-23 23:50:57.862574,bupa,GaussianNB,f1_sampling,0,0,32,0.2506787330316742
2025-03-23 23:50:57.872271,bupa,GaussianNB,f1_sampling,0,0,33,0.2506787330316742
2025-03-23 23:50:57.881832,bupa,GaussianNB,f1_sampling,0,0,34,0.2506787330316742
2025-03-23 23:50:57.891354,bupa,GaussianNB,f1_sampling,0,0,35,0.2506787330316742
2025-03-23 23:50:57.900910,bupa,GaussianNB,f1_sampling,0,0,36,0.2506787330316742
2025-03-23 23:50:57.910335,bupa,GaussianNB,f1_sampling,0,0,37,0.27830832196452937
2025-03-23 23:50:57.919905,bupa,GaussianNB,f1_sampling,0,0,38,0.27830832196452937
2025-03-23 23:50:57.929586,bupa,GaussianNB,f1_sampling,0,0,39,0.27830832196452937
2025-03-23 23:50:57.940803,bupa,GaussianNB,f1_sampling,0,0,40,0.27830832196452937
2025-03-23 23:50:57.952258,bupa,GaussianNB,f1_sampling,0,0,41,0.27830832196452937
2025-03-23 23:50:57.963613,bupa,GaussianNB,f1_sampling,0,0,42,0.27830832196452937
2025-03-23 23:50:57.975230,bupa,GaussianNB,f1_sampling,0,0,43,0.27830832196452937
2025-03-23 23:50:57.984903,bupa,GaussianNB,f1_sampling,0,0,44,0.27830832196452937
2025-03-23 23:50:57.994529,bupa,GaussianNB,f1_sampling,0,0,45,0.27830832196452937
2025-03-23 23:50:58.004209,bupa,GaussianNB,f1_sampling,0,0,46,0.27830832196452937
2025-03-23 23:50:58.013938,bupa,GaussianNB,f1_sampling,0,0,47,0.27830832196452937
2025-03-23 23:50:58.023712,bupa,GaussianNB,f1_sampling,0,0,48,0.27830832196452937
2025-03-23 23:50:58.033641,bupa,GaussianNB,f1_sampling,0,0,49,0.27830832196452937
2025-03-23 23:50:58.043696,bupa,GaussianNB,f1_sampling,0,0,50,0.27830832196452937
2025-03-23 23:50:58.053410,bupa,GaussianNB,f1_sampling,0,0,51,0.27830832196452937
2025-03-23 23:50:58.063080,bupa,GaussianNB,f1_sampling,0,0,52,0.27830832196452937
2025-03-23 23:50:58.072780,bupa,GaussianNB,f1_sampling,0,0,53,0.27830832196452937
2025-03-23 23:50:58.082588,bupa,GaussianNB,f1_sampling,0,0,54,0.2506787330316742
2025-03-23 23:50:58.092399,bupa,GaussianNB,f1_sampling,0,0,55,0.27830832196452937
2025-03-23 23:50:58.102350,bupa,GaussianNB,f1_sampling,0,0,56,0.27830832196452937
2025-03-23 23:50:58.112279,bupa,GaussianNB,f1_sampling,0,0,57,0.27830832196452937
2025-03-23 23:50:58.122245,bupa,GaussianNB,f1_sampling,0,0,58,0.27830832196452937
2025-03-23 23:50:58.132292,bupa,GaussianNB,f1_sampling,0,0,59,0.27830832196452937
2025-03-23 23:50:58.141988,bupa,GaussianNB,f1_sampling,0,0,60,0.27830832196452937
2025-03-23 23:50:58.151817,bupa,GaussianNB,f1_sampling,0,0,61,0.27830832196452937
2025-03-23 23:50:58.161552,bupa,GaussianNB,f1_sampling,0,0,62,0.27830832196452937
2025-03-23 23:50:58.171212,bupa,GaussianNB,f1_sampling,0,0,63,0.27830832196452937
2025-03-23 23:50:58.180869,bupa,GaussianNB,f1_sampling,0,0,64,0.27830832196452937
2025-03-23 23:50:58.190649,bupa,GaussianNB,f1_sampling,0,0,65,0.27830832196452937
2025-03-23 23:50:58.200271,bupa,GaussianNB,f1_sampling,0,0,66,0.27830832196452937
2025-03-23 23:50:58.209870,bupa,GaussianNB,f1_sampling,0,0,67,0.27830832196452937
2025-03-23 23:50:58.219488,bupa,GaussianNB,f1_sampling,0,0,68,0.27830832196452937
2025-03-23 23:50:58.228833,bupa,GaussianNB,f1_sampling,0,0,69,0.27830832196452937
2025-03-23 23:50:58.238050,bupa,GaussianNB,f1_sampling,0,0,70,0.27830832196452937
2025-03-23 23:50:58.247412,bupa,GaussianNB,f1_sampling,0,0,71,0.27830832196452937
2025-03-23 23:50:58.256624,bupa,GaussianNB,f1_sampling,0,0,72,0.27830832196452937
2025-03-23 23:50:58.265918,bupa,GaussianNB,f1_sampling,0,0,73,0.27830832196452937
2025-03-23 23:50:58.275241,bupa,GaussianNB,f1_sampling,0,0,74,0.27830832196452937
2025-03-23 23:50:58.284625,bupa,GaussianNB,f1_sampling,0,0,75,0.27830832196452937
2025-03-23 23:50:58.293950,bupa,GaussianNB,f1_sampling,0,0,76,0.27830832196452937
2025-03-23 23:50:58.303124,bupa,GaussianNB,f1_sampling,0,0,77,0.27830832196452937
2025-03-23 23:50:58.307297,bupa,GaussianNB,f1_sampling,0,0,78,0.28545700135074303
2025-03-23 23:50:58.316590,bupa,GaussianNB,f1_sampling,0,0,79,0.28545700135074303
2025-03-23 23:50:58.325822,bupa,GaussianNB,f1_sampling,0,0,80,0.2506787330316742
2025-03-23 23:50:58.329816,bupa,GaussianNB,f1_sampling,0,0,81,0.28545700135074303
2025-03-23 23:50:58.338910,bupa,GaussianNB,f1_sampling,0,0,82,0.28545700135074303
2025-03-23 23:50:58.348031,bupa,GaussianNB,f1_sampling,0,0,83,0.28545700135074303
2025-03-23 23:50:58.357446,bupa,GaussianNB,f1_sampling,0,0,84,0.28545700135074303
2025-03-23 23:50:58.368131,bupa,GaussianNB,f1_sampling,0,0,85,0.28545700135074303
2025-03-23 23:50:58.378675,bupa,GaussianNB,f1_sampling,0,0,86,0.28545700135074303
2025-03-23 23:50:58.389196,bupa,GaussianNB,f1_sampling,0,0,87,0.28545700135074303
2025-03-23 23:50:58.399969,bupa,GaussianNB,f1_sampling,0,0,88,0.28545700135074303
2025-03-23 23:50:58.404197,bupa,GaussianNB,f1_sampling,0,0,89,0.28545700135074303
2025-03-23 23:50:58.407999,bupa,GaussianNB,f1_sampling,0,0,90,0.28545700135074303
2025-03-23 23:50:58.411811,bupa,GaussianNB,f1_sampling,0,0,91,0.28545700135074303
2025-03-23 23:50:58.415613,bupa,GaussianNB,f1_sampling,0,0,92,0.28545700135074303
2025-03-23 23:50:58.419404,bupa,GaussianNB,f1_sampling,0,0,93,0.3265306122448979
2025-03-23 23:50:58.428473,bupa,GaussianNB,f1_sampling,0,0,94,0.3265306122448979
2025-03-23 23:50:58.437419,bupa,GaussianNB,f1_sampling,0,0,95,0.3265306122448979
2025-03-23 23:50:58.446529,bupa,GaussianNB,f1_sampling,0,0,96,0.3265306122448979
2025-03-23 23:50:58.455497,bupa,GaussianNB,f1_sampling,0,0,97,0.2993377483443709
2025-03-23 23:50:58.464617,bupa,GaussianNB,f1_sampling,0,0,98,0.3265306122448979
2025-03-23 23:50:58.473828,bupa,GaussianNB,f1_sampling,0,0,99,0.3265306122448979
2025-03-23 23:50:58.483121,bupa,GaussianNB,f1_sampling,0,0,100,0.3265306122448979
2025-03-23 23:50:58.485934,bupa,GaussianNB,f1_sampling,0,1,0,0.19616685456595262
2025-03-23 23:50:58.495414,bupa,GaussianNB,f1_sampling,0,1,1,0.20567920184190325
2025-03-23 23:50:58.504757,bupa,GaussianNB,f1_sampling,0,1,2,0.19616685456595262
2025-03-23 23:50:58.514150,bupa,GaussianNB,f1_sampling,0,1,3,0.10720887245841038
2025-03-23 23:50:58.523381,bupa,GaussianNB,f1_sampling,0,1,4,0.0
2025-03-23 23:50:58.532569,bupa,GaussianNB,f1_sampling,0,1,5,0.0
2025-03-23 23:50:58.541689,bupa,GaussianNB,f1_sampling,0,1,6,0.0
2025-03-23 23:50:58.550856,bupa,GaussianNB,f1_sampling,0,1,7,0.021098581302291586
2025-03-23 23:50:58.559898,bupa,GaussianNB,f1_sampling,0,1,8,0.06380638063806376
2025-03-23 23:50:58.569053,bupa,GaussianNB,f1_sampling,0,1,9,0.021098581302291586
2025-03-23 23:50:58.578212,bupa,GaussianNB,f1_sampling,0,1,10,0.04236669101533974
2025-03-23 23:50:58.587242,bupa,GaussianNB,f1_sampling,0,1,11,0.04236669101533974
2025-03-23 23:50:58.596345,bupa,GaussianNB,f1_sampling,0,1,12,0.04236669101533974
2025-03-23 23:50:58.605421,bupa,GaussianNB,f1_sampling,0,1,13,0.04236669101533974
2025-03-23 23:50:58.614535,bupa,GaussianNB,f1_sampling,0,1,14,0.06380638063806376
2025-03-23 23:50:58.623690,bupa,GaussianNB,f1_sampling,0,1,15,0.06380638063806376
2025-03-23 23:50:58.632766,bupa,GaussianNB,f1_sampling,0,1,16,0.06380638063806376
2025-03-23 23:50:58.641834,bupa,GaussianNB,f1_sampling,0,1,17,0.12200598802395213
2025-03-23 23:50:58.650827,bupa,GaussianNB,f1_sampling,0,1,18,0.12200598802395213
2025-03-23 23:50:58.659898,bupa,GaussianNB,f1_sampling,0,1,19,0.12200598802395213
2025-03-23 23:50:58.669041,bupa,GaussianNB,f1_sampling,0,1,20,0.1527244819646968
2025-03-23 23:50:58.678211,bupa,GaussianNB,f1_sampling,0,1,21,0.1527244819646968
2025-03-23 23:50:58.687332,bupa,GaussianNB,f1_sampling,0,1,22,0.1527244819646968
2025-03-23 23:50:58.696386,bupa,GaussianNB,f1_sampling,0,1,23,0.17572254335260118
2025-03-23 23:50:58.705442,bupa,GaussianNB,f1_sampling,0,1,24,0.1455108359133127
2025-03-23 23:50:58.714445,bupa,GaussianNB,f1_sampling,0,1,25,0.1686746987951807
2025-03-23 23:50:58.723459,bupa,GaussianNB,f1_sampling,0,1,26,0.09976976208749033
2025-03-23 23:50:58.732477,bupa,GaussianNB,f1_sampling,0,1,27,0.11504080839486974
2025-03-23 23:50:58.741649,bupa,GaussianNB,f1_sampling,0,1,28,0.21560172481379858
2025-03-23 23:50:58.750913,bupa,GaussianNB,f1_sampling,0,1,29,0.23272438443208898
2025-03-23 23:50:58.760002,bupa,GaussianNB,f1_sampling,0,1,30,0.20877817319098457
2025-03-23 23:50:58.769242,bupa,GaussianNB,f1_sampling,0,1,31,0.27485852869846406
2025-03-23 23:50:58.778483,bupa,GaussianNB,f1_sampling,0,1,32,0.27485852869846406
2025-03-23 23:50:58.788623,bupa,GaussianNB,f1_sampling,0,1,33,0.2503018108651911
2025-03-23 23:50:58.799555,bupa,GaussianNB,f1_sampling,0,1,34,0.17067307692307687
2025-03-23 23:50:58.810463,bupa,GaussianNB,f1_sampling,0,1,35,0.17067307692307687
2025-03-23 23:50:58.821511,bupa,GaussianNB,f1_sampling,0,1,36,0.17067307692307687
2025-03-23 23:50:58.832293,bupa,GaussianNB,f1_sampling,0,1,37,0.13923541247484905
2025-03-23 23:50:58.841640,bupa,GaussianNB,f1_sampling,0,1,38,0.18757612667478696
2025-03-23 23:50:58.850850,bupa,GaussianNB,f1_sampling,0,1,39,0.18757612667478696
2025-03-23 23:50:58.860093,bupa,GaussianNB,f1_sampling,0,1,40,0.14036544850498334
2025-03-23 23:50:58.869208,bupa,GaussianNB,f1_sampling,0,1,41,0.1076345431789737
2025-03-23 23:50:58.878510,bupa,GaussianNB,f1_sampling,0,1,42,0.19315721091381555
2025-03-23 23:50:58.887784,bupa,GaussianNB,f1_sampling,0,1,43,0.19315721091381555
2025-03-23 23:50:58.896942,bupa,GaussianNB,f1_sampling,0,1,44,0.16724137931034488
2025-03-23 23:50:58.906016,bupa,GaussianNB,f1_sampling,0,1,45,0.19315721091381555
2025-03-23 23:50:58.915229,bupa,GaussianNB,f1_sampling,0,1,46,0.15926892950391636
2025-03-23 23:50:58.924155,bupa,GaussianNB,f1_sampling,0,1,47,0.18539571491036289
2025-03-23 23:50:58.933379,bupa,GaussianNB,f1_sampling,0,1,48,0.15926892950391636
2025-03-23 23:50:58.942563,bupa,GaussianNB,f1_sampling,0,1,49,0.23841059602649017
2025-03-23 23:50:58.951676,bupa,GaussianNB,f1_sampling,0,1,50,0.20408163265306112
