time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 23:52:50.273629,car-evaluation,SVC,f4_sampling,0,0,0,0.0
2025-03-23 23:52:50.284997,car-evaluation,SVC,f4_sampling,0,0,1,0.0
2025-03-23 23:52:50.296365,car-evaluation,SVC,f4_sampling,0,0,2,0.0
2025-03-23 23:52:50.307961,car-evaluation,SVC,f4_sampling,0,0,3,0.0
2025-03-23 23:52:50.318777,car-evaluation,SVC,f4_sampling,0,0,4,0.0
2025-03-23 23:52:50.330108,car-evaluation,SVC,f4_sampling,0,0,5,0.0
2025-03-23 23:52:50.342059,car-evaluation,SVC,f4_sampling,0,0,6,0.0
2025-03-23 23:52:50.353803,car-evaluation,SVC,f4_sampling,0,0,7,0.0
2025-03-23 23:52:50.366048,car-evaluation,SVC,f4_sampling,0,0,8,0.0
2025-03-23 23:52:50.377253,car-evaluation,SVC,f4_sampling,0,0,9,0.0
2025-03-23 23:52:50.389925,car-evaluation,SVC,f4_sampling,0,0,10,0.0
2025-03-23 23:52:50.403605,car-evaluation,SVC,f4_sampling,0,0,11,0.0
2025-03-23 23:52:50.416977,car-evaluation,SVC,f4_sampling,0,0,12,0.0
2025-03-23 23:52:50.430043,car-evaluation,SVC,f4_sampling,0,0,13,0.0
2025-03-23 23:52:50.443354,car-evaluation,SVC,f4_sampling,0,0,14,0.0
2025-03-23 23:52:50.457452,car-evaluation,SVC,f4_sampling,0,0,15,0.0
2025-03-23 23:52:50.471520,car-evaluation,SVC,f4_sampling,0,0,16,0.0
2025-03-23 23:52:50.485351,car-evaluation,SVC,f4_sampling,0,0,17,0.0
2025-03-23 23:52:50.498836,car-evaluation,SVC,f4_sampling,0,0,18,0.0
2025-03-23 23:52:50.513298,car-evaluation,SVC,f4_sampling,0,0,19,0.0
2025-03-23 23:52:50.527841,car-evaluation,SVC,f4_sampling,0,0,20,0.0
2025-03-23 23:52:50.542115,car-evaluation,SVC,f4_sampling,0,0,21,0.0
2025-03-23 23:52:50.555788,car-evaluation,SVC,f4_sampling,0,0,22,0.0
2025-03-23 23:52:50.570012,car-evaluation,SVC,f4_sampling,0,0,23,0.0
2025-03-23 23:52:50.585330,car-evaluation,SVC,f4_sampling,0,0,24,0.0
2025-03-23 23:52:50.600171,car-evaluation,SVC,f4_sampling,0,0,25,0.0
2025-03-23 23:52:50.614949,car-evaluation,SVC,f4_sampling,0,0,26,0.0
2025-03-23 23:52:50.630501,car-evaluation,SVC,f4_sampling,0,0,27,0.0
2025-03-23 23:52:50.645949,car-evaluation,SVC,f4_sampling,0,0,28,0.0
2025-03-23 23:52:50.660179,car-evaluation,SVC,f4_sampling,0,0,29,0.0
