time,dataset,classifier,method,run,fold,query,kappa
2025-03-23 23:51:39.554821,car-evaluation,SVC,random_sampling,0,0,0,0.0
2025-03-23 23:51:39.558007,car-evaluation,SVC,random_sampling,0,0,1,0.0
2025-03-23 23:51:39.561157,car-evaluation,SVC,random_sampling,0,0,2,0.0
2025-03-23 23:51:39.564387,car-evaluation,SVC,random_sampling,0,0,3,0.0
2025-03-23 23:51:39.567624,car-evaluation,SVC,random_sampling,0,0,4,0.014135937370328477
2025-03-23 23:51:39.570878,car-evaluation,SVC,random_sampling,0,0,5,0.0
2025-03-23 23:51:39.574189,car-evaluation,SVC,random_sampling,0,0,6,0.0
2025-03-23 23:51:39.577501,car-evaluation,SVC,random_sampling,0,0,7,0.02677557202358416
2025-03-23 23:51:39.580819,car-evaluation,SVC,random_sampling,0,0,8,0.02677557202358416
2025-03-23 23:51:39.584242,car-evaluation,SVC,random_sampling,0,0,9,0.18384069126483593
2025-03-23 23:51:39.587820,car-evaluation,SVC,random_sampling,0,0,10,0.13320892660855344
2025-03-23 23:51:39.591348,car-evaluation,SVC,random_sampling,0,0,11,0.07839348200762519
2025-03-23 23:51:39.594891,car-evaluation,SVC,random_sampling,0,0,12,0.2211499317512392
2025-03-23 23:51:39.598489,car-evaluation,SVC,random_sampling,0,0,13,0.1800947867298578
2025-03-23 23:51:39.602217,car-evaluation,SVC,random_sampling,0,0,14,0.15460370490413622
2025-03-23 23:51:39.605892,car-evaluation,SVC,random_sampling,0,0,15,0.15460370490413622
2025-03-23 23:51:39.609667,car-evaluation,SVC,random_sampling,0,0,16,0.15111155617865013
2025-03-23 23:51:39.613433,car-evaluation,SVC,random_sampling,0,0,17,0.1093372162562729
2025-03-23 23:51:39.617384,car-evaluation,SVC,random_sampling,0,0,18,0.12352986791428644
2025-03-23 23:51:39.621315,car-evaluation,SVC,random_sampling,0,0,19,0.23507118215830136
2025-03-23 23:51:39.625374,car-evaluation,SVC,random_sampling,0,0,20,0.23199258482327967
2025-03-23 23:51:39.629466,car-evaluation,SVC,random_sampling,0,0,21,0.23199258482327967
2025-03-23 23:51:39.633594,car-evaluation,SVC,random_sampling,0,0,22,0.23246827592786956
2025-03-23 23:51:39.637771,car-evaluation,SVC,random_sampling,0,0,23,0.2436978783054955
2025-03-23 23:51:39.642011,car-evaluation,SVC,random_sampling,0,0,24,0.22547993868463956
2025-03-23 23:51:39.646322,car-evaluation,SVC,random_sampling,0,0,25,0.187711415156258
2025-03-23 23:51:39.650584,car-evaluation,SVC,random_sampling,0,0,26,0.15259480780633694
2025-03-23 23:51:39.654925,car-evaluation,SVC,random_sampling,0,0,27,0.14001657000828494
2025-03-23 23:51:39.659340,car-evaluation,SVC,random_sampling,0,0,28,0.14001657000828494
2025-03-23 23:51:39.663689,car-evaluation,SVC,random_sampling,0,0,29,0.14001657000828494
2025-03-23 23:51:39.668124,car-evaluation,SVC,random_sampling,0,0,30,0.14164098814435688
2025-03-23 23:51:39.672685,car-evaluation,SVC,random_sampling,0,0,31,0.14164098814435688
2025-03-23 23:51:39.677267,car-evaluation,SVC,random_sampling,0,0,32,0.14164098814435688
2025-03-23 23:51:39.681899,car-evaluation,SVC,random_sampling,0,0,33,0.14164098814435688
2025-03-23 23:51:39.686522,car-evaluation,SVC,random_sampling,0,0,34,0.14164098814435688
2025-03-23 23:51:39.692464,car-evaluation,SVC,random_sampling,0,0,35,0.14164098814435688
2025-03-23 23:51:39.697986,car-evaluation,SVC,random_sampling,0,0,36,0.11595195448319451
2025-03-23 23:51:39.702941,car-evaluation,SVC,random_sampling,0,0,37,0.15432018513221868
2025-03-23 23:51:39.707932,car-evaluation,SVC,random_sampling,0,0,38,0.15432018513221868
2025-03-23 23:51:39.713011,car-evaluation,SVC,random_sampling,0,0,39,0.1828310314730195
2025-03-23 23:51:39.718204,car-evaluation,SVC,random_sampling,0,0,40,0.1828310314730195
2025-03-23 23:51:39.723339,car-evaluation,SVC,random_sampling,0,0,41,0.14532359135702955
2025-03-23 23:51:39.728540,car-evaluation,SVC,random_sampling,0,0,42,0.17743296096525984
2025-03-23 23:51:39.733717,car-evaluation,SVC,random_sampling,0,0,43,0.17743296096525984
2025-03-23 23:51:39.738934,car-evaluation,SVC,random_sampling,0,0,44,0.17743296096525984
2025-03-23 23:51:39.744291,car-evaluation,SVC,random_sampling,0,0,45,0.17743296096525984
2025-03-23 23:51:39.749658,car-evaluation,SVC,random_sampling,0,0,46,0.20102299250136568
2025-03-23 23:51:39.755178,car-evaluation,SVC,random_sampling,0,0,47,0.20636266174674012
2025-03-23 23:51:39.760702,car-evaluation,SVC,random_sampling,0,0,48,0.2030843180452634
2025-03-23 23:51:39.766371,car-evaluation,SVC,random_sampling,0,0,49,0.2030843180452634
2025-03-23 23:51:39.772089,car-evaluation,SVC,random_sampling,0,0,50,0.2030843180452634
2025-03-23 23:51:39.777973,car-evaluation,SVC,random_sampling,0,0,51,0.2030843180452634
2025-03-23 23:51:39.784008,car-evaluation,SVC,random_sampling,0,0,52,0.19977877774705255
2025-03-23 23:51:39.790186,car-evaluation,SVC,random_sampling,0,0,53,0.19977877774705255
2025-03-23 23:51:39.796440,car-evaluation,SVC,random_sampling,0,0,54,0.19977877774705255
2025-03-23 23:51:39.802791,car-evaluation,SVC,random_sampling,0,0,55,0.2308105731177017
2025-03-23 23:51:39.809137,car-evaluation,SVC,random_sampling,0,0,56,0.2308105731177017
2025-03-23 23:51:39.815600,car-evaluation,SVC,random_sampling,0,0,57,0.2192106747774044
2025-03-23 23:51:39.822035,car-evaluation,SVC,random_sampling,0,0,58,0.22769751526895432
2025-03-23 23:51:39.828582,car-evaluation,SVC,random_sampling,0,0,59,0.20428299413932094
2025-03-23 23:51:39.835185,car-evaluation,SVC,random_sampling,0,0,60,0.20428299413932094
2025-03-23 23:51:39.841821,car-evaluation,SVC,random_sampling,0,0,61,0.20636266174674012
2025-03-23 23:51:39.848678,car-evaluation,SVC,random_sampling,0,0,62,0.2030843180452634
2025-03-23 23:51:39.855563,car-evaluation,SVC,random_sampling,0,0,63,0.21283909097653253
2025-03-23 23:51:39.862537,car-evaluation,SVC,random_sampling,0,0,64,0.2160378287853414
2025-03-23 23:51:39.869563,car-evaluation,SVC,random_sampling,0,0,65,0.2160378287853414
2025-03-23 23:51:39.876726,car-evaluation,SVC,random_sampling,0,0,66,0.2160378287853414
2025-03-23 23:51:39.883933,car-evaluation,SVC,random_sampling,0,0,67,0.20636266174674012
2025-03-23 23:51:39.891205,car-evaluation,SVC,random_sampling,0,0,68,0.20636266174674012
2025-03-23 23:51:39.898634,car-evaluation,SVC,random_sampling,0,0,69,0.23389863500328478
2025-03-23 23:51:39.906131,car-evaluation,SVC,random_sampling,0,0,70,0.23389863500328478
2025-03-23 23:51:39.913673,car-evaluation,SVC,random_sampling,0,0,71,0.23926320418234226
2025-03-23 23:51:39.921405,car-evaluation,SVC,random_sampling,0,0,72,0.23926320418234226
2025-03-23 23:51:39.929153,car-evaluation,SVC,random_sampling,0,0,73,0.23926320418234226
2025-03-23 23:51:39.936892,car-evaluation,SVC,random_sampling,0,0,74,0.23926320418234226
2025-03-23 23:51:39.944755,car-evaluation,SVC,random_sampling,0,0,75,0.23926320418234226
2025-03-23 23:51:39.952553,car-evaluation,SVC,random_sampling,0,0,76,0.22769751526895432
2025-03-23 23:51:39.960394,car-evaluation,SVC,random_sampling,0,0,77,0.21283909097653253
2025-03-23 23:51:39.968248,car-evaluation,SVC,random_sampling,0,0,78,0.23926320418234226
2025-03-23 23:51:39.976005,car-evaluation,SVC,random_sampling,0,0,79,0.23926320418234226
2025-03-23 23:51:39.983894,car-evaluation,SVC,random_sampling,0,0,80,0.23926320418234226
