time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 00:22:14.785647,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,0,0.4072889627245354
2025-03-24 00:22:17.863272,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,1,0.4072889627245354
2025-03-24 00:22:20.937829,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,2,0.6795404421193004
2025-03-24 00:22:24.040119,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,3,0.6307484871346251
2025-03-24 00:22:27.087560,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,4,0.6307484871346251
2025-03-24 00:22:30.183876,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,5,0.5472032359497483
2025-03-24 00:22:33.191477,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,6,0.5902066654254329
2025-03-24 00:22:36.361786,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,7,0.6943388103609098
2025-03-24 00:22:39.512433,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,8,0.6943388103609098
2025-03-24 00:22:42.590919,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,9,0.6943388103609098
2025-03-24 00:22:45.617729,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,10,0.6943388103609098
2025-03-24 00:22:48.706232,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,11,0.6943388103609098
2025-03-24 00:22:51.722112,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,12,0.6943388103609098
2025-03-24 00:22:54.702983,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,13,0.6943388103609098
2025-03-24 00:22:57.642591,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,14,0.6943388103609098
2025-03-24 00:23:00.678079,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,15,0.6943388103609098
2025-03-24 00:23:03.670255,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,16,0.6943388103609098
2025-03-24 00:23:06.594388,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,17,0.6943388103609098
2025-03-24 00:23:09.514528,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,18,0.6943388103609098
2025-03-24 00:23:12.465640,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,19,0.6943388103609098
2025-03-24 00:23:15.364548,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,20,0.6943388103609098
2025-03-24 00:23:18.336015,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,21,0.6943388103609098
2025-03-24 00:23:21.274895,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,22,0.6943388103609098
2025-03-24 00:23:24.286625,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,23,0.6943388103609098
2025-03-24 00:23:27.264994,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,24,0.6943388103609098
2025-03-24 00:23:30.204211,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,25,0.6943388103609098
2025-03-24 00:23:33.153177,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,26,0.6943388103609098
2025-03-24 00:23:36.141112,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,27,0.6943388103609098
2025-03-24 00:23:38.998657,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,28,0.6943388103609098
2025-03-24 00:23:41.915776,cardiotocography-3class,GaussianNB,intra_extra_ratio_sampling,0,0,29,0.6943388103609098
