time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 00:23:48.521340,climate-simulation-craches,SVC,training_utility_sampling,0,0,0,0.0
2025-03-24 00:23:48.527840,climate-simulation-craches,SVC,training_utility_sampling,0,0,1,0.0
2025-03-24 00:23:48.534271,climate-simulation-craches,SVC,training_utility_sampling,0,0,2,0.0
2025-03-24 00:23:48.541151,climate-simulation-craches,SVC,training_utility_sampling,0,0,3,0.0
2025-03-24 00:23:48.547512,climate-simulation-craches,SVC,training_utility_sampling,0,0,4,0.0
2025-03-24 00:23:48.553778,climate-simulation-craches,SVC,training_utility_sampling,0,0,5,0.0
2025-03-24 00:23:48.560304,climate-simulation-craches,SVC,training_utility_sampling,0,0,6,0.0
2025-03-24 00:23:48.567069,climate-simulation-craches,SVC,training_utility_sampling,0,0,7,0.0
2025-03-24 00:23:48.573667,climate-simulation-craches,SVC,training_utility_sampling,0,0,8,0.0
2025-03-24 00:23:48.580332,climate-simulation-craches,SVC,training_utility_sampling,0,0,9,0.0
2025-03-24 00:23:48.587053,climate-simulation-craches,SVC,training_utility_sampling,0,0,10,0.0
2025-03-24 00:23:48.593968,climate-simulation-craches,SVC,training_utility_sampling,0,0,11,0.0
2025-03-24 00:23:48.600600,climate-simulation-craches,SVC,training_utility_sampling,0,0,12,0.0
2025-03-24 00:23:48.607398,climate-simulation-craches,SVC,training_utility_sampling,0,0,13,0.0
2025-03-24 00:23:48.614196,climate-simulation-craches,SVC,training_utility_sampling,0,0,14,0.0
2025-03-24 00:23:48.621243,climate-simulation-craches,SVC,training_utility_sampling,0,0,15,0.0
2025-03-24 00:23:48.628353,climate-simulation-craches,SVC,training_utility_sampling,0,0,16,0.0
2025-03-24 00:23:48.635107,climate-simulation-craches,SVC,training_utility_sampling,0,0,17,0.0
2025-03-24 00:23:48.642003,climate-simulation-craches,SVC,training_utility_sampling,0,0,18,0.0
2025-03-24 00:23:48.649566,climate-simulation-craches,SVC,training_utility_sampling,0,0,19,0.0
2025-03-24 00:23:48.656426,climate-simulation-craches,SVC,training_utility_sampling,0,0,20,0.0
2025-03-24 00:23:48.663075,climate-simulation-craches,SVC,training_utility_sampling,0,0,21,0.0
2025-03-24 00:23:48.670055,climate-simulation-craches,SVC,training_utility_sampling,0,0,22,0.0
2025-03-24 00:23:48.677404,climate-simulation-craches,SVC,training_utility_sampling,0,0,23,0.0
2025-03-24 00:23:48.684525,climate-simulation-craches,SVC,training_utility_sampling,0,0,24,0.0
2025-03-24 00:23:48.691338,climate-simulation-craches,SVC,training_utility_sampling,0,0,25,0.0
2025-03-24 00:23:48.698322,climate-simulation-craches,SVC,training_utility_sampling,0,0,26,0.0
2025-03-24 00:23:48.705396,climate-simulation-craches,SVC,training_utility_sampling,0,0,27,0.0
2025-03-24 00:23:48.712411,climate-simulation-craches,SVC,training_utility_sampling,0,0,28,0.0
