time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 09:25:26.434526,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,0,0.0067582887487817045
2025-03-24 09:26:00.566619,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,1,0.10042499849747999
2025-03-24 09:26:34.896435,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,2,0.10697937137410418
2025-03-24 09:27:06.911521,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,3,0.11769608479733551
2025-03-24 09:27:43.391504,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,4,0.06251379036614524
2025-03-24 09:28:15.943846,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,5,0.07126432040586939
2025-03-24 09:28:47.717642,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,6,0.08390335155209727
2025-03-24 09:29:19.789207,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,7,0.0863122720626619
2025-03-24 09:29:50.584154,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,8,0.02830668061575259
2025-03-24 09:30:24.182503,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,9,0.09634474278531668
2025-03-24 09:30:57.706917,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,10,0.08985182973246919
2025-03-24 09:31:28.354422,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,11,0.07092865683539262
2025-03-24 09:32:06.512627,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,12,0.09535073536674743
2025-03-24 09:32:37.097055,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,13,0.018346314028764077
2025-03-24 09:33:11.447331,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,14,0.035352900337293214
2025-03-24 09:33:44.546565,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,15,0.06883491599409375
2025-03-24 09:34:17.747168,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,16,0.049485303237008615
2025-03-24 09:34:49.827459,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,17,0.09700370745959142
2025-03-24 09:35:23.693654,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,18,0.03279892362360348
2025-03-24 09:35:56.133717,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,19,0.04692123805146764
2025-03-24 09:36:37.406949,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,20,0.08992006647251372
2025-03-24 09:37:09.949595,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,21,0.07893313991823814
2025-03-24 09:37:41.761189,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,22,0.09344726547059001
2025-03-24 09:38:21.442885,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,23,0.09221728359454262
2025-03-24 09:38:57.697995,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,24,0.08623411847972973
2025-03-24 09:39:32.741616,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,25,0.09235415246010137
2025-03-24 09:40:07.524121,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,26,0.08412148453350798
2025-03-24 09:40:51.258314,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,27,0.07558866361076633
2025-03-24 09:41:23.348313,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,28,0.10206289773778854
2025-03-24 09:41:57.209695,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,29,0.07999030247714656
2025-03-24 09:42:33.471922,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,30,0.08514974396110286
2025-03-24 09:43:15.166268,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,31,0.06176356865219079
2025-03-24 09:43:50.750263,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,32,0.07865694706773019
2025-03-24 09:44:23.293486,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,33,0.0752987928640102
2025-03-24 09:45:15.148556,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,34,0.06714549133386005
2025-03-24 09:45:47.988413,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,35,0.0666551369028433
2025-03-24 09:46:20.686219,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,36,0.026174669022360764
2025-03-24 09:47:13.194297,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,37,-0.012858390810592146
2025-03-24 09:47:48.045600,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,38,0.07944488420672624
2025-03-24 09:48:24.747819,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,39,0.07802949983364749
2025-03-24 09:49:00.790401,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,40,0.06187892029036579
2025-03-24 09:49:47.237409,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,41,0.08643627191983794
2025-03-24 09:50:28.685880,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,42,0.05227815780510103
2025-03-24 09:51:18.656937,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,43,0.03563975181466206
2025-03-24 09:52:21.641492,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,44,0.03249285765029519
2025-03-24 09:53:07.132472,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,45,0.044908630988230724
2025-03-24 09:53:51.786279,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,46,0.08288765647832186
2025-03-24 09:54:41.727272,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,47,0.06282968428882485
2025-03-24 09:55:37.867992,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,48,0.09391182716741397
2025-03-24 09:56:22.905563,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,49,0.09307658631161264
2025-03-24 09:57:13.457077,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,50,0.0872755784855671
2025-03-24 09:58:01.752985,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,51,0.10470545519122754
2025-03-24 09:58:48.398494,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,52,0.10792505380427908
2025-03-24 09:59:58.454927,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,53,0.10446564259410496
2025-03-24 10:01:03.631042,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,54,0.10614721753215628
2025-03-24 10:01:54.728385,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,55,0.10974695357129371
2025-03-24 10:02:43.786249,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,56,0.09276056267251487
2025-03-24 10:03:57.728533,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,57,0.11081931007144197
2025-03-24 10:04:46.578082,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,58,0.11449162058309004
2025-03-24 10:05:41.965156,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,59,0.09289822632742117
2025-03-24 10:06:39.458874,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,60,0.09814433962841329
2025-03-24 10:07:47.320695,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,61,0.061325952877330114
2025-03-24 10:08:42.868738,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,62,0.0580426131161782
2025-03-24 10:09:37.444134,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,63,0.06377126774977615
2025-03-24 10:11:00.683087,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,64,0.061027489133772095
2025-03-24 10:12:24.259998,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,65,0.0855311332905746
2025-03-24 10:13:54.084109,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,66,0.08191410042536762
2025-03-24 10:15:12.208619,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,67,0.11284302266041857
2025-03-24 10:16:32.463883,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,68,0.0728662316254104
2025-03-24 10:17:34.041176,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,69,0.07197796176630178
2025-03-24 10:18:43.249962,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,70,0.058696820846292797
2025-03-24 10:20:01.648783,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,71,0.07996864083506228
2025-03-24 10:21:11.336478,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,72,0.028494064146766473
2025-03-24 10:22:16.893553,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,73,0.07239733275416704
2025-03-24 10:23:25.935987,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,74,0.0929275290008732
2025-03-24 10:24:38.126466,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,75,0.08354898302283775
2025-03-24 10:25:50.333378,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,76,0.05958857044061827
2025-03-24 10:26:59.022899,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,77,0.08860759493670889
2025-03-24 10:27:56.187609,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,78,0.08192236843556633
2025-03-24 10:29:06.528256,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,79,0.049874903958239014
2025-03-24 10:30:19.158291,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,80,0.0768997048440303
2025-03-24 10:31:41.207327,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,81,0.11040857778453284
2025-03-24 10:33:08.146419,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,82,0.08568700771740001
2025-03-24 10:34:36.904528,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,83,0.0670459794581103
2025-03-24 10:35:54.048892,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,84,0.08646897452188662
2025-03-24 10:36:58.073940,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,85,0.07883429250349083
2025-03-24 10:38:08.129740,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,86,0.04212624584717595
2025-03-24 10:39:15.894459,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,87,0.07831809513469223
2025-03-24 10:40:38.592284,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,88,0.08772380609616715
2025-03-24 10:41:52.607033,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,89,0.07761546703318278
2025-03-24 10:43:07.860256,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,90,0.08649350693914226
2025-03-24 10:44:35.246997,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,91,0.07475436779032263
2025-03-24 10:46:03.049826,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,92,0.07847954419374803
2025-03-24 10:47:21.441724,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,93,0.05065506471588355
2025-03-24 10:48:35.115111,first-order-theorem,DecisionTree,disjunct_class_percentage_sampling,0,0,94,0.09230082068662193
