time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 11:19:38.721530,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,0,0.07060658739234171
2025-03-24 11:19:38.823262,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,1,0.019267930096083408
2025-03-24 11:19:38.914144,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,2,0.0008838169903512272
2025-03-24 11:19:38.930771,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,3,0.04171381224329784
2025-03-24 11:19:38.947339,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,4,0.03218783179001983
2025-03-24 11:19:38.963940,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,5,0.03198497362295649
2025-03-24 11:19:38.980438,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,6,0.03198497362295649
2025-03-24 11:19:38.996821,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,7,0.03305349868335161
2025-03-24 11:19:39.013314,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,8,0.06245549254912308
2025-03-24 11:19:39.029902,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,9,0.059623058990872835
2025-03-24 11:19:39.047104,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,10,0.059623058990872835
2025-03-24 11:19:39.064340,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,11,0.059623058990872835
2025-03-24 11:19:39.082088,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,12,0.059623058990872835
2025-03-24 11:19:39.100330,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,13,0.06101263343453134
2025-03-24 11:19:39.117959,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,14,0.06101263343453134
2025-03-24 11:19:39.135322,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,15,0.06058943408057682
2025-03-24 11:19:39.152429,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,16,0.060843708701398214
2025-03-24 11:19:39.169932,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,17,0.061266080200577444
2025-03-24 11:19:39.187413,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,18,0.061688071960006696
2025-03-24 11:19:39.204343,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,19,0.06387689297643795
2025-03-24 11:19:39.220972,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,20,0.0485572755294702
2025-03-24 11:19:39.237873,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,21,0.04540062332353567
2025-03-24 11:19:39.254454,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,22,0.05499053212217697
2025-03-24 11:19:39.270755,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,23,0.058494301480351396
2025-03-24 11:19:39.287118,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,24,0.06016391554491962
2025-03-24 11:19:39.303614,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,25,0.06261261672432517
2025-03-24 11:19:39.320311,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,26,0.07517944843218716
2025-03-24 11:19:39.414146,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,27,0.08578197561665957
2025-03-24 11:19:39.509861,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,28,0.08463434962581395
2025-03-24 11:19:39.614575,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,29,0.08914077242860474
2025-03-24 11:19:39.717400,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,30,0.09128780922899349
2025-03-24 11:19:39.822631,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,31,0.09034121745828882
2025-03-24 11:19:39.926089,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,32,0.09651761158116778
2025-03-24 11:19:40.028493,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,33,0.08835717519708841
2025-03-24 11:19:40.131398,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,34,0.10282368420598231
2025-03-24 11:19:40.234438,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,35,0.10424966627353904
2025-03-24 11:19:40.336239,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,36,0.10386872424675397
2025-03-24 11:19:40.439535,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,37,0.10122365102593633
2025-03-24 11:19:40.542431,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,38,0.10511761835379285
2025-03-24 11:19:40.647717,first-order-theorem,GaussianNB,class_likeliood_diff_sampling,0,0,39,0.12235373081141299
