time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 12:52:15.611282,glass,5NN,k_disagreeing_neighbors_sampling,0,0,0,0.0
2025-03-24 12:52:15.636850,glass,5NN,k_disagreeing_neighbors_sampling,0,0,1,0.0
2025-03-24 12:52:15.661889,glass,5NN,k_disagreeing_neighbors_sampling,0,0,2,0.03370786516853941
2025-03-24 12:52:15.687398,glass,5NN,k_disagreeing_neighbors_sampling,0,0,3,0.03370786516853941
2025-03-24 12:52:15.712137,glass,5NN,k_disagreeing_neighbors_sampling,0,0,4,0.06746987951807237
2025-03-24 12:52:15.736867,glass,5NN,k_disagreeing_neighbors_sampling,0,0,5,-0.007269789983844976
2025-03-24 12:52:15.763311,glass,5NN,k_disagreeing_neighbors_sampling,0,0,6,0.05301794453507358
2025-03-24 12:52:15.796059,glass,5NN,k_disagreeing_neighbors_sampling,0,0,7,0.2144559173947579
2025-03-24 12:52:15.828927,glass,5NN,k_disagreeing_neighbors_sampling,0,0,8,0.29453125
2025-03-24 12:52:15.861584,glass,5NN,k_disagreeing_neighbors_sampling,0,0,9,0.2632398753894082
2025-03-24 12:52:15.893623,glass,5NN,k_disagreeing_neighbors_sampling,0,0,10,0.2632398753894082
2025-03-24 12:52:15.925908,glass,5NN,k_disagreeing_neighbors_sampling,0,0,11,0.2632398753894082
2025-03-24 12:52:15.957800,glass,5NN,k_disagreeing_neighbors_sampling,0,0,12,0.2632398753894082
2025-03-24 12:52:15.988898,glass,5NN,k_disagreeing_neighbors_sampling,0,0,13,0.2632398753894082
2025-03-24 12:52:16.019968,glass,5NN,k_disagreeing_neighbors_sampling,0,0,14,0.1543116490166414
2025-03-24 12:52:16.050233,glass,5NN,k_disagreeing_neighbors_sampling,0,0,15,0.2223059532780709
2025-03-24 12:52:16.080534,glass,5NN,k_disagreeing_neighbors_sampling,0,0,16,0.2223059532780709
2025-03-24 12:52:16.112246,glass,5NN,k_disagreeing_neighbors_sampling,0,0,17,0.2854984894259819
2025-03-24 12:52:16.143687,glass,5NN,k_disagreeing_neighbors_sampling,0,0,18,0.25583145221971415
2025-03-24 12:52:16.174916,glass,5NN,k_disagreeing_neighbors_sampling,0,0,19,0.197162061239731
2025-03-24 12:52:16.206116,glass,5NN,k_disagreeing_neighbors_sampling,0,0,20,0.1965620328849027
2025-03-24 12:52:16.237444,glass,5NN,k_disagreeing_neighbors_sampling,0,0,21,0.1965620328849027
2025-03-24 12:52:16.268128,glass,5NN,k_disagreeing_neighbors_sampling,0,0,22,0.236121391561806
2025-03-24 12:52:16.297950,glass,5NN,k_disagreeing_neighbors_sampling,0,0,23,0.2344213649851632
2025-03-24 12:52:16.327582,glass,5NN,k_disagreeing_neighbors_sampling,0,0,24,0.23498888065233503
2025-03-24 12:52:16.356969,glass,5NN,k_disagreeing_neighbors_sampling,0,0,25,0.3620178041543026
2025-03-24 12:52:16.386103,glass,5NN,k_disagreeing_neighbors_sampling,0,0,26,0.33700440528634357
2025-03-24 12:52:16.415637,glass,5NN,k_disagreeing_neighbors_sampling,0,0,27,0.39391691394658757
2025-03-24 12:52:16.446049,glass,5NN,k_disagreeing_neighbors_sampling,0,0,28,0.39391691394658757
2025-03-24 12:52:16.476324,glass,5NN,k_disagreeing_neighbors_sampling,0,0,29,0.39391691394658757
2025-03-24 12:52:16.506509,glass,5NN,k_disagreeing_neighbors_sampling,0,0,30,0.39391691394658757
2025-03-24 12:52:16.537196,glass,5NN,k_disagreeing_neighbors_sampling,0,0,31,0.39391691394658757
2025-03-24 12:52:16.567387,glass,5NN,k_disagreeing_neighbors_sampling,0,0,32,0.39391691394658757
2025-03-24 12:52:16.597154,glass,5NN,k_disagreeing_neighbors_sampling,0,0,33,0.39391691394658757
2025-03-24 12:52:16.626669,glass,5NN,k_disagreeing_neighbors_sampling,0,0,34,0.33700440528634357
2025-03-24 12:52:16.656196,glass,5NN,k_disagreeing_neighbors_sampling,0,0,35,0.33700440528634357
2025-03-24 12:52:16.685264,glass,5NN,k_disagreeing_neighbors_sampling,0,0,36,0.46131171702284457
2025-03-24 12:52:16.714457,glass,5NN,k_disagreeing_neighbors_sampling,0,0,37,0.46131171702284457
2025-03-24 12:52:16.743821,glass,5NN,k_disagreeing_neighbors_sampling,0,0,38,0.46131171702284457
2025-03-24 12:52:16.773853,glass,5NN,k_disagreeing_neighbors_sampling,0,0,39,0.46131171702284457
2025-03-24 12:52:16.803253,glass,5NN,k_disagreeing_neighbors_sampling,0,0,40,0.4014652014652015
2025-03-24 12:52:16.832782,glass,5NN,k_disagreeing_neighbors_sampling,0,0,41,0.3704245973645681
2025-03-24 12:52:16.861874,glass,5NN,k_disagreeing_neighbors_sampling,0,0,42,0.3708851499634236
2025-03-24 12:52:16.890662,glass,5NN,k_disagreeing_neighbors_sampling,0,0,43,0.4019033674963397
2025-03-24 12:52:16.919032,glass,5NN,k_disagreeing_neighbors_sampling,0,0,44,0.3023598820058997
2025-03-24 12:52:16.946823,glass,5NN,k_disagreeing_neighbors_sampling,0,0,45,0.3023598820058997
2025-03-24 12:52:16.974552,glass,5NN,k_disagreeing_neighbors_sampling,0,0,46,0.3023598820058997
2025-03-24 12:52:17.001983,glass,5NN,k_disagreeing_neighbors_sampling,0,0,47,0.3023598820058997
2025-03-24 12:52:17.030237,glass,5NN,k_disagreeing_neighbors_sampling,0,0,48,0.3023598820058997
2025-03-24 12:52:17.058275,glass,5NN,k_disagreeing_neighbors_sampling,0,0,49,0.3023598820058997
