time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 12:59:05.066693,glass,DecisionTree,harmfulness_sampling,0,0,0,0.30784708249496984
2025-03-24 12:59:05.089500,glass,DecisionTree,harmfulness_sampling,0,0,1,0.11312499999999992
2025-03-24 12:59:05.111544,glass,DecisionTree,harmfulness_sampling,0,0,2,0.10167130919220047
2025-03-24 12:59:05.133732,glass,DecisionTree,harmfulness_sampling,0,0,3,0.16268844221105516
2025-03-24 12:59:05.155870,glass,DecisionTree,harmfulness_sampling,0,0,4,0.18867924528301883
2025-03-24 12:59:05.177948,glass,DecisionTree,harmfulness_sampling,0,0,5,0.1759069130732377
2025-03-24 12:59:05.200094,glass,DecisionTree,harmfulness_sampling,0,0,6,0.16288124594419195
2025-03-24 12:59:05.222549,glass,DecisionTree,harmfulness_sampling,0,0,7,0.26398946675444346
2025-03-24 12:59:05.245546,glass,DecisionTree,harmfulness_sampling,0,0,8,0.21181262729124228
2025-03-24 12:59:05.268471,glass,DecisionTree,harmfulness_sampling,0,0,9,0.2677111716621253
2025-03-24 12:59:05.291057,glass,DecisionTree,harmfulness_sampling,0,0,10,0.24295774647887292
2025-03-24 12:59:05.313659,glass,DecisionTree,harmfulness_sampling,0,0,11,0.24295774647887292
2025-03-24 12:59:05.335825,glass,DecisionTree,harmfulness_sampling,0,0,12,0.15270935960591125
2025-03-24 12:59:05.357573,glass,DecisionTree,harmfulness_sampling,0,0,13,0.17307692307692302
2025-03-24 12:59:05.379345,glass,DecisionTree,harmfulness_sampling,0,0,14,0.2424242424242422
2025-03-24 12:59:05.401121,glass,DecisionTree,harmfulness_sampling,0,0,15,0.01784439685938599
2025-03-24 12:59:05.423364,glass,DecisionTree,harmfulness_sampling,0,0,16,0.19037656903765687
2025-03-24 12:59:05.444968,glass,DecisionTree,harmfulness_sampling,0,0,17,0.14971751412429368
2025-03-24 12:59:05.466558,glass,DecisionTree,harmfulness_sampling,0,0,18,0.02687411598302658
2025-03-24 12:59:05.488372,glass,DecisionTree,harmfulness_sampling,0,0,19,0.13364674278038935
2025-03-24 12:59:05.510414,glass,DecisionTree,harmfulness_sampling,0,0,20,0.12601626016260137
2025-03-24 12:59:05.532616,glass,DecisionTree,harmfulness_sampling,0,0,21,0.1154611811546119
2025-03-24 12:59:05.555138,glass,DecisionTree,harmfulness_sampling,0,0,22,0.09381373215499644
2025-03-24 12:59:05.577551,glass,DecisionTree,harmfulness_sampling,0,0,23,0.3531518624641834
2025-03-24 12:59:05.599817,glass,DecisionTree,harmfulness_sampling,0,0,24,0.1806633733239239
2025-03-24 12:59:05.621927,glass,DecisionTree,harmfulness_sampling,0,0,25,0.16793365583966813
2025-03-24 12:59:05.643545,glass,DecisionTree,harmfulness_sampling,0,0,26,0.1724875267284388
2025-03-24 12:59:05.665200,glass,DecisionTree,harmfulness_sampling,0,0,27,0.3033873343151694
2025-03-24 12:59:05.686692,glass,DecisionTree,harmfulness_sampling,0,0,28,0.1933621933621933
2025-03-24 12:59:05.707955,glass,DecisionTree,harmfulness_sampling,0,0,29,0.21875
2025-03-24 12:59:05.729603,glass,DecisionTree,harmfulness_sampling,0,0,30,0.3033873343151694
2025-03-24 12:59:05.751122,glass,DecisionTree,harmfulness_sampling,0,0,31,0.1815519765739385
2025-03-24 12:59:05.772414,glass,DecisionTree,harmfulness_sampling,0,0,32,0.3399122807017545
2025-03-24 12:59:05.794074,glass,DecisionTree,harmfulness_sampling,0,0,33,0.21875
2025-03-24 12:59:05.815618,glass,DecisionTree,harmfulness_sampling,0,0,34,0.5253863134657837
2025-03-24 12:59:05.837405,glass,DecisionTree,harmfulness_sampling,0,0,35,0.4023408924652524
2025-03-24 12:59:05.859592,glass,DecisionTree,harmfulness_sampling,0,0,36,0.3394294074615949
2025-03-24 12:59:05.881986,glass,DecisionTree,harmfulness_sampling,0,0,37,0.31149927219796225
2025-03-24 12:59:05.904028,glass,DecisionTree,harmfulness_sampling,0,0,38,0.4337966349670813
2025-03-24 12:59:05.925623,glass,DecisionTree,harmfulness_sampling,0,0,39,0.289000718907261
2025-03-24 12:59:05.947128,glass,DecisionTree,harmfulness_sampling,0,0,40,0.3129992737835875
2025-03-24 12:59:05.968383,glass,DecisionTree,harmfulness_sampling,0,0,41,0.2494545454545456
2025-03-24 12:59:05.989185,glass,DecisionTree,harmfulness_sampling,0,0,42,0.26127415891195427
2025-03-24 12:59:06.010556,glass,DecisionTree,harmfulness_sampling,0,0,43,0.43790849673202614
2025-03-24 12:59:06.031960,glass,DecisionTree,harmfulness_sampling,0,0,44,0.28695025234318683
2025-03-24 12:59:06.053923,glass,DecisionTree,harmfulness_sampling,0,0,45,0.28746397694524495
2025-03-24 12:59:06.075741,glass,DecisionTree,harmfulness_sampling,0,0,46,0.21988388969521055
2025-03-24 12:59:06.097451,glass,DecisionTree,harmfulness_sampling,0,0,47,0.2742616033755274
2025-03-24 12:59:06.119251,glass,DecisionTree,harmfulness_sampling,0,0,48,0.26127415891195427
2025-03-24 12:59:06.140503,glass,DecisionTree,harmfulness_sampling,0,0,49,0.2848879248011569
2025-03-24 12:59:06.161694,glass,DecisionTree,harmfulness_sampling,0,0,50,0.3667601683029452
2025-03-24 12:59:06.182578,glass,DecisionTree,harmfulness_sampling,0,0,51,0.4278711484593837
2025-03-24 12:59:06.203813,glass,DecisionTree,harmfulness_sampling,0,0,52,0.3952180028129394
2025-03-24 12:59:06.224981,glass,DecisionTree,harmfulness_sampling,0,0,53,0.4505716207128446
2025-03-24 12:59:06.245747,glass,DecisionTree,harmfulness_sampling,0,0,54,0.48266100495399855
2025-03-24 12:59:06.266552,glass,DecisionTree,harmfulness_sampling,0,0,55,0.4234297812279463
2025-03-24 12:59:06.287309,glass,DecisionTree,harmfulness_sampling,0,0,56,0.4855735397607318
2025-03-24 12:59:06.307917,glass,DecisionTree,harmfulness_sampling,0,0,57,0.4172610556348074
2025-03-24 12:59:06.328860,glass,DecisionTree,harmfulness_sampling,0,0,58,0.3645320197044334
2025-03-24 12:59:06.349534,glass,DecisionTree,harmfulness_sampling,0,0,59,0.4294692737430168
2025-03-24 12:59:06.370296,glass,DecisionTree,harmfulness_sampling,0,0,60,0.45987438939288217
2025-03-24 12:59:06.391126,glass,DecisionTree,harmfulness_sampling,0,0,61,0.4684065934065934
2025-03-24 12:59:06.411889,glass,DecisionTree,harmfulness_sampling,0,0,62,0.49411764705882355
2025-03-24 12:59:06.432509,glass,DecisionTree,harmfulness_sampling,0,0,63,0.5432011331444759
2025-03-24 12:59:06.453387,glass,DecisionTree,harmfulness_sampling,0,0,64,0.5225537820957669
2025-03-24 12:59:06.474218,glass,DecisionTree,harmfulness_sampling,0,0,65,0.48629655657062554
2025-03-24 12:59:06.494905,glass,DecisionTree,harmfulness_sampling,0,0,66,0.4855735397607318
2025-03-24 12:59:06.516097,glass,DecisionTree,harmfulness_sampling,0,0,67,0.5168539325842697
2025-03-24 12:59:06.536822,glass,DecisionTree,harmfulness_sampling,0,0,68,0.3969144460028051
2025-03-24 12:59:06.557500,glass,DecisionTree,harmfulness_sampling,0,0,69,0.48593530239099847
2025-03-24 12:59:06.578176,glass,DecisionTree,harmfulness_sampling,0,0,70,0.516514406184118
2025-03-24 12:59:06.598460,glass,DecisionTree,harmfulness_sampling,0,0,71,0.6654879773691653
2025-03-24 12:59:06.618874,glass,DecisionTree,harmfulness_sampling,0,0,72,0.551772063933287
2025-03-24 12:59:06.639177,glass,DecisionTree,harmfulness_sampling,0,0,73,0.6046676096181045
2025-03-24 12:59:06.659080,glass,DecisionTree,harmfulness_sampling,0,0,74,0.4572230014025246
2025-03-24 12:59:06.679188,glass,DecisionTree,harmfulness_sampling,0,0,75,0.6569978245105149
2025-03-24 12:59:06.699253,glass,DecisionTree,harmfulness_sampling,0,0,76,0.6542397660818714
2025-03-24 12:59:06.719245,glass,DecisionTree,harmfulness_sampling,0,0,77,0.6856725146198831
2025-03-24 12:59:06.738991,glass,DecisionTree,harmfulness_sampling,0,0,78,0.629842180774749
2025-03-24 12:59:06.759278,glass,DecisionTree,harmfulness_sampling,0,0,79,0.42015613910574867
2025-03-24 12:59:06.779239,glass,DecisionTree,harmfulness_sampling,0,0,80,0.5960982658959537
2025-03-24 12:59:06.799300,glass,DecisionTree,harmfulness_sampling,0,0,81,0.5712250712250712
2025-03-24 12:59:06.819233,glass,DecisionTree,harmfulness_sampling,0,0,82,0.4262640449438201
2025-03-24 12:59:06.839197,glass,DecisionTree,harmfulness_sampling,0,0,83,0.48737727910238426
2025-03-24 12:59:06.859236,glass,DecisionTree,harmfulness_sampling,0,0,84,0.5396145610278373
2025-03-24 12:59:06.879033,glass,DecisionTree,harmfulness_sampling,0,0,85,0.4553131597466572
2025-03-24 12:59:06.898787,glass,DecisionTree,harmfulness_sampling,0,0,86,0.3745454545454546
2025-03-24 12:59:06.918720,glass,DecisionTree,harmfulness_sampling,0,0,87,0.6004288777698357
2025-03-24 12:59:06.938583,glass,DecisionTree,harmfulness_sampling,0,0,88,0.5353025936599425
2025-03-24 12:59:06.958413,glass,DecisionTree,harmfulness_sampling,0,0,89,0.4569093610698366
2025-03-24 12:59:06.978374,glass,DecisionTree,harmfulness_sampling,0,0,90,0.6861313868613139
2025-03-24 12:59:06.998368,glass,DecisionTree,harmfulness_sampling,0,0,91,0.5895741556534508
2025-03-24 12:59:07.018452,glass,DecisionTree,harmfulness_sampling,0,0,92,0.4899925871015567
2025-03-24 12:59:07.038466,glass,DecisionTree,harmfulness_sampling,0,0,93,0.5285087719298247
2025-03-24 12:59:07.058460,glass,DecisionTree,harmfulness_sampling,0,0,94,0.5605839416058394
