time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 13:13:03.462978,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,0,0.0
2025-03-24 13:13:03.471967,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,1,0.0
2025-03-24 13:13:03.480040,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,2,0.0
2025-03-24 13:13:03.488278,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,3,0.0
2025-03-24 13:13:03.496520,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,4,0.0
2025-03-24 13:13:03.504662,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,5,0.0
2025-03-24 13:13:03.512808,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,6,0.0
2025-03-24 13:13:03.520909,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,7,0.0
2025-03-24 13:13:03.528868,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,8,-0.11580594679186218
2025-03-24 13:13:03.536723,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,9,-0.11580594679186218
2025-03-24 13:13:03.544720,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,10,-0.11580594679186218
2025-03-24 13:13:03.552619,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,11,-0.11580594679186218
2025-03-24 13:13:03.560607,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,12,-0.11580594679186218
2025-03-24 13:13:03.568562,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,13,-0.11580594679186218
2025-03-24 13:13:03.576548,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,14,-0.13935681470137817
2025-03-24 13:13:03.584576,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,15,-0.13935681470137817
2025-03-24 13:13:03.592685,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,16,-0.13935681470137817
2025-03-24 13:13:03.600813,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,17,-0.13935681470137817
2025-03-24 13:13:03.609050,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,18,-0.11580594679186218
2025-03-24 13:13:03.617539,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,19,-0.11580594679186218
2025-03-24 13:13:03.626074,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,20,-0.11580594679186218
2025-03-24 13:13:03.634681,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,21,-0.11580594679186218
2025-03-24 13:13:03.643367,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,22,-0.11580594679186218
2025-03-24 13:13:03.651970,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,23,-0.11580594679186218
2025-03-24 13:13:03.660552,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,24,-0.11580594679186218
2025-03-24 13:13:03.669090,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,25,-0.11580594679186218
2025-03-24 13:13:03.677764,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,26,-0.11580594679186218
2025-03-24 13:13:03.686387,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,27,-0.11580594679186218
2025-03-24 13:13:03.694999,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,28,-0.11580594679186218
2025-03-24 13:13:03.703583,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,29,-0.11580594679186218
2025-03-24 13:13:03.712183,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,30,-0.11580594679186218
2025-03-24 13:13:03.720758,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,31,-0.11580594679186218
2025-03-24 13:13:03.729037,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,32,-0.11580594679186218
2025-03-24 13:13:03.737211,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,33,0.30284857571214396
2025-03-24 13:13:03.745699,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,34,0.0
2025-03-24 13:13:03.753958,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,35,0.0
2025-03-24 13:13:03.762269,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,36,0.0504504504504506
2025-03-24 13:13:03.770557,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,37,0.0
2025-03-24 13:13:03.778762,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,38,0.0
2025-03-24 13:13:03.786809,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,39,0.0
2025-03-24 13:13:03.794922,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,40,0.0
2025-03-24 13:13:03.803126,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,41,0.0
2025-03-24 13:13:03.811323,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,42,0.0
2025-03-24 13:13:03.819460,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,43,0.0
2025-03-24 13:13:03.827536,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,44,0.0
2025-03-24 13:13:03.835585,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,45,0.0
2025-03-24 13:13:03.843649,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,46,0.0
2025-03-24 13:13:03.851809,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,47,0.0
2025-03-24 13:13:03.859895,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,48,0.0
2025-03-24 13:13:03.867966,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,49,0.0
2025-03-24 13:13:03.876073,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,50,0.0
2025-03-24 13:13:03.884488,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,51,0.0
2025-03-24 13:13:03.892672,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,52,0.0
2025-03-24 13:13:03.900779,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,53,0.0
2025-03-24 13:13:03.909173,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,54,0.0
2025-03-24 13:13:03.917479,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,55,0.0
2025-03-24 13:13:03.925761,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,56,0.0
2025-03-24 13:13:03.934056,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,57,0.0
2025-03-24 13:13:03.942544,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,58,0.08317929759704257
2025-03-24 13:13:03.950979,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,59,0.0
2025-03-24 13:13:03.959400,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,60,0.20240137221269294
2025-03-24 13:13:03.967747,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,61,0.16216216216216228
2025-03-24 13:13:03.976152,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,62,0.20240137221269294
2025-03-24 13:13:03.984675,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,63,0.20240137221269294
2025-03-24 13:13:03.993118,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,64,0.20240137221269294
2025-03-24 13:13:04.001591,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,65,0.20240137221269294
2025-03-24 13:13:04.009786,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,66,0.20240137221269294
2025-03-24 13:13:04.017947,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,67,0.2730318257956449
2025-03-24 13:13:04.026060,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,68,0.2730318257956449
2025-03-24 13:13:04.034219,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,69,0.20240137221269294
2025-03-24 13:13:04.042410,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,70,0.20240137221269294
2025-03-24 13:13:04.050724,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,71,0.2730318257956449
2025-03-24 13:13:04.058829,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,72,0.16216216216216228
2025-03-24 13:13:04.066835,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,73,0.16216216216216228
2025-03-24 13:13:04.074863,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,74,0.16216216216216228
2025-03-24 13:13:04.082855,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,75,0.08317929759704257
2025-03-24 13:13:04.090787,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,76,0.08317929759704257
2025-03-24 13:13:04.098762,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,77,0.16216216216216228
2025-03-24 13:13:04.106705,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,78,0.16216216216216228
2025-03-24 13:13:04.114680,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,79,0.16216216216216228
2025-03-24 13:13:04.122474,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,80,0.16216216216216228
2025-03-24 13:13:04.130429,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,81,0.16216216216216228
2025-03-24 13:13:04.138251,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,82,0.16216216216216228
2025-03-24 13:13:04.146252,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,83,0.2372583479789102
2025-03-24 13:13:04.154110,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,84,0.20240137221269294
2025-03-24 13:13:04.162085,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,85,0.20240137221269294
2025-03-24 13:13:04.170033,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,86,0.20240137221269294
2025-03-24 13:13:04.177985,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,87,0.20240137221269294
2025-03-24 13:13:04.185912,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,88,0.20240137221269294
2025-03-24 13:13:04.193861,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,89,0.20240137221269294
2025-03-24 13:13:04.202048,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,90,0.20240137221269294
2025-03-24 13:13:04.210330,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,91,0.20240137221269294
2025-03-24 13:13:04.218572,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,92,0.20240137221269294
2025-03-24 13:13:04.226775,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,93,0.20240137221269294
2025-03-24 13:13:04.235093,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,94,0.20240137221269294
2025-03-24 13:13:04.243302,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,95,0.20240137221269294
2025-03-24 13:13:04.251643,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,96,0.20240137221269294
2025-03-24 13:13:04.259991,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,97,0.20240137221269294
2025-03-24 13:13:04.268500,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,98,0.20240137221269294
2025-03-24 13:13:04.277076,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,99,0.20240137221269294
2025-03-24 13:13:04.285694,habermans-survival,GaussianNB,disjunct_size_sampling,0,0,100,0.20240137221269294
2025-03-24 13:13:04.288669,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,0,0.0
2025-03-24 13:13:04.297233,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,1,0.0
2025-03-24 13:13:04.305689,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,2,0.0
2025-03-24 13:13:04.314104,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,3,0.0
2025-03-24 13:13:04.322471,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,4,0.0
2025-03-24 13:13:04.330704,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,5,0.0
2025-03-24 13:13:04.339071,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,6,0.0
2025-03-24 13:13:04.347287,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,7,0.0
2025-03-24 13:13:04.355306,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,8,0.153757225433526
2025-03-24 13:13:04.363399,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,9,0.09293680297397777
2025-03-24 13:13:04.371431,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,10,0.10413885180240323
2025-03-24 13:13:04.379542,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,11,0.1279782164737917
2025-03-24 13:13:04.387539,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,12,0.059125964010282694
2025-03-24 13:13:04.395629,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,13,0.10346854791299231
2025-03-24 13:13:04.403549,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,14,0.16110019646365425
2025-03-24 13:13:04.411483,habermans-survival,GaussianNB,disjunct_size_sampling,0,1,15,0.11482649842271286
