time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 14:12:32.251892,hill-valley-without-noise,5NN,minority_value_sampling,0,0,0,0.0
2025-03-24 14:12:32.264893,hill-valley-without-noise,5NN,minority_value_sampling,0,0,1,0.0
2025-03-24 14:12:32.276755,hill-valley-without-noise,5NN,minority_value_sampling,0,0,2,0.0
2025-03-24 14:12:32.288768,hill-valley-without-noise,5NN,minority_value_sampling,0,0,3,0.08208269525267997
2025-03-24 14:12:32.300656,hill-valley-without-noise,5NN,minority_value_sampling,0,0,4,0.08208269525267997
2025-03-24 14:12:32.312673,hill-valley-without-noise,5NN,minority_value_sampling,0,0,5,0.08208269525267997
2025-03-24 14:12:32.324595,hill-valley-without-noise,5NN,minority_value_sampling,0,0,6,0.08208269525267997
2025-03-24 14:12:32.336482,hill-valley-without-noise,5NN,minority_value_sampling,0,0,7,0.053893442622950816
2025-03-24 14:12:32.348754,hill-valley-without-noise,5NN,minority_value_sampling,0,0,8,0.01128320853420861
2025-03-24 14:12:32.360833,hill-valley-without-noise,5NN,minority_value_sampling,0,0,9,0.01767728674203506
2025-03-24 14:12:32.372791,hill-valley-without-noise,5NN,minority_value_sampling,0,0,10,-0.029942575881870326
2025-03-24 14:12:32.384797,hill-valley-without-noise,5NN,minority_value_sampling,0,0,11,-0.029731392249333632
2025-03-24 14:12:32.396699,hill-valley-without-noise,5NN,minority_value_sampling,0,0,12,-0.0465545529122231
2025-03-24 14:12:32.408731,hill-valley-without-noise,5NN,minority_value_sampling,0,0,13,-0.029731392249333632
2025-03-24 14:12:32.420700,hill-valley-without-noise,5NN,minority_value_sampling,0,0,14,-0.05345622119815685
2025-03-24 14:12:32.432579,hill-valley-without-noise,5NN,minority_value_sampling,0,0,15,-0.0010213461342050145
2025-03-24 14:12:32.444475,hill-valley-without-noise,5NN,minority_value_sampling,0,0,16,-0.0010213461342050145
2025-03-24 14:12:32.456299,hill-valley-without-noise,5NN,minority_value_sampling,0,0,17,-0.0010213461342050145
2025-03-24 14:12:32.468252,hill-valley-without-noise,5NN,minority_value_sampling,0,0,18,-0.0010213461342050145
2025-03-24 14:12:32.480387,hill-valley-without-noise,5NN,minority_value_sampling,0,0,19,0.018931297709923744
2025-03-24 14:12:32.492583,hill-valley-without-noise,5NN,minority_value_sampling,0,0,20,0.018931297709923744
2025-03-24 14:12:32.504491,hill-valley-without-noise,5NN,minority_value_sampling,0,0,21,-0.00020410245943458527
2025-03-24 14:12:32.516505,hill-valley-without-noise,5NN,minority_value_sampling,0,0,22,-0.00020410245943458527
2025-03-24 14:12:32.528623,hill-valley-without-noise,5NN,minority_value_sampling,0,0,23,-0.00020410245943458527
2025-03-24 14:12:32.540670,hill-valley-without-noise,5NN,minority_value_sampling,0,0,24,0.007758268681094416
2025-03-24 14:12:32.552766,hill-valley-without-noise,5NN,minority_value_sampling,0,0,25,0.007758268681094416
2025-03-24 14:12:32.564906,hill-valley-without-noise,5NN,minority_value_sampling,0,0,26,-0.00040828825150573955
2025-03-24 14:12:32.576995,hill-valley-without-noise,5NN,minority_value_sampling,0,0,27,0.031476750127746644
2025-03-24 14:12:32.588950,hill-valley-without-noise,5NN,minority_value_sampling,0,0,28,0.031476750127746644
2025-03-24 14:12:32.600843,hill-valley-without-noise,5NN,minority_value_sampling,0,0,29,0.022699386503067465
2025-03-24 14:12:32.612716,hill-valley-without-noise,5NN,minority_value_sampling,0,0,30,0.006744328632740659
2025-03-24 14:12:32.624622,hill-valley-without-noise,5NN,minority_value_sampling,0,0,31,0.006744328632740659
2025-03-24 14:12:32.636689,hill-valley-without-noise,5NN,minority_value_sampling,0,0,32,0.006744328632740659
