time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 14:02:50.059456,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,0,0.0
2025-03-24 14:02:51.276890,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,1,-0.015204438052188296
2025-03-24 14:02:52.567975,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,2,-0.07453164556962033
2025-03-24 14:02:53.848211,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,3,-0.0657894736842104
2025-03-24 14:02:55.115242,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,4,-0.10577409242592761
2025-03-24 14:02:56.410876,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,5,-0.07387916202813494
2025-03-24 14:02:57.695793,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,6,-0.05769814758578806
2025-03-24 14:02:58.940066,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,7,-0.07387916202813494
2025-03-24 14:03:00.187502,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,8,-0.05769814758578806
2025-03-24 14:03:01.381818,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,9,-0.0815294355654459
2025-03-24 14:03:02.599737,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,10,-0.06600526422352715
2025-03-24 14:03:03.769177,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,11,-0.07453164556962033
2025-03-24 14:03:04.955664,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,12,-0.05045592705167179
2025-03-24 14:03:06.158439,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,13,-0.03099979470334646
2025-03-24 14:03:07.344840,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,14,0.009250693802035137
2025-03-24 14:03:08.495574,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,15,0.0
2025-03-24 14:03:09.666947,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,16,0.08208269525267997
2025-03-24 14:03:10.811674,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,17,0.03443708609271523
2025-03-24 14:03:12.016128,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,18,-0.013633126462508915
2025-03-24 14:03:13.210219,hill-valley-without-noise,SVC,borderline_points_sampling,0,0,19,0.018531717747683474
