time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 15:07:29.079444,indian-liver-patient,5NN,borderline_points_sampling,0,0,0,0.0
2025-03-24 15:07:29.189231,indian-liver-patient,5NN,borderline_points_sampling,0,0,1,0.0
2025-03-24 15:07:29.299340,indian-liver-patient,5NN,borderline_points_sampling,0,0,2,0.0
2025-03-24 15:07:29.407553,indian-liver-patient,5NN,borderline_points_sampling,0,0,3,0.0
2025-03-24 15:07:29.515021,indian-liver-patient,5NN,borderline_points_sampling,0,0,4,0.0
2025-03-24 15:07:29.622080,indian-liver-patient,5NN,borderline_points_sampling,0,0,5,0.0
2025-03-24 15:07:29.729830,indian-liver-patient,5NN,borderline_points_sampling,0,0,6,0.0
2025-03-24 15:07:29.841052,indian-liver-patient,5NN,borderline_points_sampling,0,0,7,0.0
2025-03-24 15:07:29.970315,indian-liver-patient,5NN,borderline_points_sampling,0,0,8,0.0
2025-03-24 15:07:30.102373,indian-liver-patient,5NN,borderline_points_sampling,0,0,9,0.0
2025-03-24 15:07:30.233514,indian-liver-patient,5NN,borderline_points_sampling,0,0,10,0.0
2025-03-24 15:07:30.363814,indian-liver-patient,5NN,borderline_points_sampling,0,0,11,0.0
2025-03-24 15:07:30.491796,indian-liver-patient,5NN,borderline_points_sampling,0,0,12,0.04294478527607348
2025-03-24 15:07:30.618507,indian-liver-patient,5NN,borderline_points_sampling,0,0,13,0.04294478527607348
2025-03-24 15:07:30.748109,indian-liver-patient,5NN,borderline_points_sampling,0,0,14,0.0
2025-03-24 15:07:30.874495,indian-liver-patient,5NN,borderline_points_sampling,0,0,15,0.06314344543582706
2025-03-24 15:07:31.003896,indian-liver-patient,5NN,borderline_points_sampling,0,0,16,0.07916666666666661
2025-03-24 15:07:31.130436,indian-liver-patient,5NN,borderline_points_sampling,0,0,17,0.1312462372065022
2025-03-24 15:07:31.255103,indian-liver-patient,5NN,borderline_points_sampling,0,0,18,0.14312617702448216
2025-03-24 15:07:31.384642,indian-liver-patient,5NN,borderline_points_sampling,0,0,19,0.17447081462475944
2025-03-24 15:07:31.513796,indian-liver-patient,5NN,borderline_points_sampling,0,0,20,0.15332428765264583
2025-03-24 15:07:31.634553,indian-liver-patient,5NN,borderline_points_sampling,0,0,21,0.15332428765264583
2025-03-24 15:07:31.761931,indian-liver-patient,5NN,borderline_points_sampling,0,0,22,0.24105461393596983
2025-03-24 15:07:31.886143,indian-liver-patient,5NN,borderline_points_sampling,0,0,23,0.17241379310344818
2025-03-24 15:07:32.008600,indian-liver-patient,5NN,borderline_points_sampling,0,0,24,0.13682092555331993
2025-03-24 15:07:32.132929,indian-liver-patient,5NN,borderline_points_sampling,0,0,25,0.13682092555331993
2025-03-24 15:07:32.259194,indian-liver-patient,5NN,borderline_points_sampling,0,0,26,0.13682092555331993
2025-03-24 15:07:32.381297,indian-liver-patient,5NN,borderline_points_sampling,0,0,27,0.1206896551724137
2025-03-24 15:07:32.507800,indian-liver-patient,5NN,borderline_points_sampling,0,0,28,0.1206896551724137
2025-03-24 15:07:32.631858,indian-liver-patient,5NN,borderline_points_sampling,0,0,29,0.1560655737704918
2025-03-24 15:07:32.751006,indian-liver-patient,5NN,borderline_points_sampling,0,0,30,0.17447081462475944
2025-03-24 15:07:32.874938,indian-liver-patient,5NN,borderline_points_sampling,0,0,31,0.19066147859922178
2025-03-24 15:07:32.998030,indian-liver-patient,5NN,borderline_points_sampling,0,0,32,0.19066147859922178
2025-03-24 15:07:33.119393,indian-liver-patient,5NN,borderline_points_sampling,0,0,33,0.19066147859922178
2025-03-24 15:07:33.242614,indian-liver-patient,5NN,borderline_points_sampling,0,0,34,0.19066147859922178
2025-03-24 15:07:33.364755,indian-liver-patient,5NN,borderline_points_sampling,0,0,35,0.1560655737704918
2025-03-24 15:07:33.483336,indian-liver-patient,5NN,borderline_points_sampling,0,0,36,0.1560655737704918
2025-03-24 15:07:33.603458,indian-liver-patient,5NN,borderline_points_sampling,0,0,37,0.1560655737704918
2025-03-24 15:07:33.722652,indian-liver-patient,5NN,borderline_points_sampling,0,0,38,0.1400778210116732
2025-03-24 15:07:33.840968,indian-liver-patient,5NN,borderline_points_sampling,0,0,39,0.1560655737704918
2025-03-24 15:07:33.958555,indian-liver-patient,5NN,borderline_points_sampling,0,0,40,0.1934306569343066
2025-03-24 15:07:34.077699,indian-liver-patient,5NN,borderline_points_sampling,0,0,41,0.1934306569343066
