time,dataset,classifier,method,run,fold,query,kappa
2025-03-20 17:13:28.872088,iris,SVC,f3_sampling,0,0,0,0.8
2025-03-20 17:13:28.904929,iris,SVC,f3_sampling,0,0,1,0.55
2025-03-20 17:13:28.936632,iris,SVC,f3_sampling,0,0,2,0.7
2025-03-20 17:13:28.967371,iris,SVC,f3_sampling,0,0,3,0.85
2025-03-20 17:13:28.998905,iris,SVC,f3_sampling,0,0,4,0.85
2025-03-20 17:13:29.030331,iris,SVC,f3_sampling,0,0,5,0.85
2025-03-20 17:13:29.061530,iris,SVC,f3_sampling,0,0,6,0.85
2025-03-20 17:13:29.092846,iris,SVC,f3_sampling,0,0,7,0.8
2025-03-20 17:13:29.124198,iris,SVC,f3_sampling,0,0,8,0.85
2025-03-20 17:13:29.155751,iris,SVC,f3_sampling,0,0,9,0.95
2025-03-20 17:13:29.186949,iris,SVC,f3_sampling,0,0,10,0.95
2025-03-20 17:13:29.218658,iris,SVC,f3_sampling,0,0,11,0.95
2025-03-20 17:13:29.250111,iris,SVC,f3_sampling,0,0,12,0.9
2025-03-20 17:13:29.281366,iris,SVC,f3_sampling,0,0,13,0.85
2025-03-20 17:13:29.312763,iris,SVC,f3_sampling,0,0,14,0.8
2025-03-20 17:13:29.344424,iris,SVC,f3_sampling,0,0,15,0.85
2025-03-20 17:13:29.376714,iris,SVC,f3_sampling,0,0,16,0.85
2025-03-20 17:13:29.409353,iris,SVC,f3_sampling,0,0,17,0.85
2025-03-20 17:13:29.441549,iris,SVC,f3_sampling,0,0,18,0.9
2025-03-20 17:13:29.473146,iris,SVC,f3_sampling,0,0,19,0.85
2025-03-20 17:13:29.504801,iris,SVC,f3_sampling,0,0,20,0.85
2025-03-20 17:13:29.536081,iris,SVC,f3_sampling,0,0,21,0.85
2025-03-20 17:13:29.567439,iris,SVC,f3_sampling,0,0,22,0.9
2025-03-20 17:13:29.598607,iris,SVC,f3_sampling,0,0,23,0.9
2025-03-20 17:13:29.629830,iris,SVC,f3_sampling,0,0,24,0.9
2025-03-20 17:13:29.661185,iris,SVC,f3_sampling,0,0,25,0.9
2025-03-20 17:13:29.692549,iris,SVC,f3_sampling,0,0,26,0.95
2025-03-20 17:13:29.723702,iris,SVC,f3_sampling,0,0,27,0.95
2025-03-20 17:13:29.754691,iris,SVC,f3_sampling,0,0,28,0.95
2025-03-20 17:13:29.785989,iris,SVC,f3_sampling,0,0,29,0.95
2025-03-20 17:13:29.817072,iris,SVC,f3_sampling,0,0,30,0.95
2025-03-20 17:13:29.848451,iris,SVC,f3_sampling,0,0,31,0.95
2025-03-20 17:13:29.879935,iris,SVC,f3_sampling,0,0,32,0.95
2025-03-20 17:13:29.911256,iris,SVC,f3_sampling,0,0,33,0.9
2025-03-20 17:13:29.942649,iris,SVC,f3_sampling,0,0,34,0.95
2025-03-20 17:13:29.973984,iris,SVC,f3_sampling,0,0,35,0.95
2025-03-20 17:13:30.004990,iris,SVC,f3_sampling,0,0,36,1.0
2025-03-20 17:13:30.036281,iris,SVC,f3_sampling,0,0,37,1.0
2025-03-20 17:13:30.067926,iris,SVC,f3_sampling,0,0,38,1.0
2025-03-20 17:13:30.100065,iris,SVC,f3_sampling,0,0,39,1.0
2025-03-20 17:13:30.132377,iris,SVC,f3_sampling,0,0,40,1.0
2025-03-20 17:13:30.164531,iris,SVC,f3_sampling,0,0,41,1.0
2025-03-20 17:13:30.196588,iris,SVC,f3_sampling,0,0,42,1.0
2025-03-20 17:13:30.228189,iris,SVC,f3_sampling,0,0,43,1.0
2025-03-20 17:13:30.259422,iris,SVC,f3_sampling,0,0,44,1.0
2025-03-20 17:13:30.290712,iris,SVC,f3_sampling,0,0,45,0.95
2025-03-20 17:13:30.322016,iris,SVC,f3_sampling,0,0,46,0.95
2025-03-20 17:13:30.354604,iris,SVC,f3_sampling,0,0,47,0.95
2025-03-20 17:13:30.385750,iris,SVC,f3_sampling,0,0,48,1.0
2025-03-20 17:13:30.416554,iris,SVC,f3_sampling,0,0,49,1.0
2025-03-20 17:13:30.448007,iris,SVC,f3_sampling,0,0,50,1.0
2025-03-20 17:13:30.479065,iris,SVC,f3_sampling,0,0,51,1.0
2025-03-20 17:13:30.509906,iris,SVC,f3_sampling,0,0,52,1.0
2025-03-20 17:13:30.540868,iris,SVC,f3_sampling,0,0,53,1.0
2025-03-20 17:13:30.571842,iris,SVC,f3_sampling,0,0,54,1.0
2025-03-20 17:13:30.603179,iris,SVC,f3_sampling,0,0,55,1.0
2025-03-20 17:13:30.634090,iris,SVC,f3_sampling,0,0,56,1.0
2025-03-20 17:13:30.665077,iris,SVC,f3_sampling,0,0,57,1.0
2025-03-20 17:13:30.696053,iris,SVC,f3_sampling,0,0,58,1.0
2025-03-20 17:13:30.726863,iris,SVC,f3_sampling,0,0,59,1.0
2025-03-20 17:13:30.757767,iris,SVC,f3_sampling,0,0,60,1.0
2025-03-20 17:13:30.788500,iris,SVC,f3_sampling,0,0,61,1.0
2025-03-20 17:13:30.818955,iris,SVC,f3_sampling,0,0,62,1.0
2025-03-20 17:13:30.849470,iris,SVC,f3_sampling,0,0,63,1.0
2025-03-20 17:13:30.880198,iris,SVC,f3_sampling,0,0,64,1.0
2025-03-20 17:13:30.911017,iris,SVC,f3_sampling,0,0,65,1.0
2025-03-20 17:13:30.941382,iris,SVC,f3_sampling,0,0,66,1.0
2025-03-20 17:13:30.971904,iris,SVC,f3_sampling,0,0,67,1.0
