time,dataset,classifier,method,run,fold,query,kappa
2025-03-24 17:34:18.634023,leaf,DecisionTree,f3_sampling,0,0,0,0.11767337807606282
2025-03-24 17:34:27.434305,leaf,DecisionTree,f3_sampling,0,0,1,0.16218637992831553
2025-03-24 17:34:36.229683,leaf,DecisionTree,f3_sampling,0,0,2,0.14733542319749215
2025-03-24 17:34:45.029526,leaf,DecisionTree,f3_sampling,0,0,3,0.23920340120832395
2025-03-24 17:34:53.833234,leaf,DecisionTree,f3_sampling,0,0,4,0.27028839704896046
2025-03-24 17:35:02.019819,leaf,DecisionTree,f3_sampling,0,0,5,0.23886277143496748
2025-03-24 17:35:10.807581,leaf,DecisionTree,f3_sampling,0,0,6,0.32989921612541984
2025-03-24 17:35:19.599364,leaf,DecisionTree,f3_sampling,0,0,7,0.25391849529780564
2025-03-24 17:35:27.194634,leaf,DecisionTree,f3_sampling,0,0,8,0.19247143177235038
2025-03-24 17:35:35.974187,leaf,DecisionTree,f3_sampling,0,0,9,0.314516129032258
2025-03-24 17:35:45.397040,leaf,DecisionTree,f3_sampling,0,0,10,0.26898096304591257
2025-03-24 17:35:53.584036,leaf,DecisionTree,f3_sampling,0,0,11,0.31558935361216733
2025-03-24 17:36:02.368537,leaf,DecisionTree,f3_sampling,0,0,12,0.2997537497201701
2025-03-24 17:36:10.553018,leaf,DecisionTree,f3_sampling,0,0,13,0.283247364880018
2025-03-24 17:36:19.334741,leaf,DecisionTree,f3_sampling,0,0,14,0.2848511971358245
2025-03-24 17:36:28.132879,leaf,DecisionTree,f3_sampling,0,0,15,0.3010055865921788
2025-03-24 17:36:36.313194,leaf,DecisionTree,f3_sampling,0,0,16,0.31558935361216733
2025-03-24 17:36:45.071299,leaf,DecisionTree,f3_sampling,0,0,17,0.2862885216614559
2025-03-24 17:36:53.848545,leaf,DecisionTree,f3_sampling,0,0,18,0.31543624161073824
2025-03-24 17:37:02.635068,leaf,DecisionTree,f3_sampling,0,0,19,0.2853309481216456
2025-03-24 17:37:10.818304,leaf,DecisionTree,f3_sampling,0,0,20,0.28517110266159695
2025-03-24 17:37:18.409456,leaf,DecisionTree,f3_sampling,0,0,21,0.3615023474178404
2025-03-24 17:37:26.573022,leaf,DecisionTree,f3_sampling,0,0,22,0.32869643257796743
2025-03-24 17:37:34.174119,leaf,DecisionTree,f3_sampling,0,0,23,0.316506589233862
2025-03-24 17:37:41.762018,leaf,DecisionTree,f3_sampling,0,0,24,0.375308088729554
2025-03-24 17:37:49.945311,leaf,DecisionTree,f3_sampling,0,0,25,0.34630002235636037
2025-03-24 17:37:58.107224,leaf,DecisionTree,f3_sampling,0,0,26,0.21000893655049135
2025-03-24 17:38:06.926726,leaf,DecisionTree,f3_sampling,0,0,27,0.33154602323503135
2025-03-24 17:38:15.100272,leaf,DecisionTree,f3_sampling,0,0,28,0.346446133214126
2025-03-24 17:38:23.291702,leaf,DecisionTree,f3_sampling,0,0,29,0.3304989930633251
2025-03-24 17:38:31.482530,leaf,DecisionTree,f3_sampling,0,0,30,0.2997537497201701
2025-03-24 17:38:40.292730,leaf,DecisionTree,f3_sampling,0,0,31,0.3626422673510378
2025-03-24 17:38:49.085436,leaf,DecisionTree,f3_sampling,0,0,32,0.36249999999999993
2025-03-24 17:38:55.574753,leaf,DecisionTree,f3_sampling,0,0,33,0.3171167150189689
2025-03-24 17:39:04.384869,leaf,DecisionTree,f3_sampling,0,0,34,0.33109769729488037
