time,dataset,classifier,method,run,fold,query,kappa
2025-03-25 14:04:09.280143,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,0,0.0
2025-03-25 14:04:41.772786,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,1,0.004117274454800479
2025-03-25 14:05:12.470126,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,2,0.06991973985758115
2025-03-25 14:05:43.662760,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,3,0.17025716346978192
2025-03-25 14:06:14.727842,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,4,0.18920859121864142
2025-03-25 14:06:45.847594,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,5,0.19900856504026887
2025-03-25 14:07:16.120776,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,6,0.20357548258989644
2025-03-25 14:07:46.946845,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,7,0.19924953095684794
2025-03-25 14:08:16.753014,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,8,0.1988659900579951
2025-03-25 14:08:47.970028,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,9,0.23427698897181326
2025-03-25 14:09:17.938664,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,10,0.22572314383911884
2025-03-25 14:09:48.370235,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,11,0.2363606955115245
2025-03-25 14:10:18.527212,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,12,0.2195213514781793
2025-03-25 14:10:49.720397,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,13,0.2445551601423488
2025-03-25 14:11:19.812344,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,14,0.24463336050619156
2025-03-25 14:11:50.452318,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,15,0.24463336050619156
2025-03-25 14:12:19.664708,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,16,0.24664846398716322
2025-03-25 14:12:50.290779,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,17,0.2343215747165478
2025-03-25 14:13:20.669524,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,18,0.23222298064511948
2025-03-25 14:13:51.055901,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,19,0.23222298064511948
2025-03-25 14:14:21.159065,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,20,0.23620256195378897
2025-03-25 14:14:51.546073,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,21,0.23823237242231754
2025-03-25 14:15:21.315862,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,22,0.22578828828828834
2025-03-25 14:15:52.076486,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,23,0.24244698817789456
2025-03-25 14:16:20.972073,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,24,0.2320639881963522
2025-03-25 14:16:51.223877,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,25,0.22595360574589918
2025-03-25 14:17:20.833968,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,26,0.22595360574589918
2025-03-25 14:17:50.898118,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,27,0.24049338944834964
2025-03-25 14:18:21.215933,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,28,0.2424616937571178
2025-03-25 14:18:51.507438,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,29,0.2424616937571178
2025-03-25 14:19:21.425168,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,30,0.24409051179955332
2025-03-25 14:19:51.772294,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,31,0.26114888689047455
2025-03-25 14:20:20.866605,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,32,0.26116083703447324
2025-03-25 14:20:51.836997,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,33,0.2755755391002199
2025-03-25 14:21:21.532416,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,34,0.2755661114003124
2025-03-25 14:21:51.720499,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,35,0.26645468688594354
2025-03-25 14:22:21.359449,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,36,0.27268062164049434
2025-03-25 14:22:51.974952,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,37,0.27676113360323884
2025-03-25 14:23:21.902454,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,38,0.28546412074875627
2025-03-25 14:23:51.899892,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,39,0.2854710592926828
2025-03-25 14:24:20.652466,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,40,0.2896173802148575
2025-03-25 14:24:50.924488,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,41,0.29168015329440555
2025-03-25 14:25:21.436178,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,42,0.2937269372693727
2025-03-25 14:25:51.719657,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,43,0.34282827882653566
2025-03-25 14:26:21.152233,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,44,0.33862437355976516
2025-03-25 14:26:51.538955,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,45,0.33861782310275035
2025-03-25 14:27:21.057132,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,46,0.34282393957001733
2025-03-25 14:27:51.736657,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,47,0.34072195920739
2025-03-25 14:28:20.670018,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,48,0.34072195920739
2025-03-25 14:28:50.825246,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,49,0.47588415483152324
2025-03-25 14:29:19.890625,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,50,0.47810135130431153
2025-03-25 14:29:49.516336,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,51,0.4624344324848837
2025-03-25 14:30:21.555719,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,52,0.46463572134012
2025-03-25 14:30:51.934643,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,53,0.46463387261080513
2025-03-25 14:31:21.206949,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,54,0.46683334311751723
2025-03-25 14:31:50.935628,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,55,0.46462832634625084
2025-03-25 14:32:19.387935,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,56,0.4602294309807794
2025-03-25 14:32:49.727950,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,57,0.4602294309807794
2025-03-25 14:33:19.222436,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,58,0.4602257030775181
2025-03-25 14:33:48.837418,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,59,0.49339816877358433
2025-03-25 14:34:18.181294,molecular-splice-junction,GaussianNB,ls_radius_sampling,0,0,60,0.49339638883130665
