time,dataset,classifier,method,run,fold,query,kappa
2025-03-25 15:06:43.995565,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,0,0.1428571428571429
2025-03-25 15:06:45.358805,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,1,0.1428571428571429
2025-03-25 15:06:46.706407,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,2,0.1428571428571429
2025-03-25 15:06:48.078087,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,3,0.1428571428571429
2025-03-25 15:06:49.427995,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,4,0.1428571428571429
2025-03-25 15:06:50.799372,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,5,0.1428571428571429
2025-03-25 15:06:52.154515,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,6,0.1428571428571429
2025-03-25 15:06:53.501839,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,7,0.1428571428571429
2025-03-25 15:06:54.851738,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,8,0.125
2025-03-25 15:06:56.192056,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,9,0.125
2025-03-25 15:06:57.527977,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,10,0.125
2025-03-25 15:06:58.849390,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,11,0.125
2025-03-25 15:07:00.158248,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,12,0.125
2025-03-25 15:07:01.463767,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,13,0.125
2025-03-25 15:07:02.766904,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,14,0.125
2025-03-25 15:07:04.074877,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,15,0.125
2025-03-25 15:07:05.376380,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,16,0.125
2025-03-25 15:07:06.657143,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,17,0.125
2025-03-25 15:07:07.941864,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,18,0.125
2025-03-25 15:07:09.249350,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,19,0.2321428571428571
2025-03-25 15:07:10.550484,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,20,0.2321428571428571
2025-03-25 15:07:11.850391,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,21,0.1785714285714286
2025-03-25 15:07:13.160301,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,22,0.1785714285714286
2025-03-25 15:07:14.465583,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,23,0.2321428571428571
2025-03-25 15:07:15.765897,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,24,0.0892857142857143
2025-03-25 15:07:17.083796,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,25,0.1071428571428571
2025-03-25 15:07:18.395838,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,26,0.1071428571428571
2025-03-25 15:07:19.715263,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,27,0.1607142857142857
2025-03-25 15:07:21.030668,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,28,0.1607142857142857
2025-03-25 15:07:22.349247,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,29,0.1964285714285714
2025-03-25 15:07:23.677406,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,30,0.2142857142857143
2025-03-25 15:07:25.003285,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,31,0.2321428571428571
2025-03-25 15:07:26.322125,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,32,0.2321428571428571
2025-03-25 15:07:27.619643,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,33,0.2321428571428571
2025-03-25 15:07:28.921214,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,34,0.2321428571428571
2025-03-25 15:07:30.213450,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,35,0.0535714285714286
2025-03-25 15:07:31.518836,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,36,0.0535714285714286
2025-03-25 15:07:32.827051,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,37,0.0535714285714286
2025-03-25 15:07:34.115426,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,38,0.0535714285714286
2025-03-25 15:07:35.396211,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,39,0.0535714285714286
2025-03-25 15:07:36.685915,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,40,0.0535714285714286
2025-03-25 15:07:37.996892,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,41,0.0535714285714286
2025-03-25 15:07:39.301552,monks1,GaussianNB,tree_depth_pruned_sampling,0,0,42,0.0535714285714286
