time,dataset,classifier,method,run,fold,query,kappa
2025-03-25 16:09:38.590922,movement-libras,DecisionTree,training_utility_sampling,0,0,0,0.0612582781456954
2025-03-25 16:09:38.596995,movement-libras,DecisionTree,training_utility_sampling,0,0,1,0.09573810994441012
2025-03-25 16:09:38.603670,movement-libras,DecisionTree,training_utility_sampling,0,0,2,0.0018621973929237035
2025-03-25 16:09:38.610368,movement-libras,DecisionTree,training_utility_sampling,0,0,3,0.13576158940397354
2025-03-25 16:09:38.617053,movement-libras,DecisionTree,training_utility_sampling,0,0,4,0.09256198347107447
2025-03-25 16:09:38.623656,movement-libras,DecisionTree,training_utility_sampling,0,0,5,0.19486436115137729
2025-03-25 16:09:38.630288,movement-libras,DecisionTree,training_utility_sampling,0,0,6,0.19619598924953485
2025-03-25 16:09:38.637087,movement-libras,DecisionTree,training_utility_sampling,0,0,7,0.14995857497928755
2025-03-25 16:09:38.644034,movement-libras,DecisionTree,training_utility_sampling,0,0,8,0.2406947890818859
2025-03-25 16:09:38.651170,movement-libras,DecisionTree,training_utility_sampling,0,0,9,0.19569714522134873
2025-03-25 16:09:38.658255,movement-libras,DecisionTree,training_utility_sampling,0,0,10,0.2701696317749276
2025-03-25 16:09:38.665408,movement-libras,DecisionTree,training_utility_sampling,0,0,11,0.1951976816394122
2025-03-25 16:09:38.673051,movement-libras,DecisionTree,training_utility_sampling,0,0,12,0.17978458989229518
2025-03-25 16:09:38.680508,movement-libras,DecisionTree,training_utility_sampling,0,0,13,0.23927905531385973
2025-03-25 16:09:38.687672,movement-libras,DecisionTree,training_utility_sampling,0,0,14,0.2688082901554404
2025-03-25 16:09:38.694727,movement-libras,DecisionTree,training_utility_sampling,0,0,15,0.25465838509316785
2025-03-25 16:09:38.701895,movement-libras,DecisionTree,training_utility_sampling,0,0,16,0.25512104283054005
2025-03-25 16:09:38.709200,movement-libras,DecisionTree,training_utility_sampling,0,0,17,0.3142857142857143
2025-03-25 16:09:38.716977,movement-libras,DecisionTree,training_utility_sampling,0,0,18,0.20993788819875792
2025-03-25 16:09:38.724372,movement-libras,DecisionTree,training_utility_sampling,0,0,19,0.2846201614572553
2025-03-25 16:09:38.732019,movement-libras,DecisionTree,training_utility_sampling,0,0,20,0.28373056994818646
2025-03-25 16:09:38.739813,movement-libras,DecisionTree,training_utility_sampling,0,0,21,0.2692626346313174
2025-03-25 16:09:38.747975,movement-libras,DecisionTree,training_utility_sampling,0,0,22,0.2843238765790018
2025-03-25 16:09:38.756073,movement-libras,DecisionTree,training_utility_sampling,0,0,23,0.27001862197392923
2025-03-25 16:09:38.764515,movement-libras,DecisionTree,training_utility_sampling,0,0,24,0.2992337958169393
2025-03-25 16:09:38.773023,movement-libras,DecisionTree,training_utility_sampling,0,0,25,0.27001862197392923
2025-03-25 16:09:38.781279,movement-libras,DecisionTree,training_utility_sampling,0,0,26,0.2697164148209481
2025-03-25 16:09:38.789887,movement-libras,DecisionTree,training_utility_sampling,0,0,27,0.29995862639635906
2025-03-25 16:09:38.798578,movement-libras,DecisionTree,training_utility_sampling,0,0,28,0.24085176762456073
2025-03-25 16:09:38.807226,movement-libras,DecisionTree,training_utility_sampling,0,0,29,0.22548613984278032
2025-03-25 16:09:38.816112,movement-libras,DecisionTree,training_utility_sampling,0,0,30,0.17978458989229495
2025-03-25 16:09:38.824983,movement-libras,DecisionTree,training_utility_sampling,0,0,31,0.16521739130434798
2025-03-25 16:09:38.833537,movement-libras,DecisionTree,training_utility_sampling,0,0,32,0.19586349534643221
2025-03-25 16:09:38.842699,movement-libras,DecisionTree,training_utility_sampling,0,0,33,0.3741721854304636
2025-03-25 16:09:38.851403,movement-libras,DecisionTree,training_utility_sampling,0,0,34,0.3158438339186119
2025-03-25 16:09:38.860078,movement-libras,DecisionTree,training_utility_sampling,0,0,35,0.34450651769087526
2025-03-25 16:09:38.869147,movement-libras,DecisionTree,training_utility_sampling,0,0,36,0.34450651769087526
2025-03-25 16:09:38.878307,movement-libras,DecisionTree,training_utility_sampling,0,0,37,0.3296089385474861
2025-03-25 16:09:38.887619,movement-libras,DecisionTree,training_utility_sampling,0,0,38,0.3296089385474861
2025-03-25 16:09:38.897242,movement-libras,DecisionTree,training_utility_sampling,0,0,39,0.2850641290856434
2025-03-25 16:09:38.906518,movement-libras,DecisionTree,training_utility_sampling,0,0,40,0.2558908639933858
2025-03-25 16:09:38.915841,movement-libras,DecisionTree,training_utility_sampling,0,0,41,0.31485312370707486
2025-03-25 16:09:38.925082,movement-libras,DecisionTree,training_utility_sampling,0,0,42,0.3147113594040968
2025-03-25 16:09:38.934529,movement-libras,DecisionTree,training_utility_sampling,0,0,43,0.34464211832850633
2025-03-25 16:09:38.944205,movement-libras,DecisionTree,training_utility_sampling,0,0,44,0.2849162011173184
2025-03-25 16:09:38.953906,movement-libras,DecisionTree,training_utility_sampling,0,0,45,0.24022346368715086
2025-03-25 16:09:38.963821,movement-libras,DecisionTree,training_utility_sampling,0,0,46,0.23990892154833376
2025-03-25 16:09:38.973841,movement-libras,DecisionTree,training_utility_sampling,0,0,47,0.35980148883374696
2025-03-25 16:09:38.984004,movement-libras,DecisionTree,training_utility_sampling,0,0,48,0.2549668874172186
2025-03-25 16:09:38.994177,movement-libras,DecisionTree,training_utility_sampling,0,0,49,0.30082644628099175
