time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 01:55:07.975451,nursery,DecisionTree,class_balance_sampling,0,0,0,-0.0026285685869635866
2025-03-27 01:55:08.031307,nursery,DecisionTree,class_balance_sampling,0,0,1,0.3629639793958299
2025-03-27 01:55:08.086132,nursery,DecisionTree,class_balance_sampling,0,0,2,0.39340926459620473
2025-03-27 01:55:08.140205,nursery,DecisionTree,class_balance_sampling,0,0,3,0.39046461605388816
2025-03-27 01:55:08.193853,nursery,DecisionTree,class_balance_sampling,0,0,4,0.44202747024865097
2025-03-27 01:55:08.247887,nursery,DecisionTree,class_balance_sampling,0,0,5,0.3404937121170243
2025-03-27 01:55:08.302261,nursery,DecisionTree,class_balance_sampling,0,0,6,0.10800963569837985
2025-03-27 01:55:08.354734,nursery,DecisionTree,class_balance_sampling,0,0,7,0.11247689175456177
2025-03-27 01:55:08.408942,nursery,DecisionTree,class_balance_sampling,0,0,8,0.016531012422810965
2025-03-27 01:55:08.463449,nursery,DecisionTree,class_balance_sampling,0,0,9,0.39344571963012953
2025-03-27 01:55:08.516825,nursery,DecisionTree,class_balance_sampling,0,0,10,0.006551853991082823
2025-03-27 01:55:08.569808,nursery,DecisionTree,class_balance_sampling,0,0,11,0.11340916606350415
2025-03-27 01:55:08.622427,nursery,DecisionTree,class_balance_sampling,0,0,12,0.036647488709062426
2025-03-27 01:55:08.675642,nursery,DecisionTree,class_balance_sampling,0,0,13,0.48824199229751974
2025-03-27 01:55:08.728055,nursery,DecisionTree,class_balance_sampling,0,0,14,0.4204167740914879
2025-03-27 01:55:08.780006,nursery,DecisionTree,class_balance_sampling,0,0,15,0.4030716141280214
2025-03-27 01:55:08.833781,nursery,DecisionTree,class_balance_sampling,0,0,16,0.46556927231314427
2025-03-27 01:55:08.888128,nursery,DecisionTree,class_balance_sampling,0,0,17,0.46556927231314427
2025-03-27 01:55:08.942329,nursery,DecisionTree,class_balance_sampling,0,0,18,0.46556927231314427
2025-03-27 01:55:08.996533,nursery,DecisionTree,class_balance_sampling,0,0,19,0.3679460637264075
2025-03-27 01:55:09.051237,nursery,DecisionTree,class_balance_sampling,0,0,20,0.46556927231314427
2025-03-27 01:55:09.105300,nursery,DecisionTree,class_balance_sampling,0,0,21,0.46556927231314427
2025-03-27 01:55:09.158201,nursery,DecisionTree,class_balance_sampling,0,0,22,0.4277013510676546
