time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 03:20:36.213829,nursery,GaussianNB,f4_sampling,0,0,0,0.13995156947261056
2025-03-27 03:20:36.929241,nursery,GaussianNB,f4_sampling,0,0,1,0.07719196038450338
2025-03-27 03:20:37.572817,nursery,GaussianNB,f4_sampling,0,0,2,0.2992880706339802
2025-03-27 03:20:38.249619,nursery,GaussianNB,f4_sampling,0,0,3,0.25548191217468563
2025-03-27 03:20:38.906561,nursery,GaussianNB,f4_sampling,0,0,4,0.2892072514710057
2025-03-27 03:20:39.578815,nursery,GaussianNB,f4_sampling,0,0,5,0.26671384650878305
2025-03-27 03:20:40.233199,nursery,GaussianNB,f4_sampling,0,0,6,0.2202042676878022
2025-03-27 03:20:40.911854,nursery,GaussianNB,f4_sampling,0,0,7,0.16598086082764918
2025-03-27 03:20:41.567815,nursery,GaussianNB,f4_sampling,0,0,8,0.25871486386446474
2025-03-27 03:20:42.227232,nursery,GaussianNB,f4_sampling,0,0,9,0.25871486386446474
2025-03-27 03:20:42.888718,nursery,GaussianNB,f4_sampling,0,0,10,0.17676511868494393
2025-03-27 03:20:43.291177,nursery,GaussianNB,f4_sampling,0,0,11,0.17676511868494393
2025-03-27 03:20:43.692019,nursery,GaussianNB,f4_sampling,0,0,12,0.17676511868494393
2025-03-27 03:20:44.101538,nursery,GaussianNB,f4_sampling,0,0,13,0.16212891663786122
2025-03-27 03:20:44.515394,nursery,GaussianNB,f4_sampling,0,0,14,0.125545688894387
2025-03-27 03:20:44.935473,nursery,GaussianNB,f4_sampling,0,0,15,0.12132948983342684
2025-03-27 03:20:45.356972,nursery,GaussianNB,f4_sampling,0,0,16,0.24224514793365282
2025-03-27 03:20:45.773673,nursery,GaussianNB,f4_sampling,0,0,17,0.24224514793365282
2025-03-27 03:20:46.204022,nursery,GaussianNB,f4_sampling,0,0,18,0.24224514793365282
2025-03-27 03:20:46.619245,nursery,GaussianNB,f4_sampling,0,0,19,0.24224514793365282
2025-03-27 03:20:47.040244,nursery,GaussianNB,f4_sampling,0,0,20,0.24224514793365282
2025-03-27 03:20:47.448089,nursery,GaussianNB,f4_sampling,0,0,21,0.24224514793365282
2025-03-27 03:20:47.859336,nursery,GaussianNB,f4_sampling,0,0,22,0.24224514793365282
