time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 12:04:12.789640,optdigits,GaussianNB,harmfulness_sampling,0,0,0,0.6165718013507977
2025-03-27 12:04:30.979628,optdigits,GaussianNB,harmfulness_sampling,0,0,1,0.03747768035546306
2025-03-27 12:04:49.886782,optdigits,GaussianNB,harmfulness_sampling,0,0,2,0.10790831287686431
2025-03-27 12:05:08.291776,optdigits,GaussianNB,harmfulness_sampling,0,0,3,0.10825671004143222
2025-03-27 12:05:27.245207,optdigits,GaussianNB,harmfulness_sampling,0,0,4,0.10916575240268567
2025-03-27 12:05:46.392358,optdigits,GaussianNB,harmfulness_sampling,0,0,5,0.1021954447943767
2025-03-27 12:06:05.795950,optdigits,GaussianNB,harmfulness_sampling,0,0,6,0.15525153845005712
2025-03-27 12:06:28.402730,optdigits,GaussianNB,harmfulness_sampling,0,0,7,0.21928474271759835
2025-03-27 12:06:50.315322,optdigits,GaussianNB,harmfulness_sampling,0,0,8,0.26558851296462993
2025-03-27 12:07:08.695864,optdigits,GaussianNB,harmfulness_sampling,0,0,9,0.2724516556268126
2025-03-27 12:07:26.970217,optdigits,GaussianNB,harmfulness_sampling,0,0,10,0.26547239996662253
2025-03-27 12:07:45.326598,optdigits,GaussianNB,harmfulness_sampling,0,0,11,0.2654136844213477
2025-03-27 12:08:04.441916,optdigits,GaussianNB,harmfulness_sampling,0,0,12,0.26637847657481895
2025-03-27 12:08:22.456076,optdigits,GaussianNB,harmfulness_sampling,0,0,13,0.23563413804828293
2025-03-27 12:08:41.239240,optdigits,GaussianNB,harmfulness_sampling,0,0,14,0.23957432750634367
2025-03-27 12:08:59.953211,optdigits,GaussianNB,harmfulness_sampling,0,0,15,0.2789565908176196
2025-03-27 12:09:18.506372,optdigits,GaussianNB,harmfulness_sampling,0,0,16,0.14087511465189761
2025-03-27 12:09:37.070019,optdigits,GaussianNB,harmfulness_sampling,0,0,17,0.14085473479640243
2025-03-27 12:09:56.124827,optdigits,GaussianNB,harmfulness_sampling,0,0,18,0.12490443811368312
2025-03-27 12:10:14.094813,optdigits,GaussianNB,harmfulness_sampling,0,0,19,0.13191897643343775
2025-03-27 12:10:33.068955,optdigits,GaussianNB,harmfulness_sampling,0,0,20,0.13191897643343775
2025-03-27 12:10:51.567286,optdigits,GaussianNB,harmfulness_sampling,0,0,21,0.13487790969948144
2025-03-27 12:11:09.555878,optdigits,GaussianNB,harmfulness_sampling,0,0,22,0.13487790969948144
2025-03-27 12:11:27.874911,optdigits,GaussianNB,harmfulness_sampling,0,0,23,0.13487410906330388
2025-03-27 12:11:46.731384,optdigits,GaussianNB,harmfulness_sampling,0,0,24,0.13485814602669155
2025-03-27 12:12:04.824683,optdigits,GaussianNB,harmfulness_sampling,0,0,25,0.15561268645766257
2025-03-27 12:12:23.236348,optdigits,GaussianNB,harmfulness_sampling,0,0,26,0.1556386524941088
