time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 14:46:22.475998,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,0,0.0
2025-03-27 14:46:25.578098,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,1,0.0
2025-03-27 14:46:28.780568,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,2,0.0
2025-03-27 14:46:31.841352,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,3,0.0
2025-03-27 14:46:35.081899,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,4,0.0
2025-03-27 14:46:38.225958,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,5,0.0
2025-03-27 14:46:41.400719,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,6,0.0
2025-03-27 14:46:44.612956,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,7,0.0
2025-03-27 14:46:47.716087,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,8,0.0
2025-03-27 14:46:50.781114,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,9,0.0
2025-03-27 14:46:53.933255,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,10,0.0
2025-03-27 14:46:56.961796,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,11,0.0
2025-03-27 14:47:00.169860,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,12,0.0
2025-03-27 14:47:03.351627,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,13,0.0
2025-03-27 14:47:06.569419,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,14,0.0
2025-03-27 14:47:09.700706,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,15,0.0
2025-03-27 14:47:12.923142,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,16,0.0
2025-03-27 14:47:15.978338,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,17,0.0
2025-03-27 14:47:19.103646,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,18,0.0
2025-03-27 14:47:22.107568,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,19,0.0
2025-03-27 14:47:25.302301,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,20,0.0
2025-03-27 14:47:28.407969,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,21,0.0
2025-03-27 14:47:31.522246,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,22,0.0
2025-03-27 14:47:34.640054,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,23,0.0
2025-03-27 14:47:37.793958,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,24,0.0
2025-03-27 14:47:40.824439,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,25,0.0
2025-03-27 14:47:43.928632,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,26,0.0
2025-03-27 14:47:46.912557,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,27,0.0
2025-03-27 14:47:50.065856,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,28,0.0
2025-03-27 14:47:53.191068,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,29,0.0
2025-03-27 14:47:56.247447,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,30,0.0
2025-03-27 14:47:59.362841,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,31,0.0
2025-03-27 14:48:02.500343,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,32,0.0
2025-03-27 14:48:05.516983,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,33,0.0
2025-03-27 14:48:08.594866,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,34,0.0
2025-03-27 14:48:11.568140,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,35,0.0
2025-03-27 14:48:14.667686,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,36,0.0
2025-03-27 14:48:17.677275,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,37,0.0
2025-03-27 14:48:20.793506,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,38,0.0
2025-03-27 14:48:23.976933,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,39,0.0
2025-03-27 14:48:27.076600,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,40,0.0
2025-03-27 14:48:30.051234,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,41,0.0
2025-03-27 14:48:33.103455,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,42,0.0
2025-03-27 14:48:36.083720,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,43,0.0
2025-03-27 14:48:39.179463,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,44,0.0
2025-03-27 14:48:42.195522,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,45,0.0
2025-03-27 14:48:45.247462,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,46,0.0
2025-03-27 14:48:48.338110,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,47,0.0
2025-03-27 14:48:51.377090,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,48,0.0
2025-03-27 14:48:54.350292,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,49,0.0
2025-03-27 14:48:57.407285,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,50,0.0
2025-03-27 14:49:00.384538,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,51,0.0
2025-03-27 14:49:03.446278,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,52,0.0
2025-03-27 14:49:06.387889,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,53,0.0
2025-03-27 14:49:09.383187,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,54,0.0
2025-03-27 14:49:12.439048,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,55,0.0
2025-03-27 14:49:15.438376,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,56,0.0
2025-03-27 14:49:18.349067,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,57,0.0
2025-03-27 14:49:21.350680,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,58,0.0
2025-03-27 14:49:24.269956,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,59,0.0
2025-03-27 14:49:27.349678,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,60,0.0
2025-03-27 14:49:30.304623,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,61,0.0
2025-03-27 14:49:33.286670,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,62,0.0
2025-03-27 14:49:36.295274,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,63,0.0
2025-03-27 14:49:39.287888,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,64,0.0
2025-03-27 14:49:42.210301,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,65,0.0
2025-03-27 14:49:45.194927,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,66,0.0
2025-03-27 14:49:48.086007,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,67,0.0
2025-03-27 14:49:51.129546,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,68,0.0
2025-03-27 14:49:54.062170,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,69,0.0
2025-03-27 14:49:57.022148,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,70,0.0
2025-03-27 14:50:00.074460,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,71,0.0
2025-03-27 14:50:03.035276,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,72,0.0
2025-03-27 14:50:05.928773,ozone-eighthr,GaussianNB,harmfulness_sampling,0,0,73,0.0
