time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 14:53:40.658370,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,0,0.0
2025-03-27 14:53:45.595736,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,1,0.0
2025-03-27 14:53:50.632000,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,2,0.0
2025-03-27 14:53:55.444011,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,3,0.0
2025-03-27 14:54:00.463310,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,4,0.0
2025-03-27 14:54:05.485724,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,5,0.0
2025-03-27 14:54:10.432103,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,6,0.0
2025-03-27 14:54:15.570096,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,7,0.0
2025-03-27 14:54:20.580956,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,8,0.0
2025-03-27 14:54:25.446404,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,9,0.0
2025-03-27 14:54:30.430584,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,10,0.0
2025-03-27 14:54:35.151541,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,11,0.0
2025-03-27 14:54:40.122808,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,12,0.0
2025-03-27 14:54:45.096340,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,13,0.0
2025-03-27 14:54:50.064508,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,14,0.0
2025-03-27 14:54:55.002030,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,15,0.0
2025-03-27 14:54:59.846447,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,16,0.0
2025-03-27 14:55:04.869352,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,17,0.0
2025-03-27 14:55:10.156691,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,18,0.0
2025-03-27 14:55:15.110016,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,19,0.0
2025-03-27 14:55:20.209256,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,20,0.0
2025-03-27 14:55:25.062203,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,21,0.0
2025-03-27 14:55:30.052986,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,22,0.0
2025-03-27 14:55:35.044792,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,23,0.0
2025-03-27 14:55:39.978510,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,24,0.0
2025-03-27 14:55:44.851909,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,25,0.0
2025-03-27 14:55:49.686573,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,26,0.0
2025-03-27 14:55:54.408738,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,27,0.0
2025-03-27 14:55:59.366203,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,28,0.0
2025-03-27 14:56:04.254353,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,29,0.0
2025-03-27 14:56:09.331945,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,30,0.0
2025-03-27 14:56:14.222999,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,31,0.0
2025-03-27 14:56:19.248476,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,32,0.0
2025-03-27 14:56:23.964005,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,33,0.0
2025-03-27 14:56:28.857828,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,34,0.0
2025-03-27 14:56:33.695863,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,35,0.0
2025-03-27 14:56:38.679382,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,36,0.0
2025-03-27 14:56:43.508968,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,37,0.0
2025-03-27 14:56:48.465360,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,38,0.0
2025-03-27 14:56:53.557286,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,39,0.0
2025-03-27 14:56:58.656050,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,40,0.0
2025-03-27 14:57:03.401150,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,41,0.0
2025-03-27 14:57:08.512580,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,42,0.0
2025-03-27 14:57:13.250180,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,43,0.0
2025-03-27 14:57:18.121222,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,44,0.0
2025-03-27 14:57:22.917814,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,45,0.0
2025-03-27 14:57:27.662948,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,46,0.0
2025-03-27 14:57:32.581477,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,47,0.0
2025-03-27 14:57:37.662027,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,48,0.0
2025-03-27 14:57:42.482107,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,49,0.0
2025-03-27 14:57:47.333642,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,50,0.0
2025-03-27 14:57:51.883620,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,51,0.0
2025-03-27 14:57:56.712744,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,52,0.0
2025-03-27 14:58:01.575747,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,53,0.0
2025-03-27 14:58:06.359010,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,54,0.0
2025-03-27 14:58:11.304913,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,55,0.0
2025-03-27 14:58:16.081281,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,56,0.0
2025-03-27 14:58:20.810949,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,57,0.0
2025-03-27 14:58:25.611534,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,58,0.0
2025-03-27 14:58:30.370586,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,59,0.0
2025-03-27 14:58:35.337696,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,60,0.0
2025-03-27 14:58:40.125130,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,61,0.0
2025-03-27 14:58:44.946034,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,62,0.0
2025-03-27 14:58:49.808147,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,63,0.0
2025-03-27 14:58:54.821594,ozone-eighthr,GaussianNB,ls_radius_sampling,0,0,64,0.0
