time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 17:24:14.232329,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,0,0.2777777777777778
2025-03-27 17:24:15.644323,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,1,0.48684210526315785
2025-03-27 17:24:17.055695,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,2,0.48684210526315785
2025-03-27 17:24:18.492538,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,3,0.4276729559748428
2025-03-27 17:24:20.002707,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,4,0.5133689839572193
2025-03-27 17:24:21.462005,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,5,0.3157894736842105
2025-03-27 17:24:22.859828,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,6,0.193103448275862
2025-03-27 17:24:24.257792,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,7,0.4276729559748428
2025-03-27 17:24:25.643909,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,8,0.193103448275862
2025-03-27 17:24:27.047501,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,9,0.30534351145038163
2025-03-27 17:24:28.488456,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,10,0.30534351145038163
2025-03-27 17:24:29.979468,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,11,0.4347826086956522
2025-03-27 17:24:31.407767,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,12,0.246376811594203
2025-03-27 17:24:32.769968,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,13,0.193103448275862
2025-03-27 17:24:34.135658,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,14,0.5517241379310345
2025-03-27 17:24:35.522958,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,15,0.4276729559748428
2025-03-27 17:24:36.941383,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,16,0.30534351145038163
2025-03-27 17:24:38.369759,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,17,0.193103448275862
2025-03-27 17:24:39.791128,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,18,0.193103448275862
2025-03-27 17:24:41.221687,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,19,0.4347826086956522
2025-03-27 17:24:42.595761,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,20,0.4347826086956522
2025-03-27 17:24:43.953557,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,21,0.5666666666666667
2025-03-27 17:24:45.314426,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,22,0.4347826086956522
2025-03-27 17:24:46.707737,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,23,0.4347826086956522
2025-03-27 17:24:48.069699,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,24,0.193103448275862
2025-03-27 17:24:49.387416,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,25,0.4276729559748428
2025-03-27 17:24:50.768828,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,26,0.48684210526315785
2025-03-27 17:24:52.154719,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,27,0.4347826086956522
2025-03-27 17:24:53.481631,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,28,0.4347826086956522
2025-03-27 17:24:54.846574,parkinsons,DecisionTree,disjunct_class_percentage_sampling,0,0,29,0.6867469879518073
