time,dataset,classifier,method,run,fold,query,kappa
2025-03-27 23:11:41.644320,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,0,0.4466050477218556
2025-03-27 23:12:11.123066,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,1,0.23752013288390905
2025-03-27 23:12:42.476333,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,2,0.12161493993179406
2025-03-27 23:13:12.331852,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,3,0.12161493993179406
2025-03-27 23:13:44.552734,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,4,0.14054986884948106
2025-03-27 23:14:17.231690,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,5,0.042241690491124584
2025-03-27 23:14:53.039343,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,6,0.04425378778000888
2025-03-27 23:15:22.857024,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,7,0.1381657731815188
2025-03-27 23:15:52.447127,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,8,0.1727825145064863
2025-03-27 23:16:24.841263,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,9,0.19686785414785934
2025-03-27 23:16:55.128283,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,10,0.22747968135487884
2025-03-27 23:17:24.980036,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,11,0.23062701458243784
2025-03-27 23:17:56.049078,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,12,0.24208714232384587
2025-03-27 23:18:33.045262,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,13,0.25604258933863766
2025-03-27 23:19:02.131338,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,14,0.26161118974082753
2025-03-27 23:19:33.972556,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,15,0.2641311194052428
2025-03-27 23:20:06.728135,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,16,0.25761068191939185
2025-03-27 23:20:37.121348,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,17,0.26365866007076144
2025-03-27 23:21:09.398691,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,18,0.2757748669392628
2025-03-27 23:21:43.250294,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,19,0.27476689876520466
2025-03-27 23:22:12.545370,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,20,0.28837446911498865
2025-03-27 23:22:42.090301,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,21,0.28837446911498865
2025-03-27 23:23:11.308616,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,22,0.28837446911498865
2025-03-27 23:23:40.857883,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,23,0.3181489107903429
2025-03-27 23:24:15.167150,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,24,0.31564187578391023
2025-03-27 23:24:47.278783,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,25,0.3253297323549422
2025-03-27 23:25:18.143783,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,26,0.3233101430399311
2025-03-27 23:25:49.846700,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,27,0.3263328014983713
2025-03-27 23:26:18.576227,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,28,0.3273440617103339
2025-03-27 23:26:52.047468,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,29,0.32633836256414184
2025-03-27 23:27:25.127392,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,30,0.3437912121913598
2025-03-27 23:27:54.505484,pendigits,GaussianNB,k_disagreeing_neighbors_sampling,0,0,31,0.3518659174241068
