time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 06:42:18.194703,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,0,0.30141129032258074
2025-03-28 06:42:18.311536,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,1,0.2093750000000001
2025-03-28 06:42:18.428819,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,2,0.1577028258887876
2025-03-28 06:42:18.546691,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,3,0.3266219239373602
2025-03-28 06:42:18.665484,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,4,0.3082451587143141
2025-03-28 06:42:18.785200,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,5,0.37891577565184764
2025-03-28 06:42:18.901782,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,6,0.3326572008113591
2025-03-28 06:42:19.025450,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,7,0.40460348858119044
2025-03-28 06:42:19.146671,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,8,0.379989720746959
2025-03-28 06:42:19.263124,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,9,0.34778276033881417
2025-03-28 06:42:19.378332,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,10,0.3581193731243748
2025-03-28 06:42:19.493462,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,11,0.38379459819939976
2025-03-28 06:42:19.610352,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,12,0.3968668407310705
2025-03-28 06:42:19.728543,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,13,0.37006092254134026
2025-03-28 06:42:19.845653,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,14,0.36363636363636365
2025-03-28 06:42:19.964805,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,15,0.4236727589208007
2025-03-28 06:42:20.078098,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,16,0.42084527220630374
2025-03-28 06:42:20.192951,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,17,0.39963735267452405
2025-03-28 06:42:20.311263,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,18,0.38310269482884196
2025-03-28 06:42:20.424074,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,19,0.42472917444901015
2025-03-28 06:42:20.534569,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,20,0.35091158596353655
2025-03-28 06:42:20.642545,pima-indians-diabetes,GaussianNB,borderline_points_sampling,0,0,21,0.38663299009131535
