time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 07:11:13.022651,qsar-biodegradation,GaussianNB,margin_sampling,0,0,0,0.0
2025-03-28 07:11:13.026770,qsar-biodegradation,GaussianNB,margin_sampling,0,0,1,0.04463130659767134
2025-03-28 07:11:13.030658,qsar-biodegradation,GaussianNB,margin_sampling,0,0,2,0.09731179362748243
2025-03-28 07:11:13.034466,qsar-biodegradation,GaussianNB,margin_sampling,0,0,3,0.1486571680746438
2025-03-28 07:11:13.038235,qsar-biodegradation,GaussianNB,margin_sampling,0,0,4,0.18217054263565902
2025-03-28 07:11:13.042036,qsar-biodegradation,GaussianNB,margin_sampling,0,0,5,0.16548433674430285
2025-03-28 07:11:13.045808,qsar-biodegradation,GaussianNB,margin_sampling,0,0,6,0.16548433674430285
2025-03-28 07:11:13.049635,qsar-biodegradation,GaussianNB,margin_sampling,0,0,7,0.37202380952380953
2025-03-28 07:11:13.053451,qsar-biodegradation,GaussianNB,margin_sampling,0,0,8,0.40191331049958656
2025-03-28 07:11:13.057221,qsar-biodegradation,GaussianNB,margin_sampling,0,0,9,0.40191331049958656
2025-03-28 07:11:13.060978,qsar-biodegradation,GaussianNB,margin_sampling,0,0,10,0.40191331049958656
2025-03-28 07:11:13.064811,qsar-biodegradation,GaussianNB,margin_sampling,0,0,11,0.40191331049958656
2025-03-28 07:11:13.068665,qsar-biodegradation,GaussianNB,margin_sampling,0,0,12,0.5288676236044658
2025-03-28 07:11:13.072498,qsar-biodegradation,GaussianNB,margin_sampling,0,0,13,0.5480831013064895
2025-03-28 07:11:13.076335,qsar-biodegradation,GaussianNB,margin_sampling,0,0,14,0.5089039242219215
2025-03-28 07:11:13.080207,qsar-biodegradation,GaussianNB,margin_sampling,0,0,15,0.5089039242219215
2025-03-28 07:11:13.084042,qsar-biodegradation,GaussianNB,margin_sampling,0,0,16,0.5089039242219215
2025-03-28 07:11:13.087920,qsar-biodegradation,GaussianNB,margin_sampling,0,0,17,0.5089039242219215
2025-03-28 07:11:13.091763,qsar-biodegradation,GaussianNB,margin_sampling,0,0,18,0.5089039242219215
2025-03-28 07:11:13.095754,qsar-biodegradation,GaussianNB,margin_sampling,0,0,19,0.5089039242219215
2025-03-28 07:11:13.099680,qsar-biodegradation,GaussianNB,margin_sampling,0,0,20,0.5089039242219215
2025-03-28 07:11:13.103572,qsar-biodegradation,GaussianNB,margin_sampling,0,0,21,0.43991541818509017
2025-03-28 07:11:13.107497,qsar-biodegradation,GaussianNB,margin_sampling,0,0,22,0.4287003610108303
2025-03-28 07:11:13.111430,qsar-biodegradation,GaussianNB,margin_sampling,0,0,23,0.4287003610108303
2025-03-28 07:11:13.115261,qsar-biodegradation,GaussianNB,margin_sampling,0,0,24,0.4287003610108303
2025-03-28 07:11:13.119129,qsar-biodegradation,GaussianNB,margin_sampling,0,0,25,0.4287003610108303
2025-03-28 07:11:13.123006,qsar-biodegradation,GaussianNB,margin_sampling,0,0,26,0.43651835422984653
2025-03-28 07:11:13.126876,qsar-biodegradation,GaussianNB,margin_sampling,0,0,27,0.43651835422984653
2025-03-28 07:11:13.130742,qsar-biodegradation,GaussianNB,margin_sampling,0,0,28,0.4443839099246346
2025-03-28 07:11:13.134613,qsar-biodegradation,GaussianNB,margin_sampling,0,0,29,0.4443839099246346
2025-03-28 07:11:13.138601,qsar-biodegradation,GaussianNB,margin_sampling,0,0,30,0.4602594555088617
2025-03-28 07:11:13.142481,qsar-biodegradation,GaussianNB,margin_sampling,0,0,31,0.3935725483365268
2025-03-28 07:11:13.146400,qsar-biodegradation,GaussianNB,margin_sampling,0,0,32,0.3935725483365268
2025-03-28 07:11:13.150382,qsar-biodegradation,GaussianNB,margin_sampling,0,0,33,0.3935725483365268
2025-03-28 07:11:13.154238,qsar-biodegradation,GaussianNB,margin_sampling,0,0,34,0.40101323317465165
2025-03-28 07:11:13.158100,qsar-biodegradation,GaussianNB,margin_sampling,0,0,35,0.40101323317465165
2025-03-28 07:11:13.161990,qsar-biodegradation,GaussianNB,margin_sampling,0,0,36,0.40101323317465165
2025-03-28 07:11:13.165852,qsar-biodegradation,GaussianNB,margin_sampling,0,0,37,0.40101323317465165
2025-03-28 07:11:13.169772,qsar-biodegradation,GaussianNB,margin_sampling,0,0,38,0.40101323317465165
2025-03-28 07:11:13.173656,qsar-biodegradation,GaussianNB,margin_sampling,0,0,39,0.3751233958538993
2025-03-28 07:11:13.177519,qsar-biodegradation,GaussianNB,margin_sampling,0,0,40,0.36788496105452373
2025-03-28 07:11:13.181398,qsar-biodegradation,GaussianNB,margin_sampling,0,0,41,0.36788496105452373
2025-03-28 07:11:13.185270,qsar-biodegradation,GaussianNB,margin_sampling,0,0,42,0.37148936170212754
