time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 16:34:44.595233,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,0,0.0
2025-03-28 16:35:40.178576,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,1,0.3037408659613917
2025-03-28 16:36:36.539771,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,2,0.3331414197875908
2025-03-28 16:37:31.793335,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,3,0.3501470994996102
2025-03-28 16:38:27.139593,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,4,0.3516925002514443
2025-03-28 16:39:22.388468,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,5,0.3704976530475168
2025-03-28 16:40:17.930207,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,6,0.3662854909690244
2025-03-28 16:41:15.837777,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,7,0.36703024085917957
2025-03-28 16:42:07.053070,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,8,0.35522811068977733
2025-03-28 16:43:02.085507,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,9,0.35309501448171243
2025-03-28 16:43:53.735045,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,10,0.4170303476030657
2025-03-28 16:44:46.324941,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,11,0.5640909418684907
2025-03-28 16:45:37.473915,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,12,0.5641202845513227
2025-03-28 16:46:28.085670,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,13,0.565092131635094
2025-03-28 16:47:18.830047,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,14,0.5565378999414128
2025-03-28 16:48:09.540783,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,15,0.5518228027064329
2025-03-28 16:49:02.672492,robot-nav-sensor-readings-2,GaussianNB,expected_error_reduction,0,0,16,0.5406039330205972
