time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 17:13:35.542806,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,0,0.0
2025-03-28 17:13:35.603775,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,1,0.0
2025-03-28 17:13:35.664631,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,2,0.0
2025-03-28 17:13:35.722599,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,3,0.0
2025-03-28 17:13:35.765787,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,4,0.0
2025-03-28 17:13:35.812731,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,5,0.0
2025-03-28 17:13:35.857063,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,6,0.0
2025-03-28 17:13:35.902572,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,7,-0.0074710496824805794
2025-03-28 17:13:35.957845,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,8,-0.0074710496824805794
2025-03-28 17:13:36.012809,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,9,0.11465231788079466
2025-03-28 17:13:36.067701,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,10,0.12151137827393743
2025-03-28 17:13:36.122257,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,11,0.15951197469498424
2025-03-28 17:13:36.176743,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,12,0.2069601290619959
2025-03-28 17:13:36.244187,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,13,0.15951197469498424
2025-03-28 17:13:36.321897,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,14,0.1411318967558607
2025-03-28 17:13:36.399590,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,15,0.11199999999999999
2025-03-28 17:13:36.477251,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,16,0.14723604925334044
2025-03-28 17:13:36.554350,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,17,0.070251283436909
2025-03-28 17:13:36.632101,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,18,0.12506917542888762
2025-03-28 17:13:36.710467,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,19,0.12985540119081362
2025-03-28 17:13:36.788806,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,20,0.14922813036020577
2025-03-28 17:13:36.848080,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,21,0.1153070049005478
2025-03-28 17:13:36.903603,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,22,-0.04430955993930197
2025-03-28 17:13:36.961530,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,23,0.0457343887423044
2025-03-28 17:13:37.014527,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,24,0.04288164665523153
2025-03-28 17:13:37.067377,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,25,0.17653569452130602
2025-03-28 17:13:37.120483,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,26,0.17653569452130602
2025-03-28 17:13:37.173222,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,27,0.07711936489934779
2025-03-28 17:13:37.226817,saheart,5NN,k_disagreeing_neighbors_sampling,0,0,28,0.1153070049005478
