time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 17:34:52.581369,seeds,DecisionTree,borderline_points_sampling,0,0,0,0.75
2025-03-28 17:34:52.604242,seeds,DecisionTree,borderline_points_sampling,0,0,1,0.6785714285714286
2025-03-28 17:34:52.626648,seeds,DecisionTree,borderline_points_sampling,0,0,2,0.8214285714285714
2025-03-28 17:34:52.648726,seeds,DecisionTree,borderline_points_sampling,0,0,3,0.75
2025-03-28 17:34:52.670295,seeds,DecisionTree,borderline_points_sampling,0,0,4,0.9642857142857143
2025-03-28 17:34:52.691951,seeds,DecisionTree,borderline_points_sampling,0,0,5,0.7142857142857143
2025-03-28 17:34:52.713375,seeds,DecisionTree,borderline_points_sampling,0,0,6,0.8214285714285714
2025-03-28 17:34:52.734834,seeds,DecisionTree,borderline_points_sampling,0,0,7,0.7142857142857143
2025-03-28 17:34:52.756056,seeds,DecisionTree,borderline_points_sampling,0,0,8,0.7142857142857143
2025-03-28 17:34:52.777525,seeds,DecisionTree,borderline_points_sampling,0,0,9,0.7857142857142857
2025-03-28 17:34:52.798877,seeds,DecisionTree,borderline_points_sampling,0,0,10,0.75
2025-03-28 17:34:52.819988,seeds,DecisionTree,borderline_points_sampling,0,0,11,0.6785714285714286
2025-03-28 17:34:52.841019,seeds,DecisionTree,borderline_points_sampling,0,0,12,0.7857142857142857
2025-03-28 17:34:52.862082,seeds,DecisionTree,borderline_points_sampling,0,0,13,0.8214285714285714
2025-03-28 17:34:52.882928,seeds,DecisionTree,borderline_points_sampling,0,0,14,0.8214285714285714
2025-03-28 17:34:52.903716,seeds,DecisionTree,borderline_points_sampling,0,0,15,0.8214285714285714
2025-03-28 17:34:52.924574,seeds,DecisionTree,borderline_points_sampling,0,0,16,0.8214285714285714
2025-03-28 17:34:52.945389,seeds,DecisionTree,borderline_points_sampling,0,0,17,0.7857142857142857
2025-03-28 17:34:52.966126,seeds,DecisionTree,borderline_points_sampling,0,0,18,0.8214285714285714
2025-03-28 17:34:52.986822,seeds,DecisionTree,borderline_points_sampling,0,0,19,0.8214285714285714
2025-03-28 17:34:53.007739,seeds,DecisionTree,borderline_points_sampling,0,0,20,0.8214285714285714
2025-03-28 17:34:53.031620,seeds,DecisionTree,borderline_points_sampling,0,0,21,0.8214285714285714
2025-03-28 17:34:53.055416,seeds,DecisionTree,borderline_points_sampling,0,0,22,0.8571428571428572
2025-03-28 17:34:53.076249,seeds,DecisionTree,borderline_points_sampling,0,0,23,0.8571428571428572
2025-03-28 17:34:53.096698,seeds,DecisionTree,borderline_points_sampling,0,0,24,0.8571428571428572
2025-03-28 17:34:53.116930,seeds,DecisionTree,borderline_points_sampling,0,0,25,0.8571428571428572
2025-03-28 17:34:53.137082,seeds,DecisionTree,borderline_points_sampling,0,0,26,0.8571428571428572
2025-03-28 17:34:53.157369,seeds,DecisionTree,borderline_points_sampling,0,0,27,0.8571428571428572
2025-03-28 17:34:53.177379,seeds,DecisionTree,borderline_points_sampling,0,0,28,0.8571428571428572
2025-03-28 17:34:53.197304,seeds,DecisionTree,borderline_points_sampling,0,0,29,0.8571428571428572
2025-03-28 17:34:53.217175,seeds,DecisionTree,borderline_points_sampling,0,0,30,0.8571428571428572
2025-03-28 17:34:53.237090,seeds,DecisionTree,borderline_points_sampling,0,0,31,0.8571428571428572
2025-03-28 17:34:53.256920,seeds,DecisionTree,borderline_points_sampling,0,0,32,0.8571428571428572
2025-03-28 17:34:53.276627,seeds,DecisionTree,borderline_points_sampling,0,0,33,0.8571428571428572
2025-03-28 17:34:53.296408,seeds,DecisionTree,borderline_points_sampling,0,0,34,0.8571428571428572
2025-03-28 17:34:53.315991,seeds,DecisionTree,borderline_points_sampling,0,0,35,0.9285714285714286
2025-03-28 17:34:53.335585,seeds,DecisionTree,borderline_points_sampling,0,0,36,0.9285714285714286
2025-03-28 17:34:53.354983,seeds,DecisionTree,borderline_points_sampling,0,0,37,0.8571428571428572
2025-03-28 17:34:53.374468,seeds,DecisionTree,borderline_points_sampling,0,0,38,0.8214285714285714
2025-03-28 17:34:53.393685,seeds,DecisionTree,borderline_points_sampling,0,0,39,0.8214285714285714
2025-03-28 17:34:53.412947,seeds,DecisionTree,borderline_points_sampling,0,0,40,0.8571428571428572
2025-03-28 17:34:53.432080,seeds,DecisionTree,borderline_points_sampling,0,0,41,0.8928571428571429
2025-03-28 17:34:53.451058,seeds,DecisionTree,borderline_points_sampling,0,0,42,0.8928571428571429
2025-03-28 17:34:53.470022,seeds,DecisionTree,borderline_points_sampling,0,0,43,0.8571428571428572
2025-03-28 17:34:53.488895,seeds,DecisionTree,borderline_points_sampling,0,0,44,0.8928571428571429
2025-03-28 17:34:53.507597,seeds,DecisionTree,borderline_points_sampling,0,0,45,0.8928571428571429
2025-03-28 17:34:53.526355,seeds,DecisionTree,borderline_points_sampling,0,0,46,0.8571428571428572
2025-03-28 17:34:53.545041,seeds,DecisionTree,borderline_points_sampling,0,0,47,0.8928571428571429
2025-03-28 17:34:53.563722,seeds,DecisionTree,borderline_points_sampling,0,0,48,0.8928571428571429
2025-03-28 17:34:53.582214,seeds,DecisionTree,borderline_points_sampling,0,0,49,0.8928571428571429
2025-03-28 17:34:53.600650,seeds,DecisionTree,borderline_points_sampling,0,0,50,0.8928571428571429
2025-03-28 17:34:53.619103,seeds,DecisionTree,borderline_points_sampling,0,0,51,0.8571428571428572
2025-03-28 17:34:53.637460,seeds,DecisionTree,borderline_points_sampling,0,0,52,0.9285714285714286
2025-03-28 17:34:53.655805,seeds,DecisionTree,borderline_points_sampling,0,0,53,0.9285714285714286
2025-03-28 17:34:53.674114,seeds,DecisionTree,borderline_points_sampling,0,0,54,0.9285714285714286
2025-03-28 17:34:53.692440,seeds,DecisionTree,borderline_points_sampling,0,0,55,0.8571428571428572
2025-03-28 17:34:53.710645,seeds,DecisionTree,borderline_points_sampling,0,0,56,0.8571428571428572
2025-03-28 17:34:53.728694,seeds,DecisionTree,borderline_points_sampling,0,0,57,0.8571428571428572
2025-03-28 17:34:53.746752,seeds,DecisionTree,borderline_points_sampling,0,0,58,0.8571428571428572
2025-03-28 17:34:53.764705,seeds,DecisionTree,borderline_points_sampling,0,0,59,0.8571428571428572
2025-03-28 17:34:53.782795,seeds,DecisionTree,borderline_points_sampling,0,0,60,0.8571428571428572
2025-03-28 17:34:53.800636,seeds,DecisionTree,borderline_points_sampling,0,0,61,0.8571428571428572
2025-03-28 17:34:53.818441,seeds,DecisionTree,borderline_points_sampling,0,0,62,0.8571428571428572
2025-03-28 17:34:53.836172,seeds,DecisionTree,borderline_points_sampling,0,0,63,0.9285714285714286
2025-03-28 17:34:53.853957,seeds,DecisionTree,borderline_points_sampling,0,0,64,0.8571428571428572
2025-03-28 17:34:53.871703,seeds,DecisionTree,borderline_points_sampling,0,0,65,0.8214285714285714
2025-03-28 17:34:53.889447,seeds,DecisionTree,borderline_points_sampling,0,0,66,0.8571428571428572
2025-03-28 17:34:53.907145,seeds,DecisionTree,borderline_points_sampling,0,0,67,0.8571428571428572
2025-03-28 17:34:53.924652,seeds,DecisionTree,borderline_points_sampling,0,0,68,0.8214285714285714
2025-03-28 17:34:53.942021,seeds,DecisionTree,borderline_points_sampling,0,0,69,0.8571428571428572
2025-03-28 17:34:53.959371,seeds,DecisionTree,borderline_points_sampling,0,0,70,0.8571428571428572
2025-03-28 17:34:53.976617,seeds,DecisionTree,borderline_points_sampling,0,0,71,0.8571428571428572
2025-03-28 17:34:53.993928,seeds,DecisionTree,borderline_points_sampling,0,0,72,0.8571428571428572
2025-03-28 17:34:54.011065,seeds,DecisionTree,borderline_points_sampling,0,0,73,0.8571428571428572
2025-03-28 17:34:54.028142,seeds,DecisionTree,borderline_points_sampling,0,0,74,0.8214285714285714
2025-03-28 17:34:54.045229,seeds,DecisionTree,borderline_points_sampling,0,0,75,0.8214285714285714
2025-03-28 17:34:54.062181,seeds,DecisionTree,borderline_points_sampling,0,0,76,0.8571428571428572
2025-03-28 17:34:54.079256,seeds,DecisionTree,borderline_points_sampling,0,0,77,0.8571428571428572
2025-03-28 17:34:54.096135,seeds,DecisionTree,borderline_points_sampling,0,0,78,0.8571428571428572
2025-03-28 17:34:54.112954,seeds,DecisionTree,borderline_points_sampling,0,0,79,0.8571428571428572
2025-03-28 17:34:54.129841,seeds,DecisionTree,borderline_points_sampling,0,0,80,0.8571428571428572
2025-03-28 17:34:54.146783,seeds,DecisionTree,borderline_points_sampling,0,0,81,0.8571428571428572
2025-03-28 17:34:54.163594,seeds,DecisionTree,borderline_points_sampling,0,0,82,0.8571428571428572
2025-03-28 17:34:54.180436,seeds,DecisionTree,borderline_points_sampling,0,0,83,0.8571428571428572
2025-03-28 17:34:54.199536,seeds,DecisionTree,borderline_points_sampling,0,0,84,0.8571428571428572
2025-03-28 17:34:54.219459,seeds,DecisionTree,borderline_points_sampling,0,0,85,0.8571428571428572
2025-03-28 17:34:54.237699,seeds,DecisionTree,borderline_points_sampling,0,0,86,0.8571428571428572
2025-03-28 17:34:54.254341,seeds,DecisionTree,borderline_points_sampling,0,0,87,0.8571428571428572
2025-03-28 17:34:54.270912,seeds,DecisionTree,borderline_points_sampling,0,0,88,0.8571428571428572
2025-03-28 17:34:54.287387,seeds,DecisionTree,borderline_points_sampling,0,0,89,0.8571428571428572
2025-03-28 17:34:54.303870,seeds,DecisionTree,borderline_points_sampling,0,0,90,0.8571428571428572
2025-03-28 17:34:54.320365,seeds,DecisionTree,borderline_points_sampling,0,0,91,0.8571428571428572
2025-03-28 17:34:54.336781,seeds,DecisionTree,borderline_points_sampling,0,0,92,0.8571428571428572
2025-03-28 17:34:54.353103,seeds,DecisionTree,borderline_points_sampling,0,0,93,0.8571428571428572
2025-03-28 17:34:54.369269,seeds,DecisionTree,borderline_points_sampling,0,0,94,0.8571428571428572
2025-03-28 17:34:54.385507,seeds,DecisionTree,borderline_points_sampling,0,0,95,0.8571428571428572
2025-03-28 17:34:54.401644,seeds,DecisionTree,borderline_points_sampling,0,0,96,0.8571428571428572
2025-03-28 17:34:54.417783,seeds,DecisionTree,borderline_points_sampling,0,0,97,0.8571428571428572
2025-03-28 17:34:54.433914,seeds,DecisionTree,borderline_points_sampling,0,0,98,0.8571428571428572
2025-03-28 17:34:54.450110,seeds,DecisionTree,borderline_points_sampling,0,0,99,0.8571428571428572
2025-03-28 17:34:54.466181,seeds,DecisionTree,borderline_points_sampling,0,0,100,0.8571428571428572
2025-03-28 17:34:54.468665,seeds,DecisionTree,borderline_points_sampling,0,1,0,0.2857142857142857
2025-03-28 17:34:54.490693,seeds,DecisionTree,borderline_points_sampling,0,1,1,0.6071428571428572
2025-03-28 17:34:54.512668,seeds,DecisionTree,borderline_points_sampling,0,1,2,0.6428571428571428
2025-03-28 17:34:54.534474,seeds,DecisionTree,borderline_points_sampling,0,1,3,0.6428571428571428
2025-03-28 17:34:54.556176,seeds,DecisionTree,borderline_points_sampling,0,1,4,0.6071428571428572
2025-03-28 17:34:54.580120,seeds,DecisionTree,borderline_points_sampling,0,1,5,0.6071428571428572
2025-03-28 17:34:54.605221,seeds,DecisionTree,borderline_points_sampling,0,1,6,0.5357142857142857
2025-03-28 17:34:54.628740,seeds,DecisionTree,borderline_points_sampling,0,1,7,0.4642857142857143
2025-03-28 17:34:54.650133,seeds,DecisionTree,borderline_points_sampling,0,1,8,0.6071428571428572
2025-03-28 17:34:54.671404,seeds,DecisionTree,borderline_points_sampling,0,1,9,0.6071428571428572
2025-03-28 17:34:54.692776,seeds,DecisionTree,borderline_points_sampling,0,1,10,0.7857142857142857
2025-03-28 17:34:54.714047,seeds,DecisionTree,borderline_points_sampling,0,1,11,0.7142857142857143
2025-03-28 17:34:54.735142,seeds,DecisionTree,borderline_points_sampling,0,1,12,0.3214285714285714
2025-03-28 17:34:54.758029,seeds,DecisionTree,borderline_points_sampling,0,1,13,0.5714285714285714
2025-03-28 17:34:54.782601,seeds,DecisionTree,borderline_points_sampling,0,1,14,0.5
2025-03-28 17:34:54.805907,seeds,DecisionTree,borderline_points_sampling,0,1,15,0.4642857142857143
2025-03-28 17:34:54.827006,seeds,DecisionTree,borderline_points_sampling,0,1,16,0.6071428571428572
2025-03-28 17:34:54.847751,seeds,DecisionTree,borderline_points_sampling,0,1,17,0.6785714285714286
2025-03-28 17:34:54.868635,seeds,DecisionTree,borderline_points_sampling,0,1,18,0.6428571428571428
2025-03-28 17:34:54.889281,seeds,DecisionTree,borderline_points_sampling,0,1,19,0.75
2025-03-28 17:34:54.909873,seeds,DecisionTree,borderline_points_sampling,0,1,20,0.5714285714285714
2025-03-28 17:34:54.930426,seeds,DecisionTree,borderline_points_sampling,0,1,21,0.6071428571428572
2025-03-28 17:34:54.950837,seeds,DecisionTree,borderline_points_sampling,0,1,22,0.75
2025-03-28 17:34:54.971260,seeds,DecisionTree,borderline_points_sampling,0,1,23,0.6071428571428572
2025-03-28 17:34:54.991504,seeds,DecisionTree,borderline_points_sampling,0,1,24,0.6071428571428572
2025-03-28 17:34:55.011815,seeds,DecisionTree,borderline_points_sampling,0,1,25,0.6071428571428572
2025-03-28 17:34:55.031904,seeds,DecisionTree,borderline_points_sampling,0,1,26,0.5357142857142857
2025-03-28 17:34:55.052010,seeds,DecisionTree,borderline_points_sampling,0,1,27,0.6428571428571428
2025-03-28 17:34:55.072029,seeds,DecisionTree,borderline_points_sampling,0,1,28,0.6428571428571428
2025-03-28 17:34:55.092083,seeds,DecisionTree,borderline_points_sampling,0,1,29,0.6428571428571428
2025-03-28 17:34:55.111931,seeds,DecisionTree,borderline_points_sampling,0,1,30,0.6428571428571428
2025-03-28 17:34:55.131697,seeds,DecisionTree,borderline_points_sampling,0,1,31,0.6071428571428572
2025-03-28 17:34:55.151426,seeds,DecisionTree,borderline_points_sampling,0,1,32,0.6428571428571428
2025-03-28 17:34:55.171127,seeds,DecisionTree,borderline_points_sampling,0,1,33,0.6428571428571428
2025-03-28 17:34:55.190660,seeds,DecisionTree,borderline_points_sampling,0,1,34,0.6071428571428572
2025-03-28 17:34:55.209993,seeds,DecisionTree,borderline_points_sampling,0,1,35,0.6071428571428572
2025-03-28 17:34:55.229362,seeds,DecisionTree,borderline_points_sampling,0,1,36,0.6071428571428572
2025-03-28 17:34:55.248647,seeds,DecisionTree,borderline_points_sampling,0,1,37,0.6785714285714286
2025-03-28 17:34:55.267899,seeds,DecisionTree,borderline_points_sampling,0,1,38,0.7142857142857142
2025-03-28 17:34:55.287074,seeds,DecisionTree,borderline_points_sampling,0,1,39,0.6428571428571428
2025-03-28 17:34:55.306195,seeds,DecisionTree,borderline_points_sampling,0,1,40,0.6071428571428572
2025-03-28 17:34:55.325287,seeds,DecisionTree,borderline_points_sampling,0,1,41,0.7142857142857143
2025-03-28 17:34:55.344251,seeds,DecisionTree,borderline_points_sampling,0,1,42,0.75
2025-03-28 17:34:55.363205,seeds,DecisionTree,borderline_points_sampling,0,1,43,0.75
2025-03-28 17:34:55.382134,seeds,DecisionTree,borderline_points_sampling,0,1,44,0.6785714285714286
2025-03-28 17:34:55.400971,seeds,DecisionTree,borderline_points_sampling,0,1,45,0.6785714285714286
2025-03-28 17:34:55.419708,seeds,DecisionTree,borderline_points_sampling,0,1,46,0.6071428571428572
2025-03-28 17:34:55.438377,seeds,DecisionTree,borderline_points_sampling,0,1,47,0.6785714285714286
2025-03-28 17:34:55.457058,seeds,DecisionTree,borderline_points_sampling,0,1,48,0.75
2025-03-28 17:34:55.475663,seeds,DecisionTree,borderline_points_sampling,0,1,49,0.75
2025-03-28 17:34:55.494206,seeds,DecisionTree,borderline_points_sampling,0,1,50,0.7142857142857143
2025-03-28 17:34:55.512755,seeds,DecisionTree,borderline_points_sampling,0,1,51,0.7142857142857143
2025-03-28 17:34:55.531359,seeds,DecisionTree,borderline_points_sampling,0,1,52,0.75
2025-03-28 17:34:55.549875,seeds,DecisionTree,borderline_points_sampling,0,1,53,0.6428571428571428
2025-03-28 17:34:55.568234,seeds,DecisionTree,borderline_points_sampling,0,1,54,0.75
2025-03-28 17:34:55.586565,seeds,DecisionTree,borderline_points_sampling,0,1,55,0.6785714285714286
2025-03-28 17:34:55.604784,seeds,DecisionTree,borderline_points_sampling,0,1,56,0.75
2025-03-28 17:34:55.622993,seeds,DecisionTree,borderline_points_sampling,0,1,57,0.6785714285714286
2025-03-28 17:34:55.641185,seeds,DecisionTree,borderline_points_sampling,0,1,58,0.75
2025-03-28 17:34:55.659273,seeds,DecisionTree,borderline_points_sampling,0,1,59,0.75
2025-03-28 17:34:55.677280,seeds,DecisionTree,borderline_points_sampling,0,1,60,0.6785714285714286
2025-03-28 17:34:55.695336,seeds,DecisionTree,borderline_points_sampling,0,1,61,0.75
2025-03-28 17:34:55.713204,seeds,DecisionTree,borderline_points_sampling,0,1,62,0.7142857142857143
2025-03-28 17:34:55.730973,seeds,DecisionTree,borderline_points_sampling,0,1,63,0.6785714285714286
2025-03-28 17:34:55.748800,seeds,DecisionTree,borderline_points_sampling,0,1,64,0.7142857142857143
2025-03-28 17:34:55.766608,seeds,DecisionTree,borderline_points_sampling,0,1,65,0.75
2025-03-28 17:34:55.784354,seeds,DecisionTree,borderline_points_sampling,0,1,66,0.75
2025-03-28 17:34:55.802034,seeds,DecisionTree,borderline_points_sampling,0,1,67,0.75
2025-03-28 17:34:55.819762,seeds,DecisionTree,borderline_points_sampling,0,1,68,0.7142857142857143
2025-03-28 17:34:55.837449,seeds,DecisionTree,borderline_points_sampling,0,1,69,0.75
2025-03-28 17:34:55.856257,seeds,DecisionTree,borderline_points_sampling,0,1,70,0.7142857142857143
2025-03-28 17:34:55.876887,seeds,DecisionTree,borderline_points_sampling,0,1,71,0.6785714285714286
2025-03-28 17:34:55.897275,seeds,DecisionTree,borderline_points_sampling,0,1,72,0.7142857142857143
2025-03-28 17:34:55.914806,seeds,DecisionTree,borderline_points_sampling,0,1,73,0.7142857142857143
2025-03-28 17:34:55.932283,seeds,DecisionTree,borderline_points_sampling,0,1,74,0.75
2025-03-28 17:34:55.949721,seeds,DecisionTree,borderline_points_sampling,0,1,75,0.7142857142857143
2025-03-28 17:34:55.967024,seeds,DecisionTree,borderline_points_sampling,0,1,76,0.7142857142857143
2025-03-28 17:34:55.984343,seeds,DecisionTree,borderline_points_sampling,0,1,77,0.75
2025-03-28 17:34:56.001718,seeds,DecisionTree,borderline_points_sampling,0,1,78,0.75
2025-03-28 17:34:56.019336,seeds,DecisionTree,borderline_points_sampling,0,1,79,0.6785714285714286
2025-03-28 17:34:56.036474,seeds,DecisionTree,borderline_points_sampling,0,1,80,0.7142857142857143
2025-03-28 17:34:56.053564,seeds,DecisionTree,borderline_points_sampling,0,1,81,0.7142857142857143
2025-03-28 17:34:56.070539,seeds,DecisionTree,borderline_points_sampling,0,1,82,0.7142857142857143
2025-03-28 17:34:56.087513,seeds,DecisionTree,borderline_points_sampling,0,1,83,0.7142857142857143
2025-03-28 17:34:56.104452,seeds,DecisionTree,borderline_points_sampling,0,1,84,0.7142857142857143
2025-03-28 17:34:56.121354,seeds,DecisionTree,borderline_points_sampling,0,1,85,0.7142857142857143
2025-03-28 17:34:56.138120,seeds,DecisionTree,borderline_points_sampling,0,1,86,0.7142857142857143
2025-03-28 17:34:56.154937,seeds,DecisionTree,borderline_points_sampling,0,1,87,0.75
2025-03-28 17:34:56.171812,seeds,DecisionTree,borderline_points_sampling,0,1,88,0.75
2025-03-28 17:34:56.188566,seeds,DecisionTree,borderline_points_sampling,0,1,89,0.6785714285714286
2025-03-28 17:34:56.205268,seeds,DecisionTree,borderline_points_sampling,0,1,90,0.6785714285714286
2025-03-28 17:34:56.221782,seeds,DecisionTree,borderline_points_sampling,0,1,91,0.7857142857142857
2025-03-28 17:34:56.238297,seeds,DecisionTree,borderline_points_sampling,0,1,92,0.8571428571428572
2025-03-28 17:34:56.254818,seeds,DecisionTree,borderline_points_sampling,0,1,93,0.75
2025-03-28 17:34:56.271102,seeds,DecisionTree,borderline_points_sampling,0,1,94,0.8571428571428572
2025-03-28 17:34:56.287505,seeds,DecisionTree,borderline_points_sampling,0,1,95,0.8214285714285714
2025-03-28 17:34:56.303804,seeds,DecisionTree,borderline_points_sampling,0,1,96,0.8571428571428572
2025-03-28 17:34:56.320171,seeds,DecisionTree,borderline_points_sampling,0,1,97,0.8571428571428572
2025-03-28 17:34:56.336400,seeds,DecisionTree,borderline_points_sampling,0,1,98,0.8571428571428572
2025-03-28 17:34:56.352449,seeds,DecisionTree,borderline_points_sampling,0,1,99,0.8571428571428572
2025-03-28 17:34:56.368504,seeds,DecisionTree,borderline_points_sampling,0,1,100,0.8571428571428572
2025-03-28 17:34:56.370927,seeds,DecisionTree,borderline_points_sampling,0,2,0,0.5
2025-03-28 17:34:56.392924,seeds,DecisionTree,borderline_points_sampling,0,2,1,0.25
2025-03-28 17:34:56.414768,seeds,DecisionTree,borderline_points_sampling,0,2,2,0.5714285714285714
2025-03-28 17:34:56.436582,seeds,DecisionTree,borderline_points_sampling,0,2,3,0.5357142857142857
2025-03-28 17:34:56.458254,seeds,DecisionTree,borderline_points_sampling,0,2,4,0.8571428571428572
2025-03-28 17:34:56.480035,seeds,DecisionTree,borderline_points_sampling,0,2,5,0.6071428571428572
2025-03-28 17:34:56.501556,seeds,DecisionTree,borderline_points_sampling,0,2,6,0.8571428571428572
2025-03-28 17:34:56.522855,seeds,DecisionTree,borderline_points_sampling,0,2,7,0.8214285714285714
2025-03-28 17:34:56.544211,seeds,DecisionTree,borderline_points_sampling,0,2,8,0.8214285714285714
2025-03-28 17:34:56.565544,seeds,DecisionTree,borderline_points_sampling,0,2,9,0.8928571428571429
2025-03-28 17:34:56.586897,seeds,DecisionTree,borderline_points_sampling,0,2,10,0.8214285714285714
2025-03-28 17:34:56.608138,seeds,DecisionTree,borderline_points_sampling,0,2,11,0.7857142857142857
2025-03-28 17:34:56.629265,seeds,DecisionTree,borderline_points_sampling,0,2,12,0.8928571428571429
2025-03-28 17:34:56.650247,seeds,DecisionTree,borderline_points_sampling,0,2,13,0.75
2025-03-28 17:34:56.671226,seeds,DecisionTree,borderline_points_sampling,0,2,14,0.7142857142857143
2025-03-28 17:34:56.692042,seeds,DecisionTree,borderline_points_sampling,0,2,15,0.9285714285714286
2025-03-28 17:34:56.712924,seeds,DecisionTree,borderline_points_sampling,0,2,16,0.7142857142857143
2025-03-28 17:34:56.733631,seeds,DecisionTree,borderline_points_sampling,0,2,17,0.9642857142857143
2025-03-28 17:34:56.754328,seeds,DecisionTree,borderline_points_sampling,0,2,18,0.8571428571428572
2025-03-28 17:34:56.774997,seeds,DecisionTree,borderline_points_sampling,0,2,19,0.5357142857142857
