time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 17:42:22.138686,spambase,SVC,disjunct_class_percentage_sampling,0,0,0,0.0
2025-03-28 17:42:28.131677,spambase,SVC,disjunct_class_percentage_sampling,0,0,1,0.0
2025-03-28 17:42:34.033909,spambase,SVC,disjunct_class_percentage_sampling,0,0,2,0.19487695454245557
2025-03-28 17:43:07.463244,spambase,SVC,disjunct_class_percentage_sampling,0,0,3,0.13333241077729951
2025-03-28 17:44:17.210982,spambase,SVC,disjunct_class_percentage_sampling,0,0,4,0.1428372898058191
2025-03-28 17:45:49.308503,spambase,SVC,disjunct_class_percentage_sampling,0,0,5,0.0034857674244506143
2025-03-28 17:46:06.486006,spambase,SVC,disjunct_class_percentage_sampling,0,0,6,0.127239514655892
2025-03-28 17:46:31.184932,spambase,SVC,disjunct_class_percentage_sampling,0,0,7,0.04502767658608142
2025-03-28 17:46:50.747184,spambase,SVC,disjunct_class_percentage_sampling,0,0,8,0.10856559875883642
2025-03-28 17:47:14.587309,spambase,SVC,disjunct_class_percentage_sampling,0,0,9,0.04068733718862794
2025-03-28 17:47:35.705934,spambase,SVC,disjunct_class_percentage_sampling,0,0,10,0.1122721867057851
2025-03-28 17:48:01.072538,spambase,SVC,disjunct_class_percentage_sampling,0,0,11,0.4097371449860622
2025-03-28 17:48:38.475128,spambase,SVC,disjunct_class_percentage_sampling,0,0,12,0.45822661383908647
2025-03-28 17:49:37.446052,spambase,SVC,disjunct_class_percentage_sampling,0,0,13,0.35206251919420284
2025-03-28 17:50:14.930760,spambase,SVC,disjunct_class_percentage_sampling,0,0,14,0.22809046679154676
2025-03-28 17:50:48.272907,spambase,SVC,disjunct_class_percentage_sampling,0,0,15,0.3485347532318749
2025-03-28 17:51:27.272329,spambase,SVC,disjunct_class_percentage_sampling,0,0,16,0.45474389218796607
2025-03-28 17:52:17.627930,spambase,SVC,disjunct_class_percentage_sampling,0,0,17,0.5883463047442019
2025-03-28 17:53:21.139143,spambase,SVC,disjunct_class_percentage_sampling,0,0,18,0.540732260624662
2025-03-28 17:54:20.437902,spambase,SVC,disjunct_class_percentage_sampling,0,0,19,0.5021655684873864
2025-03-28 17:55:08.121833,spambase,SVC,disjunct_class_percentage_sampling,0,0,20,0.47324975006079606
2025-03-28 17:56:00.831756,spambase,SVC,disjunct_class_percentage_sampling,0,0,21,0.3762861599360361
2025-03-28 17:56:39.330978,spambase,SVC,disjunct_class_percentage_sampling,0,0,22,0.19772689182562486
2025-03-28 17:57:10.312180,spambase,SVC,disjunct_class_percentage_sampling,0,0,23,0.39506791177071454
2025-03-28 17:57:57.835195,spambase,SVC,disjunct_class_percentage_sampling,0,0,24,0.4099909871699714
2025-03-28 17:58:50.986571,spambase,SVC,disjunct_class_percentage_sampling,0,0,25,0.333089079248562
2025-03-28 17:59:25.986922,spambase,SVC,disjunct_class_percentage_sampling,0,0,26,0.288739540850518
2025-03-28 18:00:03.432613,spambase,SVC,disjunct_class_percentage_sampling,0,0,27,0.4122786680003445
2025-03-28 18:00:54.021975,spambase,SVC,disjunct_class_percentage_sampling,0,0,28,0.34791589531734124
2025-03-28 18:01:39.823962,spambase,SVC,disjunct_class_percentage_sampling,0,0,29,0.22801596336932184
2025-03-28 18:02:08.443586,spambase,SVC,disjunct_class_percentage_sampling,0,0,30,0.3490153101918799
2025-03-28 18:02:51.072106,spambase,SVC,disjunct_class_percentage_sampling,0,0,31,0.4171247245014472
2025-03-28 18:03:42.342522,spambase,SVC,disjunct_class_percentage_sampling,0,0,32,0.3698488651814663
2025-03-28 18:04:31.396799,spambase,SVC,disjunct_class_percentage_sampling,0,0,33,0.42917408081252373
2025-03-28 18:05:22.392367,spambase,SVC,disjunct_class_percentage_sampling,0,0,34,0.3756041095800826
2025-03-28 18:06:10.327561,spambase,SVC,disjunct_class_percentage_sampling,0,0,35,0.4028817909973802
2025-03-28 18:07:00.139797,spambase,SVC,disjunct_class_percentage_sampling,0,0,36,0.42249120917834904
2025-03-28 18:07:51.789390,spambase,SVC,disjunct_class_percentage_sampling,0,0,37,0.40316064873699253
2025-03-28 18:08:45.469908,spambase,SVC,disjunct_class_percentage_sampling,0,0,38,0.41177211581173634
2025-03-28 18:09:34.880464,spambase,SVC,disjunct_class_percentage_sampling,0,0,39,0.45578015785819714
2025-03-28 18:10:27.686811,spambase,SVC,disjunct_class_percentage_sampling,0,0,40,0.4286791043282796
2025-03-28 18:11:17.506198,spambase,SVC,disjunct_class_percentage_sampling,0,0,41,0.4403442220822219
2025-03-28 18:12:08.545248,spambase,SVC,disjunct_class_percentage_sampling,0,0,42,0.4469067905666255
2025-03-28 18:13:03.961049,spambase,SVC,disjunct_class_percentage_sampling,0,0,43,0.4381870884148378
2025-03-28 18:13:57.089324,spambase,SVC,disjunct_class_percentage_sampling,0,0,44,0.46726220619712233
2025-03-28 18:14:49.111560,spambase,SVC,disjunct_class_percentage_sampling,0,0,45,0.5256847786528968
2025-03-28 18:15:47.129151,spambase,SVC,disjunct_class_percentage_sampling,0,0,46,0.4903476734810037
2025-03-28 18:16:38.474718,spambase,SVC,disjunct_class_percentage_sampling,0,0,47,0.5318000082436833
2025-03-28 18:17:39.648989,spambase,SVC,disjunct_class_percentage_sampling,0,0,48,0.49778375112848816
2025-03-28 18:18:38.185393,spambase,SVC,disjunct_class_percentage_sampling,0,0,49,0.53684528136272
2025-03-28 18:19:32.636504,spambase,SVC,disjunct_class_percentage_sampling,0,0,50,0.5682078001260991
2025-03-28 18:20:28.230266,spambase,SVC,disjunct_class_percentage_sampling,0,0,51,0.6201480317994236
2025-03-28 18:21:07.224117,spambase,SVC,disjunct_class_percentage_sampling,0,0,52,0.6213382670366945
2025-03-28 18:21:49.436831,spambase,SVC,disjunct_class_percentage_sampling,0,0,53,0.6035125610174314
2025-03-28 18:22:28.351303,spambase,SVC,disjunct_class_percentage_sampling,0,0,54,0.5561858355776357
2025-03-28 18:23:07.756568,spambase,SVC,disjunct_class_percentage_sampling,0,0,55,0.572950023908539
2025-03-28 18:23:47.093888,spambase,SVC,disjunct_class_percentage_sampling,0,0,56,0.49406243430020813
2025-03-28 18:24:37.400714,spambase,SVC,disjunct_class_percentage_sampling,0,0,57,0.504254135399563
2025-03-28 18:25:27.611534,spambase,SVC,disjunct_class_percentage_sampling,0,0,58,0.5212835804563112
2025-03-28 18:26:20.734168,spambase,SVC,disjunct_class_percentage_sampling,0,0,59,0.4801559727722271
2025-03-28 18:27:15.438363,spambase,SVC,disjunct_class_percentage_sampling,0,0,60,0.4870908611278333
2025-03-28 18:28:05.527219,spambase,SVC,disjunct_class_percentage_sampling,0,0,61,0.5296821141325163
2025-03-28 18:28:57.798732,spambase,SVC,disjunct_class_percentage_sampling,0,0,62,0.5467654551572124
