time,dataset,classifier,method,run,fold,query,kappa
2025-03-28 22:25:58.759202,spect-heart,SVC,tree_depth_pruned_sampling,0,0,0,0.0
2025-03-28 22:25:59.920542,spect-heart,SVC,tree_depth_pruned_sampling,0,0,1,0.0
2025-03-28 22:26:01.096023,spect-heart,SVC,tree_depth_pruned_sampling,0,0,2,0.0
2025-03-28 22:26:02.271278,spect-heart,SVC,tree_depth_pruned_sampling,0,0,3,0.0
2025-03-28 22:26:03.428524,spect-heart,SVC,tree_depth_pruned_sampling,0,0,4,0.0
2025-03-28 22:26:04.552931,spect-heart,SVC,tree_depth_pruned_sampling,0,0,5,0.0
2025-03-28 22:26:05.583508,spect-heart,SVC,tree_depth_pruned_sampling,0,0,6,0.0
2025-03-28 22:26:06.605382,spect-heart,SVC,tree_depth_pruned_sampling,0,0,7,0.0
2025-03-28 22:26:07.637252,spect-heart,SVC,tree_depth_pruned_sampling,0,0,8,0.0
2025-03-28 22:26:08.679976,spect-heart,SVC,tree_depth_pruned_sampling,0,0,9,0.0
2025-03-28 22:26:09.726076,spect-heart,SVC,tree_depth_pruned_sampling,0,0,10,0.05342237061769606
2025-03-28 22:26:10.854870,spect-heart,SVC,tree_depth_pruned_sampling,0,0,11,0.05342237061769606
2025-03-28 22:26:12.038016,spect-heart,SVC,tree_depth_pruned_sampling,0,0,12,0.05342237061769606
2025-03-28 22:26:13.225238,spect-heart,SVC,tree_depth_pruned_sampling,0,0,13,0.05342237061769606
2025-03-28 22:26:14.400911,spect-heart,SVC,tree_depth_pruned_sampling,0,0,14,0.0
2025-03-28 22:26:15.470895,spect-heart,SVC,tree_depth_pruned_sampling,0,0,15,0.0
2025-03-28 22:26:16.542966,spect-heart,SVC,tree_depth_pruned_sampling,0,0,16,0.0
2025-03-28 22:26:17.623205,spect-heart,SVC,tree_depth_pruned_sampling,0,0,17,0.0
2025-03-28 22:26:18.695986,spect-heart,SVC,tree_depth_pruned_sampling,0,0,18,0.0
2025-03-28 22:26:19.751366,spect-heart,SVC,tree_depth_pruned_sampling,0,0,19,0.0
2025-03-28 22:26:20.795830,spect-heart,SVC,tree_depth_pruned_sampling,0,0,20,0.0
2025-03-28 22:26:21.818082,spect-heart,SVC,tree_depth_pruned_sampling,0,0,21,0.0
2025-03-28 22:26:22.831566,spect-heart,SVC,tree_depth_pruned_sampling,0,0,22,0.0
2025-03-28 22:26:23.872440,spect-heart,SVC,tree_depth_pruned_sampling,0,0,23,0.05342237061769606
2025-03-28 22:26:24.970381,spect-heart,SVC,tree_depth_pruned_sampling,0,0,24,0.05342237061769606
2025-03-28 22:26:26.097776,spect-heart,SVC,tree_depth_pruned_sampling,0,0,25,0.05342237061769606
2025-03-28 22:26:27.232230,spect-heart,SVC,tree_depth_pruned_sampling,0,0,26,0.05342237061769606
2025-03-28 22:26:28.375416,spect-heart,SVC,tree_depth_pruned_sampling,0,0,27,0.05342237061769606
2025-03-28 22:26:29.523998,spect-heart,SVC,tree_depth_pruned_sampling,0,0,28,0.05342237061769606
2025-03-28 22:26:30.658624,spect-heart,SVC,tree_depth_pruned_sampling,0,0,29,0.0
2025-03-28 22:26:31.735524,spect-heart,SVC,tree_depth_pruned_sampling,0,0,30,0.0
2025-03-28 22:26:32.809430,spect-heart,SVC,tree_depth_pruned_sampling,0,0,31,0.05342237061769606
2025-03-28 22:26:33.912647,spect-heart,SVC,tree_depth_pruned_sampling,0,0,32,0.05342237061769606
