time,dataset,classifier,method,run,fold,query,kappa
2025-03-29 04:12:27.804723,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,0,0.65
2025-03-29 04:12:39.850317,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,1,0.0
2025-03-29 04:12:41.233827,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,2,0.16000000000000003
2025-03-29 04:12:49.573372,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,3,0.010000000000000009
2025-03-29 04:12:57.124819,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,4,0.06999999999999995
2025-03-29 04:13:05.899769,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,5,0.1100000000000001
2025-03-29 04:13:14.872878,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,6,0.17000000000000004
2025-03-29 04:13:21.399480,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,7,0.30000000000000004
2025-03-29 04:13:30.093429,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,8,0.27
2025-03-29 04:13:40.759178,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,9,0.41000000000000003
2025-03-29 04:13:51.880916,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,10,0.44999999999999996
2025-03-29 04:14:00.465752,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,11,0.44999999999999996
2025-03-29 04:14:10.980660,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,12,0.42000000000000004
2025-03-29 04:14:20.978644,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,13,0.4899999999999999
2025-03-29 04:14:30.874377,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,14,0.43999999999999995
2025-03-29 04:14:42.318449,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,15,0.43999999999999995
2025-03-29 04:14:55.257983,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,16,0.43999999999999995
2025-03-29 04:15:06.922091,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,17,0.52
2025-03-29 04:15:15.278364,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,18,0.52
2025-03-29 04:15:24.704990,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,19,0.52
2025-03-29 04:15:34.760903,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,20,0.54
2025-03-29 04:15:43.630473,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,21,0.54
2025-03-29 04:15:52.271007,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,22,0.6199999999999999
2025-03-29 04:16:04.182558,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,23,0.6299999999999999
2025-03-29 04:16:16.125519,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,24,0.6499999999999999
2025-03-29 04:16:27.879058,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,25,0.6499999999999999
2025-03-29 04:16:39.390762,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,26,0.6499999999999999
2025-03-29 04:16:50.954107,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,27,0.78
2025-03-29 04:17:02.609053,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,28,0.78
2025-03-29 04:17:15.357119,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,29,0.89
2025-03-29 04:17:26.993763,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,30,0.88
2025-03-29 04:17:39.163466,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,31,0.91
2025-03-29 04:17:51.617355,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,32,0.91
2025-03-29 04:18:01.472396,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,33,0.91
2025-03-29 04:18:11.254756,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,34,0.91
2025-03-29 04:18:21.092015,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,35,0.91
2025-03-29 04:18:30.875571,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,36,0.91
2025-03-29 04:18:40.684503,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,37,0.91
2025-03-29 04:18:50.459813,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,38,0.91
2025-03-29 04:19:00.135039,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,39,0.91
2025-03-29 04:19:09.909863,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,40,0.91
2025-03-29 04:19:19.606740,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,41,0.91
2025-03-29 04:19:29.345185,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,42,0.91
2025-03-29 04:19:38.964127,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,43,0.91
2025-03-29 04:19:48.438364,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,44,0.91
2025-03-29 04:19:58.055347,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,45,0.91
2025-03-29 04:20:08.929827,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,46,0.91
2025-03-29 04:20:20.370632,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,47,0.91
2025-03-29 04:20:31.743934,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,48,0.91
2025-03-29 04:20:42.722643,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,49,0.91
2025-03-29 04:20:54.131388,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,50,0.91
2025-03-29 04:21:05.530987,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,51,0.91
2025-03-29 04:21:15.819172,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,52,0.91
2025-03-29 04:21:25.525651,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,53,0.91
2025-03-29 04:21:35.235883,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,54,0.91
2025-03-29 04:21:44.849184,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,55,0.91
2025-03-29 04:21:54.507098,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,56,0.91
2025-03-29 04:22:04.117878,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,57,0.91
2025-03-29 04:22:13.535679,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,58,0.91
2025-03-29 04:22:22.949680,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,59,0.91
2025-03-29 04:22:32.339255,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,60,0.91
2025-03-29 04:22:41.759579,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,61,0.91
2025-03-29 04:22:51.138918,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,62,0.91
2025-03-29 04:23:00.565752,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,63,0.91
2025-03-29 04:23:09.997915,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,64,0.91
2025-03-29 04:23:19.440930,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,65,0.91
2025-03-29 04:23:28.774173,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,66,0.91
2025-03-29 04:23:38.082342,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,67,0.91
2025-03-29 04:23:47.378503,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,68,0.91
2025-03-29 04:23:56.682327,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,69,0.91
2025-03-29 04:24:05.796961,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,70,0.91
2025-03-29 04:24:14.755097,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,71,0.91
2025-03-29 04:24:23.700485,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,72,0.92
2025-03-29 04:24:32.666435,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,73,0.92
2025-03-29 04:24:41.657420,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,74,0.92
2025-03-29 04:24:51.031467,systhetic-control,GaussianNB,disjunct_class_percentage_sampling,0,0,75,0.92
