time,dataset,classifier,method,run,fold,query,kappa
2025-03-29 04:16:00.257952,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,0,0.65
2025-03-29 04:16:00.828728,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,1,0.0
2025-03-29 04:16:00.833903,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,2,0.09999999999999998
2025-03-29 04:16:01.395092,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,3,0.07000000000000017
2025-03-29 04:16:01.959829,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,4,0.009999999999999898
2025-03-29 04:16:02.532860,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,5,0.0
2025-03-29 04:16:02.538499,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,6,0.0
2025-03-29 04:16:02.543893,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,7,0.0
2025-03-29 04:16:02.549139,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,8,0.19999999999999984
2025-03-29 04:16:03.107484,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,9,0.19999999999999984
2025-03-29 04:16:03.679839,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,10,0.19999999999999984
2025-03-29 04:16:04.237102,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,11,0.19999999999999984
2025-03-29 04:16:04.796302,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,12,0.19999999999999984
2025-03-29 04:16:05.348655,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,13,0.19999999999999984
2025-03-29 04:16:05.908643,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,14,0.19999999999999984
2025-03-29 04:16:06.464159,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,15,0.19999999999999984
2025-03-29 04:16:07.014330,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,16,0.19999999999999984
2025-03-29 04:16:07.574075,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,17,0.19999999999999984
2025-03-29 04:16:08.119095,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,18,0.19999999999999984
2025-03-29 04:16:08.674076,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,19,0.19999999999999984
2025-03-29 04:16:09.220820,systhetic-control,GaussianNB,intra_extra_ratio_sampling,0,0,20,0.19999999999999984
