time,dataset,classifier,method,run,fold,query,kappa
2025-03-29 04:20:20.861683,texture,SVC,density_weighted_sampling,0,0,0,0.5820000000000001
2025-03-29 04:20:21.275112,texture,SVC,density_weighted_sampling,0,0,1,0.29700000000000015
2025-03-29 04:20:21.669625,texture,SVC,density_weighted_sampling,0,0,2,0.3730000000000001
2025-03-29 04:20:22.095636,texture,SVC,density_weighted_sampling,0,0,3,0.32499999999999996
2025-03-29 04:20:22.511042,texture,SVC,density_weighted_sampling,0,0,4,0.15100000000000002
2025-03-29 04:20:22.940932,texture,SVC,density_weighted_sampling,0,0,5,0.13500000000000012
2025-03-29 04:20:23.332102,texture,SVC,density_weighted_sampling,0,0,6,0.14300000000000002
2025-03-29 04:20:23.766220,texture,SVC,density_weighted_sampling,0,0,7,0.14300000000000002
2025-03-29 04:20:24.180799,texture,SVC,density_weighted_sampling,0,0,8,0.15500000000000003
2025-03-29 04:20:24.596512,texture,SVC,density_weighted_sampling,0,0,9,0.2370000000000001
2025-03-29 04:20:24.995867,texture,SVC,density_weighted_sampling,0,0,10,0.23099999999999998
2025-03-29 04:20:25.430968,texture,SVC,density_weighted_sampling,0,0,11,0.23199999999999998
2025-03-29 04:20:25.841776,texture,SVC,density_weighted_sampling,0,0,12,0.238
2025-03-29 04:20:26.271977,texture,SVC,density_weighted_sampling,0,0,13,0.236
2025-03-29 04:20:26.651101,texture,SVC,density_weighted_sampling,0,0,14,0.24
2025-03-29 04:20:27.071853,texture,SVC,density_weighted_sampling,0,0,15,0.248
2025-03-29 04:20:27.489776,texture,SVC,density_weighted_sampling,0,0,16,0.24599999999999989
2025-03-29 04:20:27.929031,texture,SVC,density_weighted_sampling,0,0,17,0.245
2025-03-29 04:20:28.326031,texture,SVC,density_weighted_sampling,0,0,18,0.245
2025-03-29 04:20:28.757549,texture,SVC,density_weighted_sampling,0,0,19,0.244
2025-03-29 04:20:29.171002,texture,SVC,density_weighted_sampling,0,0,20,0.244
2025-03-29 04:20:29.603202,texture,SVC,density_weighted_sampling,0,0,21,0.246
2025-03-29 04:20:29.987498,texture,SVC,density_weighted_sampling,0,0,22,0.246
2025-03-29 04:20:30.413048,texture,SVC,density_weighted_sampling,0,0,23,0.244
2025-03-29 04:20:30.825788,texture,SVC,density_weighted_sampling,0,0,24,0.245
2025-03-29 04:20:31.262343,texture,SVC,density_weighted_sampling,0,0,25,0.247
2025-03-29 04:20:31.659622,texture,SVC,density_weighted_sampling,0,0,26,0.245
2025-03-29 04:20:32.093254,texture,SVC,density_weighted_sampling,0,0,27,0.243
2025-03-29 04:20:32.507763,texture,SVC,density_weighted_sampling,0,0,28,0.243
2025-03-29 04:20:32.937732,texture,SVC,density_weighted_sampling,0,0,29,0.243
2025-03-29 04:20:33.324340,texture,SVC,density_weighted_sampling,0,0,30,0.243
2025-03-29 04:20:33.754141,texture,SVC,density_weighted_sampling,0,0,31,0.242
2025-03-29 04:20:34.169702,texture,SVC,density_weighted_sampling,0,0,32,0.242
2025-03-29 04:20:34.611704,texture,SVC,density_weighted_sampling,0,0,33,0.243
2025-03-29 04:20:35.012040,texture,SVC,density_weighted_sampling,0,0,34,0.242
2025-03-29 04:20:35.442355,texture,SVC,density_weighted_sampling,0,0,35,0.242
2025-03-29 04:20:35.861813,texture,SVC,density_weighted_sampling,0,0,36,0.242
2025-03-29 04:20:36.289517,texture,SVC,density_weighted_sampling,0,0,37,0.242
2025-03-29 04:20:36.719016,texture,SVC,density_weighted_sampling,0,0,38,0.241
2025-03-29 04:20:37.162375,texture,SVC,density_weighted_sampling,0,0,39,0.24
2025-03-29 04:20:37.578179,texture,SVC,density_weighted_sampling,0,0,40,0.24
2025-03-29 04:20:38.012572,texture,SVC,density_weighted_sampling,0,0,41,0.241
2025-03-29 04:20:38.409513,texture,SVC,density_weighted_sampling,0,0,42,0.24
2025-03-29 04:20:38.840012,texture,SVC,density_weighted_sampling,0,0,43,0.23999999999999988
2025-03-29 04:20:39.252807,texture,SVC,density_weighted_sampling,0,0,44,0.24
2025-03-29 04:20:39.680885,texture,SVC,density_weighted_sampling,0,0,45,0.238
2025-03-29 04:20:40.063787,texture,SVC,density_weighted_sampling,0,0,46,0.238
2025-03-29 04:20:40.492737,texture,SVC,density_weighted_sampling,0,0,47,0.23699999999999988
2025-03-29 04:20:40.905576,texture,SVC,density_weighted_sampling,0,0,48,0.235
2025-03-29 04:20:41.344838,texture,SVC,density_weighted_sampling,0,0,49,0.235
2025-03-29 04:20:41.741346,texture,SVC,density_weighted_sampling,0,0,50,0.235
2025-03-29 04:20:42.177428,texture,SVC,density_weighted_sampling,0,0,51,0.235
2025-03-29 04:20:42.594734,texture,SVC,density_weighted_sampling,0,0,52,0.235
2025-03-29 04:20:43.016775,texture,SVC,density_weighted_sampling,0,0,53,0.235
2025-03-29 04:20:43.402794,texture,SVC,density_weighted_sampling,0,0,54,0.235
2025-03-29 04:20:43.850824,texture,SVC,density_weighted_sampling,0,0,55,0.235
2025-03-29 04:20:44.269528,texture,SVC,density_weighted_sampling,0,0,56,0.235
2025-03-29 04:20:44.702973,texture,SVC,density_weighted_sampling,0,0,57,0.236
2025-03-29 04:20:45.105287,texture,SVC,density_weighted_sampling,0,0,58,0.236
2025-03-29 04:20:45.538368,texture,SVC,density_weighted_sampling,0,0,59,0.237
2025-03-29 04:20:45.951034,texture,SVC,density_weighted_sampling,0,0,60,0.235
2025-03-29 04:20:46.372757,texture,SVC,density_weighted_sampling,0,0,61,0.236
2025-03-29 04:20:46.755506,texture,SVC,density_weighted_sampling,0,0,62,0.235
2025-03-29 04:20:47.186358,texture,SVC,density_weighted_sampling,0,0,63,0.236
2025-03-29 04:20:47.603987,texture,SVC,density_weighted_sampling,0,0,64,0.238
2025-03-29 04:20:48.037343,texture,SVC,density_weighted_sampling,0,0,65,0.239
2025-03-29 04:20:48.432273,texture,SVC,density_weighted_sampling,0,0,66,0.242
2025-03-29 04:20:48.855142,texture,SVC,density_weighted_sampling,0,0,67,0.24
2025-03-29 04:20:49.266619,texture,SVC,density_weighted_sampling,0,0,68,0.24
2025-03-29 04:20:49.692845,texture,SVC,density_weighted_sampling,0,0,69,0.241
2025-03-29 04:20:50.080397,texture,SVC,density_weighted_sampling,0,0,70,0.239
2025-03-29 04:20:50.512548,texture,SVC,density_weighted_sampling,0,0,71,0.242
