time,dataset,classifier,method,run,fold,query,kappa
2025-03-29 16:53:13.471296,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,0,0.07414104882459316
2025-03-29 16:53:13.481486,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,1,0.0
2025-03-29 16:53:13.491060,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,2,0.0
2025-03-29 16:53:13.500839,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,3,0.0
2025-03-29 16:53:13.510430,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,4,0.0
2025-03-29 16:53:13.520065,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,5,0.0
2025-03-29 16:53:13.529808,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,6,0.0
2025-03-29 16:53:13.541428,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,7,0.0
2025-03-29 16:53:13.553451,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,8,0.0
2025-03-29 16:53:13.565348,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,9,0.0
2025-03-29 16:53:13.577261,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,10,0.0
2025-03-29 16:53:13.589139,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,11,0.0
2025-03-29 16:53:13.598672,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,12,0.0
2025-03-29 16:53:13.608369,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,13,0.0
2025-03-29 16:53:13.618056,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,14,0.0
2025-03-29 16:53:13.627655,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,15,0.0
2025-03-29 16:53:13.637312,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,16,0.0
2025-03-29 16:53:13.646865,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,17,0.0
2025-03-29 16:53:13.656443,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,18,0.0
2025-03-29 16:53:13.666131,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,19,0.0
2025-03-29 16:53:13.675833,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,20,0.0
2025-03-29 16:53:13.685528,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,21,0.0
2025-03-29 16:53:13.694997,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,22,0.0
2025-03-29 16:53:13.704572,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,23,0.0
2025-03-29 16:53:13.714271,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,24,0.0
2025-03-29 16:53:13.723916,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,25,0.0
2025-03-29 16:53:13.733602,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,26,0.0
2025-03-29 16:53:13.743234,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,27,0.0
2025-03-29 16:53:13.752716,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,28,0.0
2025-03-29 16:53:13.762286,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,29,0.0
2025-03-29 16:53:13.771887,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,30,0.0
2025-03-29 16:53:13.781517,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,31,0.0
2025-03-29 16:53:13.791089,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,32,0.0
2025-03-29 16:53:13.800709,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,33,0.0
2025-03-29 16:53:13.810305,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,34,0.0
2025-03-29 16:53:13.819802,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,35,0.0
2025-03-29 16:53:13.829306,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,36,0.0
2025-03-29 16:53:13.838882,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,37,0.0
2025-03-29 16:53:13.848356,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,38,0.0
2025-03-29 16:53:13.857776,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,39,0.0
2025-03-29 16:53:13.867179,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,40,0.0
2025-03-29 16:53:13.876757,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,41,0.0
2025-03-29 16:53:13.886385,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,42,0.0
2025-03-29 16:53:13.896082,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,43,0.0
2025-03-29 16:53:13.905703,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,44,0.0
2025-03-29 16:53:13.915410,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,45,0.0
2025-03-29 16:53:13.925115,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,46,0.0
2025-03-29 16:53:13.934680,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,47,0.0
2025-03-29 16:53:13.944396,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,48,0.0
2025-03-29 16:53:13.954058,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,49,0.0
2025-03-29 16:53:13.963685,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,50,0.0
2025-03-29 16:53:13.973390,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,51,0.0
2025-03-29 16:53:13.983076,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,52,0.0
2025-03-29 16:53:13.992636,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,53,0.0
2025-03-29 16:53:14.002218,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,54,0.0
2025-03-29 16:53:14.011884,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,55,0.0
2025-03-29 16:53:14.021484,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,56,0.0
2025-03-29 16:53:14.031182,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,57,0.0
2025-03-29 16:53:14.040838,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,58,0.0
2025-03-29 16:53:14.050383,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,59,0.0
2025-03-29 16:53:14.059663,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,60,0.0
2025-03-29 16:53:14.068974,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,61,0.0
2025-03-29 16:53:14.078323,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,62,0.0
2025-03-29 16:53:14.087750,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,63,0.0
2025-03-29 16:53:14.097030,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,64,0.0
2025-03-29 16:53:14.106370,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,65,0.0
2025-03-29 16:53:14.115617,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,66,0.0
2025-03-29 16:53:14.125038,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,67,0.0
2025-03-29 16:53:14.134399,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,68,0.0
2025-03-29 16:53:14.143805,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,69,0.0
2025-03-29 16:53:14.153190,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,70,0.0
2025-03-29 16:53:14.162581,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,71,0.0
2025-03-29 16:53:14.171991,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,72,0.0
2025-03-29 16:53:14.181298,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,73,0.0
2025-03-29 16:53:14.190648,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,74,0.0
2025-03-29 16:53:14.200086,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,75,0.0
2025-03-29 16:53:14.209456,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,76,0.0
2025-03-29 16:53:14.218830,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,77,0.0
2025-03-29 16:53:14.228019,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,78,0.0
2025-03-29 16:53:14.237357,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,79,0.0
2025-03-29 16:53:14.246564,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,80,0.0
2025-03-29 16:53:14.255802,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,81,0.0
2025-03-29 16:53:14.265093,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,82,0.0
2025-03-29 16:53:14.274478,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,83,0.0
2025-03-29 16:53:14.283714,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,84,0.0
2025-03-29 16:53:14.292948,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,85,0.0
2025-03-29 16:53:14.302246,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,86,0.0
2025-03-29 16:53:14.311512,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,87,0.0
2025-03-29 16:53:14.320738,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,88,0.0
2025-03-29 16:53:14.330063,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,89,0.0
2025-03-29 16:53:14.339260,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,90,0.0
2025-03-29 16:53:14.348505,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,91,0.0
2025-03-29 16:53:14.357701,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,92,0.0
2025-03-29 16:53:14.366979,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,93,0.0
2025-03-29 16:53:14.376258,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,94,0.0
2025-03-29 16:53:14.385500,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,95,0.0
2025-03-29 16:53:14.394605,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,96,0.0
2025-03-29 16:53:14.403757,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,97,0.0
2025-03-29 16:53:14.413026,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,98,0.0
2025-03-29 16:53:14.422274,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,99,0.0
2025-03-29 16:53:14.431458,tic-tac-toe,GaussianNB,class_balance_sampling,0,0,100,0.0
2025-03-29 16:53:14.434827,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,0,0.03852080123266555
2025-03-29 16:53:14.444745,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,1,0.0
2025-03-29 16:53:14.454617,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,2,0.0
2025-03-29 16:53:14.464523,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,3,0.0
2025-03-29 16:53:14.474427,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,4,0.0
2025-03-29 16:53:14.484323,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,5,0.0
2025-03-29 16:53:14.494077,tic-tac-toe,GaussianNB,class_balance_sampling,0,1,6,0.0
