time,dataset,classifier,method,run,fold,query,kappa
2025-03-29 17:00:29.258414,turkiye-student,SVC,f2_sampling,0,0,0,0.0429461929710504
2025-03-29 17:00:34.239896,turkiye-student,SVC,f2_sampling,0,0,1,0.016709139553434782
2025-03-29 17:00:34.437790,turkiye-student,SVC,f2_sampling,0,0,2,-9.269551548429789e-05
2025-03-29 17:00:34.505367,turkiye-student,SVC,f2_sampling,0,0,3,0.0007213781906961758
2025-03-29 17:00:34.572548,turkiye-student,SVC,f2_sampling,0,0,4,0.0024426276423771265
2025-03-29 17:00:34.944410,turkiye-student,SVC,f2_sampling,0,0,5,0.005732439440304438
2025-03-29 17:00:35.302945,turkiye-student,SVC,f2_sampling,0,0,6,-0.005231084673060993
2025-03-29 17:00:35.504666,turkiye-student,SVC,f2_sampling,0,0,7,0.003704848858210208
2025-03-29 17:00:35.849963,turkiye-student,SVC,f2_sampling,0,0,8,0.006589590446992921
2025-03-29 17:00:36.221973,turkiye-student,SVC,f2_sampling,0,0,9,-0.0064099324085262754
2025-03-29 17:00:36.601878,turkiye-student,SVC,f2_sampling,0,0,10,-0.006167981012173751
2025-03-29 17:00:36.813445,turkiye-student,SVC,f2_sampling,0,0,11,-0.005436896772474276
2025-03-29 17:00:37.026479,turkiye-student,SVC,f2_sampling,0,0,12,-0.004799465670722647
2025-03-29 17:00:37.245542,turkiye-student,SVC,f2_sampling,0,0,13,-0.0051297453975955865
2025-03-29 17:00:37.473441,turkiye-student,SVC,f2_sampling,0,0,14,-0.01782028970255145
2025-03-29 17:00:37.875908,turkiye-student,SVC,f2_sampling,0,0,15,-0.017701374607139053
2025-03-29 17:00:38.268778,turkiye-student,SVC,f2_sampling,0,0,16,-0.017736809974024936
2025-03-29 17:00:38.662002,turkiye-student,SVC,f2_sampling,0,0,17,-0.017774610418702652
2025-03-29 17:00:39.061019,turkiye-student,SVC,f2_sampling,0,0,18,-0.017876213028741317
2025-03-29 17:00:39.447980,turkiye-student,SVC,f2_sampling,0,0,19,-0.018259177199020815
2025-03-29 17:00:39.842251,turkiye-student,SVC,f2_sampling,0,0,20,-0.017198994377430665
2025-03-29 17:00:40.239978,turkiye-student,SVC,f2_sampling,0,0,21,-0.01744628072299781
2025-03-29 17:00:40.849705,turkiye-student,SVC,f2_sampling,0,0,22,-0.01755578664217783
2025-03-29 17:00:41.458022,turkiye-student,SVC,f2_sampling,0,0,23,-0.017787481151094076
2025-03-29 17:00:42.072503,turkiye-student,SVC,f2_sampling,0,0,24,-0.019258118405445
2025-03-29 17:00:42.676860,turkiye-student,SVC,f2_sampling,0,0,25,-0.019235147089787574
2025-03-29 17:00:43.296067,turkiye-student,SVC,f2_sampling,0,0,26,-0.019420486044464003
2025-03-29 17:00:43.920791,turkiye-student,SVC,f2_sampling,0,0,27,-0.019470396510964383
2025-03-29 17:00:44.545137,turkiye-student,SVC,f2_sampling,0,0,28,-0.0194830729632145
2025-03-29 17:00:45.434012,turkiye-student,SVC,f2_sampling,0,0,29,-0.016132033343256857
2025-03-29 17:00:46.647808,turkiye-student,SVC,f2_sampling,0,0,30,-0.008698495748855395
2025-03-29 17:00:47.538528,turkiye-student,SVC,f2_sampling,0,0,31,-0.007975852836871189
2025-03-29 17:00:48.423215,turkiye-student,SVC,f2_sampling,0,0,32,-0.0076964016186054085
2025-03-29 17:00:49.328416,turkiye-student,SVC,f2_sampling,0,0,33,-0.001157497082778347
2025-03-29 17:00:50.562011,turkiye-student,SVC,f2_sampling,0,0,34,0.0001564612226506723
2025-03-29 17:00:51.796615,turkiye-student,SVC,f2_sampling,0,0,35,-0.0006736806566121079
2025-03-29 17:00:52.699963,turkiye-student,SVC,f2_sampling,0,0,36,0.014763720020885773
2025-03-29 17:00:53.936119,turkiye-student,SVC,f2_sampling,0,0,37,0.021381118016518097
2025-03-29 17:00:55.248431,turkiye-student,SVC,f2_sampling,0,0,38,0.02008968187279625
2025-03-29 17:00:56.506962,turkiye-student,SVC,f2_sampling,0,0,39,0.020414315456284027
2025-03-29 17:00:57.731946,turkiye-student,SVC,f2_sampling,0,0,40,0.02489109216592389
2025-03-29 17:00:58.948977,turkiye-student,SVC,f2_sampling,0,0,41,0.019522526411592356
2025-03-29 17:01:00.118461,turkiye-student,SVC,f2_sampling,0,0,42,0.0196699573286504
2025-03-29 17:01:01.308291,turkiye-student,SVC,f2_sampling,0,0,43,0.01636634849047225
2025-03-29 17:01:02.192729,turkiye-student,SVC,f2_sampling,0,0,44,0.01285835769952115
2025-03-29 17:01:03.069331,turkiye-student,SVC,f2_sampling,0,0,45,0.014064921932947394
2025-03-29 17:01:03.948855,turkiye-student,SVC,f2_sampling,0,0,46,0.014090111991576282
2025-03-29 17:01:04.814562,turkiye-student,SVC,f2_sampling,0,0,47,0.013411192455178522
2025-03-29 17:01:05.688971,turkiye-student,SVC,f2_sampling,0,0,48,0.011837097006566766
2025-03-29 17:01:06.575591,turkiye-student,SVC,f2_sampling,0,0,49,0.012052130128621608
2025-03-29 17:01:07.502830,turkiye-student,SVC,f2_sampling,0,0,50,0.009426905475410585
2025-03-29 17:01:08.390998,turkiye-student,SVC,f2_sampling,0,0,51,0.009505138163640847
2025-03-29 17:01:09.288652,turkiye-student,SVC,f2_sampling,0,0,52,0.009454518423534397
2025-03-29 17:01:10.164795,turkiye-student,SVC,f2_sampling,0,0,53,0.009403893509269068
2025-03-29 17:01:11.027065,turkiye-student,SVC,f2_sampling,0,0,54,0.010220178754387965
2025-03-29 17:01:11.905627,turkiye-student,SVC,f2_sampling,0,0,55,0.009581058073986681
2025-03-29 17:01:12.775835,turkiye-student,SVC,f2_sampling,0,0,56,0.009707565398335394
2025-03-29 17:01:13.655485,turkiye-student,SVC,f2_sampling,0,0,57,0.009302681861898199
2025-03-29 17:01:14.553900,turkiye-student,SVC,f2_sampling,0,0,58,0.009264353247862789
2025-03-29 17:01:15.449664,turkiye-student,SVC,f2_sampling,0,0,59,0.009264353247862789
2025-03-29 17:01:16.356221,turkiye-student,SVC,f2_sampling,0,0,60,0.009229088303502109
2025-03-29 17:01:17.246569,turkiye-student,SVC,f2_sampling,0,0,61,0.009928300765287168
2025-03-29 17:01:18.121243,turkiye-student,SVC,f2_sampling,0,0,62,0.009877724268923083
2025-03-29 17:01:19.005460,turkiye-student,SVC,f2_sampling,0,0,63,0.009852434082966544
2025-03-29 17:01:19.903818,turkiye-student,SVC,f2_sampling,0,0,64,0.009852434082966544
2025-03-29 17:01:20.789836,turkiye-student,SVC,f2_sampling,0,0,65,0.00983327399105216
2025-03-29 17:01:21.778825,turkiye-student,SVC,f2_sampling,0,0,66,0.009807981534274535
2025-03-29 17:01:22.697782,turkiye-student,SVC,f2_sampling,0,0,67,0.01189754875673521
2025-03-29 17:01:23.605574,turkiye-student,SVC,f2_sampling,0,0,68,0.01190366566044343
