time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 01:18:14.681209,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,0,0.21144859813084116
2025-03-30 01:18:14.781241,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,1,0.129202501954652
2025-03-30 01:18:14.887890,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,2,0.21389751552795033
2025-03-30 01:18:14.983833,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,3,0.41151266766020855
2025-03-30 01:18:15.081817,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,4,0.09671532846715325
2025-03-30 01:18:15.177909,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,5,0.4130434782608695
2025-03-30 01:18:15.276648,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,6,0.6055194805194806
2025-03-30 01:18:15.372060,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,7,0.6383928571428572
2025-03-30 01:18:15.466948,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,8,0.6055194805194806
2025-03-30 01:18:15.567677,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,9,0.5907437348423605
2025-03-30 01:18:15.668763,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,10,0.6942114093959731
2025-03-30 01:18:15.765206,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,11,0.7270429654591406
2025-03-30 01:18:15.857564,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,12,0.7270429654591406
2025-03-30 01:18:15.952132,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,13,0.7270429654591406
2025-03-30 01:18:16.047774,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,14,0.6929233361415332
2025-03-30 01:18:16.144003,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,15,0.7087563451776651
2025-03-30 01:18:16.237511,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,16,0.674492385786802
2025-03-30 01:18:16.328844,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,17,0.7087563451776651
2025-03-30 01:18:16.423327,user-knowledge,DecisionTree,tree_depth_unpruned_sampling,0,0,18,0.6929233361415332
