time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 01:56:09.308057,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,0,0.23895253682487727
2025-03-30 01:56:09.540080,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,1,0.5210300429184549
2025-03-30 01:56:09.761406,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,2,0.5210300429184549
2025-03-30 01:56:09.989281,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,3,0.41459227467811155
2025-03-30 01:56:10.210803,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,4,0.2536115569823434
2025-03-30 01:56:10.444062,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,5,0.5210300429184549
2025-03-30 01:56:10.661714,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,6,0.41459227467811155
2025-03-30 01:56:10.891568,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,7,0.5210300429184549
2025-03-30 01:56:11.110622,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,8,0.37583892617449666
2025-03-30 01:56:11.332097,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,9,0.5210300429184549
2025-03-30 01:56:11.545723,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,10,0.5713050993949871
2025-03-30 01:56:11.766373,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,11,0.5683202785030461
2025-03-30 01:56:11.984850,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,12,0.5967042497831743
2025-03-30 01:56:12.206316,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,13,0.5683202785030461
2025-03-30 01:56:12.417663,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,14,0.5967042497831743
2025-03-30 01:56:12.633039,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,15,0.5210300429184549
2025-03-30 01:56:12.844017,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,16,0.43975903614457834
2025-03-30 01:56:13.064216,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,17,0.5433275563258233
2025-03-30 01:56:13.275563,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,18,0.43975903614457834
2025-03-30 01:56:13.492544,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,19,0.5656742556917689
2025-03-30 01:56:13.700124,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,20,0.5656742556917689
2025-03-30 01:56:13.904887,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,21,0.4896013864818024
2025-03-30 01:56:14.116804,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,22,0.4896013864818024
2025-03-30 01:56:14.324366,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,23,0.5656742556917689
2025-03-30 01:56:14.529436,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,24,0.5656742556917689
2025-03-30 01:56:14.730858,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,25,0.5656742556917689
2025-03-30 01:56:14.940470,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,26,0.5656742556917689
2025-03-30 01:56:15.141022,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,27,0.5656742556917689
2025-03-30 01:56:15.338868,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,28,0.5656742556917689
2025-03-30 01:56:15.540056,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,29,0.5656742556917689
2025-03-30 01:56:15.735977,vertebra-column-3c,DecisionTree,intra_extra_ratio_sampling,0,0,30,0.5656742556917689
