time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 02:25:46.340814,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,0,-0.04461227715816274
2025-03-30 02:25:49.470489,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,1,0.0449167552249381
2025-03-30 02:25:52.369564,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,2,0.009600451785966357
2025-03-30 02:25:55.460663,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,3,0.010298043249332589
2025-03-30 02:25:58.416637,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,4,0.051386071670047384
2025-03-30 02:26:01.457452,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,5,0.014160381714637515
2025-03-30 02:26:04.321928,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,6,0.00292626784533645
2025-03-30 02:26:07.241870,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,7,0.03388278388278387
2025-03-30 02:26:10.406946,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,8,0.03373772559382604
2025-03-30 02:26:13.445649,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,9,0.029595389602593336
2025-03-30 02:26:16.522558,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,10,0.03838935847583591
2025-03-30 02:26:19.640532,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,11,0.03392629287697957
2025-03-30 02:26:22.722245,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,12,-0.012829624546613072
2025-03-30 02:26:26.037032,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,13,0.027742275016916063
2025-03-30 02:26:29.415648,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,14,0.13698511782620892
2025-03-30 02:26:32.334244,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,15,0.13709694836187702
2025-03-30 02:26:35.195023,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,16,0.10994141933810331
2025-03-30 02:26:38.171010,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,17,0.12289995459361291
2025-03-30 02:26:41.011357,volcanoes-a3,DecisionTree,disjunct_class_percentage_sampling,0,0,18,0.10922897196261694
