time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 02:26:37.206575,volcanoes-a3,DecisionTree,f3_sampling,0,0,0,0.14253973292221178
2025-03-30 02:26:37.306340,volcanoes-a3,DecisionTree,f3_sampling,0,0,1,0.1463841271427857
2025-03-30 02:26:37.382586,volcanoes-a3,DecisionTree,f3_sampling,0,0,2,0.15197341651973417
2025-03-30 02:26:37.451060,volcanoes-a3,DecisionTree,f3_sampling,0,0,3,0.13649828295803068
2025-03-30 02:26:37.513559,volcanoes-a3,DecisionTree,f3_sampling,0,0,4,0.09601039030238445
2025-03-30 02:26:37.574715,volcanoes-a3,DecisionTree,f3_sampling,0,0,5,0.29945828819068265
2025-03-30 02:26:37.635397,volcanoes-a3,DecisionTree,f3_sampling,0,0,6,0.03711403711403716
2025-03-30 02:26:37.696883,volcanoes-a3,DecisionTree,f3_sampling,0,0,7,-0.06351550960118169
2025-03-30 02:26:37.758241,volcanoes-a3,DecisionTree,f3_sampling,0,0,8,-0.02491449932394807
2025-03-30 02:26:37.819568,volcanoes-a3,DecisionTree,f3_sampling,0,0,9,-0.017483922829581777
2025-03-30 02:26:37.907210,volcanoes-a3,DecisionTree,f3_sampling,0,0,10,0.03837123499027306
2025-03-30 02:26:38.002194,volcanoes-a3,DecisionTree,f3_sampling,0,0,11,-0.006001191076091539
2025-03-30 02:26:38.095017,volcanoes-a3,DecisionTree,f3_sampling,0,0,12,-0.016129687563482653
2025-03-30 02:26:38.187743,volcanoes-a3,DecisionTree,f3_sampling,0,0,13,0.08590555150971935
2025-03-30 02:26:38.281559,volcanoes-a3,DecisionTree,f3_sampling,0,0,14,0.07588148545381423
2025-03-30 02:26:38.374475,volcanoes-a3,DecisionTree,f3_sampling,0,0,15,-0.002394478614019535
2025-03-30 02:26:38.471872,volcanoes-a3,DecisionTree,f3_sampling,0,0,16,0.06770344550207807
2025-03-30 02:26:38.566594,volcanoes-a3,DecisionTree,f3_sampling,0,0,17,0.23957708112101195
2025-03-30 02:26:38.659053,volcanoes-a3,DecisionTree,f3_sampling,0,0,18,0.18489154157943966
2025-03-30 02:26:38.751644,volcanoes-a3,DecisionTree,f3_sampling,0,0,19,0.24863138686131392
2025-03-30 02:26:38.843572,volcanoes-a3,DecisionTree,f3_sampling,0,0,20,0.2206607045081218
2025-03-30 02:26:38.930153,volcanoes-a3,DecisionTree,f3_sampling,0,0,21,0.2206607045081218
2025-03-30 02:26:38.990124,volcanoes-a3,DecisionTree,f3_sampling,0,0,22,0.2206607045081218
2025-03-30 02:26:39.057823,volcanoes-a3,DecisionTree,f3_sampling,0,0,23,0.22104799647732276
2025-03-30 02:26:39.117828,volcanoes-a3,DecisionTree,f3_sampling,0,0,24,0.2758272290982571
2025-03-30 02:26:39.181511,volcanoes-a3,DecisionTree,f3_sampling,0,0,25,0.08572629219778682
2025-03-30 02:26:39.246361,volcanoes-a3,DecisionTree,f3_sampling,0,0,26,0.08403314609865964
2025-03-30 02:26:39.306960,volcanoes-a3,DecisionTree,f3_sampling,0,0,27,0.08744495878965786
2025-03-30 02:26:39.367443,volcanoes-a3,DecisionTree,f3_sampling,0,0,28,0.05765517241379314
2025-03-30 02:26:39.427674,volcanoes-a3,DecisionTree,f3_sampling,0,0,29,0.06887183508850547
2025-03-30 02:26:39.488042,volcanoes-a3,DecisionTree,f3_sampling,0,0,30,0.07930162356204618
2025-03-30 02:26:39.548590,volcanoes-a3,DecisionTree,f3_sampling,0,0,31,0.09127370652609879
2025-03-30 02:26:39.609099,volcanoes-a3,DecisionTree,f3_sampling,0,0,32,0.07704841713221611
2025-03-30 02:26:39.693300,volcanoes-a3,DecisionTree,f3_sampling,0,0,33,0.06789918000544648
2025-03-30 02:26:39.787984,volcanoes-a3,DecisionTree,f3_sampling,0,0,34,0.08210510070221466
2025-03-30 02:26:39.882064,volcanoes-a3,DecisionTree,f3_sampling,0,0,35,0.09610499576629972
2025-03-30 02:26:39.976654,volcanoes-a3,DecisionTree,f3_sampling,0,0,36,0.038005369757318164
2025-03-30 02:26:40.074635,volcanoes-a3,DecisionTree,f3_sampling,0,0,37,0.12453989801776255
2025-03-30 02:26:40.173443,volcanoes-a3,DecisionTree,f3_sampling,0,0,38,0.16077502197424254
2025-03-30 02:26:40.264724,volcanoes-a3,DecisionTree,f3_sampling,0,0,39,0.04677890916423033
2025-03-30 02:26:40.328401,volcanoes-a3,DecisionTree,f3_sampling,0,0,40,0.12857142857142856
2025-03-30 02:26:40.393145,volcanoes-a3,DecisionTree,f3_sampling,0,0,41,0.03889078543105484
2025-03-30 02:26:40.454827,volcanoes-a3,DecisionTree,f3_sampling,0,0,42,0.1064453125
2025-03-30 02:26:40.516471,volcanoes-a3,DecisionTree,f3_sampling,0,0,43,0.15460118698232583
2025-03-30 02:26:40.555723,volcanoes-a3,DecisionTree,f3_sampling,0,0,44,0.1672423434981415
2025-03-30 02:26:40.594881,volcanoes-a3,DecisionTree,f3_sampling,0,0,45,0.20188125464125317
2025-03-30 02:26:40.634197,volcanoes-a3,DecisionTree,f3_sampling,0,0,46,0.1723793201942303
2025-03-30 02:26:40.673433,volcanoes-a3,DecisionTree,f3_sampling,0,0,47,0.1664330763840225
2025-03-30 02:26:40.712334,volcanoes-a3,DecisionTree,f3_sampling,0,0,48,0.17288827881750302
2025-03-30 02:26:40.753564,volcanoes-a3,DecisionTree,f3_sampling,0,0,49,0.13719943422913716
2025-03-30 02:26:40.814444,volcanoes-a3,DecisionTree,f3_sampling,0,0,50,0.20630790048922654
2025-03-30 02:26:40.908420,volcanoes-a3,DecisionTree,f3_sampling,0,0,51,0.08843589547091724
2025-03-30 02:26:41.003446,volcanoes-a3,DecisionTree,f3_sampling,0,0,52,0.15876944837340878
2025-03-30 02:26:41.097967,volcanoes-a3,DecisionTree,f3_sampling,0,0,53,0.10401818785602979
2025-03-30 02:26:41.195543,volcanoes-a3,DecisionTree,f3_sampling,0,0,54,0.14687524280645414
2025-03-30 02:26:41.295696,volcanoes-a3,DecisionTree,f3_sampling,0,0,55,0.23059801157441762
2025-03-30 02:26:41.383393,volcanoes-a3,DecisionTree,f3_sampling,0,0,56,0.1643835616438356
2025-03-30 02:26:41.446848,volcanoes-a3,DecisionTree,f3_sampling,0,0,57,0.1408014618176282
2025-03-30 02:26:41.513839,volcanoes-a3,DecisionTree,f3_sampling,0,0,58,0.26030719482619236
2025-03-30 02:26:41.574601,volcanoes-a3,DecisionTree,f3_sampling,0,0,59,0.30114566284779043
2025-03-30 02:26:41.634278,volcanoes-a3,DecisionTree,f3_sampling,0,0,60,0.30976353223720665
2025-03-30 02:26:41.694152,volcanoes-a3,DecisionTree,f3_sampling,0,0,61,0.2834457254731346
2025-03-30 02:26:41.754816,volcanoes-a3,DecisionTree,f3_sampling,0,0,62,0.3249225320938467
2025-03-30 02:26:41.814928,volcanoes-a3,DecisionTree,f3_sampling,0,0,63,0.33208631780646936
2025-03-30 02:26:41.875296,volcanoes-a3,DecisionTree,f3_sampling,0,0,64,0.33506358681546855
2025-03-30 02:26:41.934592,volcanoes-a3,DecisionTree,f3_sampling,0,0,65,0.3212594696969696
2025-03-30 02:26:41.994223,volcanoes-a3,DecisionTree,f3_sampling,0,0,66,0.39765145449693096
2025-03-30 02:26:42.054537,volcanoes-a3,DecisionTree,f3_sampling,0,0,67,0.2343706419093915
2025-03-30 02:26:42.140661,volcanoes-a3,DecisionTree,f3_sampling,0,0,68,0.3260023150584026
2025-03-30 02:26:42.233635,volcanoes-a3,DecisionTree,f3_sampling,0,0,69,0.19009857771634364
2025-03-30 02:26:42.325811,volcanoes-a3,DecisionTree,f3_sampling,0,0,70,0.16263427022203902
2025-03-30 02:26:42.417275,volcanoes-a3,DecisionTree,f3_sampling,0,0,71,0.1985837712656987
2025-03-30 02:26:42.509384,volcanoes-a3,DecisionTree,f3_sampling,0,0,72,0.2159749485885213
2025-03-30 02:26:42.601295,volcanoes-a3,DecisionTree,f3_sampling,0,0,73,0.1708827304991315
2025-03-30 02:26:42.693358,volcanoes-a3,DecisionTree,f3_sampling,0,0,74,0.2205026267215675
2025-03-30 02:26:42.786968,volcanoes-a3,DecisionTree,f3_sampling,0,0,75,0.26401703335699067
2025-03-30 02:26:42.881046,volcanoes-a3,DecisionTree,f3_sampling,0,0,76,0.19326990191396354
2025-03-30 02:26:42.978236,volcanoes-a3,DecisionTree,f3_sampling,0,0,77,0.22626238221792705
2025-03-30 02:26:43.068018,volcanoes-a3,DecisionTree,f3_sampling,0,0,78,0.2805002893132149
2025-03-30 02:26:43.128300,volcanoes-a3,DecisionTree,f3_sampling,0,0,79,0.31272252016765056
2025-03-30 02:26:43.192076,volcanoes-a3,DecisionTree,f3_sampling,0,0,80,0.18153895893954086
2025-03-30 02:26:43.256086,volcanoes-a3,DecisionTree,f3_sampling,0,0,81,0.3126018989162751
2025-03-30 02:26:43.316208,volcanoes-a3,DecisionTree,f3_sampling,0,0,82,0.29677206851119886
2025-03-30 02:26:43.375933,volcanoes-a3,DecisionTree,f3_sampling,0,0,83,0.27114297371335316
2025-03-30 02:26:43.435862,volcanoes-a3,DecisionTree,f3_sampling,0,0,84,0.14175837918959477
2025-03-30 02:26:43.475340,volcanoes-a3,DecisionTree,f3_sampling,0,0,85,0.19942837144190384
2025-03-30 02:26:43.535093,volcanoes-a3,DecisionTree,f3_sampling,0,0,86,0.15780069844879396
2025-03-30 02:26:43.595972,volcanoes-a3,DecisionTree,f3_sampling,0,0,87,0.27088799486910387
2025-03-30 02:26:43.634836,volcanoes-a3,DecisionTree,f3_sampling,0,0,88,0.17340779370098136
2025-03-30 02:26:43.714773,volcanoes-a3,DecisionTree,f3_sampling,0,0,89,0.334519981626091
2025-03-30 02:26:43.808191,volcanoes-a3,DecisionTree,f3_sampling,0,0,90,0.29905199655271486
