time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 07:17:52.085496,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,0,0.017402551590334436
2025-03-30 07:18:11.669669,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,1,0.0
2025-03-30 07:18:36.767814,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,2,0.0008496629247679577
2025-03-30 07:18:56.610601,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,3,0.05309565342063127
2025-03-30 07:19:16.356401,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,4,0.06415246904297611
2025-03-30 07:19:36.136494,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,5,0.06375692952224288
2025-03-30 07:19:55.926098,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,6,0.09534633112678725
2025-03-30 07:20:15.637141,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,7,0.09886539004934025
2025-03-30 07:20:35.485589,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,8,0.16423849167482862
2025-03-30 07:20:55.114301,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,9,0.14537197959298087
2025-03-30 07:21:14.811643,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,10,0.12360817884721054
2025-03-30 07:21:34.520245,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,11,0.14767300309017706
2025-03-30 07:21:54.172228,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,12,0.10171836956331337
2025-03-30 07:22:13.853202,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,13,0.14723897069362557
2025-03-30 07:22:33.603298,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,14,0.1388655285510051
2025-03-30 07:22:53.179841,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,15,0.16127120527446492
2025-03-30 07:23:12.889077,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,16,0.24749687108886098
2025-03-30 07:23:37.764678,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,17,0.2510007243338036
2025-03-30 07:23:58.754154,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,18,0.2523396279047615
2025-03-30 07:24:18.859681,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,19,0.258899382161598
2025-03-30 07:24:43.011506,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,20,0.2693404778677261
2025-03-30 07:25:06.797722,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,21,0.2487687953833605
2025-03-30 07:25:26.494726,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,22,0.2869153256561622
2025-03-30 07:25:46.183417,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,23,0.3196615461711929
2025-03-30 07:26:05.927446,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,24,0.3295099516428348
2025-03-30 07:26:25.745189,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,25,0.29827539529812896
2025-03-30 07:26:45.543150,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,26,0.19982239170464788
2025-03-30 07:27:05.168538,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,27,0.22980387453795514
2025-03-30 07:27:24.986908,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,28,0.2344260938853887
2025-03-30 07:27:44.630408,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,29,0.21498732007000743
2025-03-30 07:28:04.343696,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,30,0.2243788819875776
2025-03-30 07:28:24.030436,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,31,0.22729975490551535
2025-03-30 07:28:43.878296,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,32,0.22011768494393869
2025-03-30 07:29:04.531764,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,33,0.2226408403882808
2025-03-30 07:29:24.247839,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,34,0.2104764012265672
2025-03-30 07:29:43.973539,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,35,0.2032904550220791
2025-03-30 07:30:03.666980,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,36,0.20046804242774197
2025-03-30 07:30:23.172564,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,37,0.20046804242774197
2025-03-30 07:30:42.896817,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,38,0.23248082975045437
2025-03-30 07:31:02.469517,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,39,0.2560746217414642
2025-03-30 07:31:22.223218,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,40,0.23514497076721153
2025-03-30 07:31:41.866691,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,41,0.33560930191314364
2025-03-30 07:32:01.532924,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,42,0.3185105008959188
2025-03-30 07:32:21.895694,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,43,0.3064345254464226
2025-03-30 07:32:41.528147,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,44,0.31535544724537956
2025-03-30 07:33:01.138408,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,45,0.31001526019329595
2025-03-30 07:33:20.818179,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,46,0.30676350851221335
2025-03-30 07:33:40.506775,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,47,0.30676350851221335
2025-03-30 07:34:00.611804,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,48,0.2756029343905677
2025-03-30 07:34:22.135982,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,49,0.28216439427703444
2025-03-30 07:34:43.476679,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,50,0.3051337489943685
2025-03-30 07:35:04.466051,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,51,0.3075723444810259
2025-03-30 07:35:24.544854,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,52,0.34324923987180544
2025-03-30 07:35:49.573157,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,53,0.32171835708298413
2025-03-30 07:36:09.512173,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,54,0.3139001326356726
2025-03-30 07:36:28.975041,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,55,0.32223200291989607
2025-03-30 07:36:48.716436,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,56,0.3197644727480653
2025-03-30 07:37:08.459293,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,57,0.3135701310246203
2025-03-30 07:37:28.127315,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,58,0.3166421335180535
2025-03-30 07:37:47.614307,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,59,0.32206898625171265
2025-03-30 07:38:07.422040,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,60,0.3283212615751353
2025-03-30 07:38:27.171804,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,61,0.31712924946625065
2025-03-30 07:38:47.069875,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,62,0.31712924946625065
2025-03-30 07:39:06.831042,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,63,0.31139220109571386
2025-03-30 07:39:26.421132,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,64,0.31397631729541753
2025-03-30 07:39:45.952682,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,65,0.31139220109571386
2025-03-30 07:40:05.498699,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,66,0.32033515952304226
2025-03-30 07:40:25.146008,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,67,0.32111026930229347
2025-03-30 07:40:44.681322,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,68,0.32111026930229347
2025-03-30 07:41:04.137385,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,69,0.3244622709672639
2025-03-30 07:41:23.663463,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,70,0.32111026930229347
2025-03-30 07:41:43.129692,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,71,0.3244622709672639
2025-03-30 07:42:02.663037,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,72,0.3178155529859512
2025-03-30 07:42:22.143301,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,73,0.3178155529859512
2025-03-30 07:42:41.632398,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,74,0.3244622709672639
2025-03-30 07:43:01.158370,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,75,0.3244622709672639
2025-03-30 07:43:25.397637,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,76,0.3244622709672639
2025-03-30 07:43:52.255718,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,77,0.3244622709672639
2025-03-30 07:44:11.782476,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,78,0.3244622709672639
2025-03-30 07:44:31.190792,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,79,0.3244622709672639
2025-03-30 07:44:52.424350,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,80,0.3244622709672639
2025-03-30 07:45:18.301220,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,81,0.13962751641726778
2025-03-30 07:45:44.823569,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,82,0.20187693405697915
2025-03-30 07:46:10.951387,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,83,0.24413117495967984
2025-03-30 07:46:36.886761,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,84,0.23429225562412914
2025-03-30 07:47:02.164563,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,85,0.23899094664674347
2025-03-30 07:47:21.465470,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,86,0.2752207136328946
2025-03-30 07:47:43.392544,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,87,0.27531630663136986
2025-03-30 07:48:03.550361,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,88,0.27834728182608826
2025-03-30 07:48:23.062792,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,89,0.27834728182608826
2025-03-30 07:48:42.342224,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,90,0.2909800638756699
2025-03-30 07:49:01.785504,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,91,0.2909964467645013
2025-03-30 07:49:21.306562,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,92,0.28790824261275283
2025-03-30 07:49:40.596256,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,93,0.28790824261275283
2025-03-30 07:49:59.889984,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,94,0.28790824261275283
2025-03-30 07:50:19.777207,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,95,0.28790824261275283
2025-03-30 07:50:39.230264,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,96,0.28790824261275283
2025-03-30 07:50:58.498391,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,97,0.28790824261275283
2025-03-30 07:51:17.718851,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,98,0.28166745264298165
2025-03-30 07:51:37.158666,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,99,0.24310923563824693
2025-03-30 07:51:56.549003,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,0,100,0.28790824261275283
2025-03-30 07:51:56.554032,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,0,0.029943162787474664
2025-03-30 07:52:16.392084,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,1,0.0
2025-03-30 07:52:36.064682,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,2,-0.00548398068970446
2025-03-30 07:52:55.898422,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,3,0.0005199347718195524
2025-03-30 07:53:15.795992,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,4,0.006588258632068467
2025-03-30 07:53:35.484757,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,5,0.07601061339160298
2025-03-30 07:53:55.239630,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,6,0.07882183959001998
2025-03-30 07:54:15.021089,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,7,0.07882183959001998
2025-03-30 07:54:34.973702,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,8,0.06833100182933394
2025-03-30 07:54:54.833972,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,9,0.055201886758994845
2025-03-30 07:55:14.600469,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,10,0.035330652730622636
2025-03-30 07:55:34.291537,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,11,0.1383129792672536
2025-03-30 07:55:54.040753,volcanoes-b5,GaussianNB,local_set_cardinality_sampling,0,1,12,0.17561922516151363
