time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 09:24:21.585455,volcanoes-d1,5NN,class_likelihood_sampling,0,0,0,0.0
2025-03-30 09:24:21.610689,volcanoes-d1,5NN,class_likelihood_sampling,0,0,1,0.06516325576103865
2025-03-30 09:24:21.648997,volcanoes-d1,5NN,class_likelihood_sampling,0,0,2,0.06516325576103865
2025-03-30 09:24:21.686788,volcanoes-d1,5NN,class_likelihood_sampling,0,0,3,0.06516325576103865
2025-03-30 09:24:21.724129,volcanoes-d1,5NN,class_likelihood_sampling,0,0,4,0.06516325576103865
2025-03-30 09:24:21.761863,volcanoes-d1,5NN,class_likelihood_sampling,0,0,5,-0.015745570117136065
2025-03-30 09:24:21.798188,volcanoes-d1,5NN,class_likelihood_sampling,0,0,6,0.02133474660579482
2025-03-30 09:24:21.880105,volcanoes-d1,5NN,class_likelihood_sampling,0,0,7,-0.007185997605347216
2025-03-30 09:24:22.145340,volcanoes-d1,5NN,class_likelihood_sampling,0,0,8,-0.013312279497932344
2025-03-30 09:24:22.422717,volcanoes-d1,5NN,class_likelihood_sampling,0,0,9,-0.01789233650097266
2025-03-30 09:24:22.690981,volcanoes-d1,5NN,class_likelihood_sampling,0,0,10,-0.017769506450308725
2025-03-30 09:24:22.958806,volcanoes-d1,5NN,class_likelihood_sampling,0,0,11,-0.046218718422117
2025-03-30 09:24:23.225430,volcanoes-d1,5NN,class_likelihood_sampling,0,0,12,-0.04865807205603878
2025-03-30 09:24:23.548295,volcanoes-d1,5NN,class_likelihood_sampling,0,0,13,-0.051442476550393135
2025-03-30 09:24:23.830462,volcanoes-d1,5NN,class_likelihood_sampling,0,0,14,0.0
2025-03-30 09:24:24.095011,volcanoes-d1,5NN,class_likelihood_sampling,0,0,15,-0.04099071744599647
2025-03-30 09:24:24.363261,volcanoes-d1,5NN,class_likelihood_sampling,0,0,16,-0.04114673565586657
2025-03-30 09:24:24.628388,volcanoes-d1,5NN,class_likelihood_sampling,0,0,17,-0.029270765026608636
2025-03-30 09:24:24.892781,volcanoes-d1,5NN,class_likelihood_sampling,0,0,18,-0.011622769753610873
2025-03-30 09:24:25.179954,volcanoes-d1,5NN,class_likelihood_sampling,0,0,19,0.0
2025-03-30 09:24:25.437029,volcanoes-d1,5NN,class_likelihood_sampling,0,0,20,0.0
2025-03-30 09:24:25.691689,volcanoes-d1,5NN,class_likelihood_sampling,0,0,21,0.0
2025-03-30 09:24:25.947359,volcanoes-d1,5NN,class_likelihood_sampling,0,0,22,0.0
2025-03-30 09:24:26.203286,volcanoes-d1,5NN,class_likelihood_sampling,0,0,23,0.0
2025-03-30 09:24:26.475933,volcanoes-d1,5NN,class_likelihood_sampling,0,0,24,0.0
2025-03-30 09:24:26.734555,volcanoes-d1,5NN,class_likelihood_sampling,0,0,25,0.0
2025-03-30 09:24:26.993926,volcanoes-d1,5NN,class_likelihood_sampling,0,0,26,0.0
2025-03-30 09:24:27.254001,volcanoes-d1,5NN,class_likelihood_sampling,0,0,27,0.0
2025-03-30 09:24:27.525951,volcanoes-d1,5NN,class_likelihood_sampling,0,0,28,0.0
2025-03-30 09:24:27.797118,volcanoes-d1,5NN,class_likelihood_sampling,0,0,29,0.0
2025-03-30 09:24:28.060734,volcanoes-d1,5NN,class_likelihood_sampling,0,0,30,0.0
2025-03-30 09:24:28.322635,volcanoes-d1,5NN,class_likelihood_sampling,0,0,31,0.0
2025-03-30 09:24:28.581515,volcanoes-d1,5NN,class_likelihood_sampling,0,0,32,0.0
2025-03-30 09:24:28.850851,volcanoes-d1,5NN,class_likelihood_sampling,0,0,33,0.0
2025-03-30 09:24:29.247276,volcanoes-d1,5NN,class_likelihood_sampling,0,0,34,0.0
2025-03-30 09:24:29.652450,volcanoes-d1,5NN,class_likelihood_sampling,0,0,35,0.0
2025-03-30 09:24:30.053076,volcanoes-d1,5NN,class_likelihood_sampling,0,0,36,0.0
2025-03-30 09:24:30.458699,volcanoes-d1,5NN,class_likelihood_sampling,0,0,37,0.0
2025-03-30 09:24:30.856478,volcanoes-d1,5NN,class_likelihood_sampling,0,0,38,0.0
2025-03-30 09:24:31.256705,volcanoes-d1,5NN,class_likelihood_sampling,0,0,39,0.0
2025-03-30 09:24:31.654135,volcanoes-d1,5NN,class_likelihood_sampling,0,0,40,0.0
2025-03-30 09:24:32.056199,volcanoes-d1,5NN,class_likelihood_sampling,0,0,41,0.0
2025-03-30 09:24:32.464007,volcanoes-d1,5NN,class_likelihood_sampling,0,0,42,0.0
2025-03-30 09:24:32.863835,volcanoes-d1,5NN,class_likelihood_sampling,0,0,43,0.0
2025-03-30 09:24:33.266244,volcanoes-d1,5NN,class_likelihood_sampling,0,0,44,0.0
2025-03-30 09:24:33.682241,volcanoes-d1,5NN,class_likelihood_sampling,0,0,45,0.0
2025-03-30 09:24:34.092694,volcanoes-d1,5NN,class_likelihood_sampling,0,0,46,0.0
2025-03-30 09:24:34.503950,volcanoes-d1,5NN,class_likelihood_sampling,0,0,47,0.0
2025-03-30 09:24:34.899796,volcanoes-d1,5NN,class_likelihood_sampling,0,0,48,0.0
2025-03-30 09:24:35.296146,volcanoes-d1,5NN,class_likelihood_sampling,0,0,49,0.0
2025-03-30 09:24:35.691144,volcanoes-d1,5NN,class_likelihood_sampling,0,0,50,0.0
2025-03-30 09:24:36.090119,volcanoes-d1,5NN,class_likelihood_sampling,0,0,51,0.0
2025-03-30 09:24:36.487500,volcanoes-d1,5NN,class_likelihood_sampling,0,0,52,0.0
2025-03-30 09:24:36.885474,volcanoes-d1,5NN,class_likelihood_sampling,0,0,53,0.0
2025-03-30 09:24:37.282378,volcanoes-d1,5NN,class_likelihood_sampling,0,0,54,0.0
2025-03-30 09:24:37.681415,volcanoes-d1,5NN,class_likelihood_sampling,0,0,55,0.0
2025-03-30 09:24:38.079306,volcanoes-d1,5NN,class_likelihood_sampling,0,0,56,0.0
2025-03-30 09:24:38.479850,volcanoes-d1,5NN,class_likelihood_sampling,0,0,57,0.0
2025-03-30 09:24:38.879279,volcanoes-d1,5NN,class_likelihood_sampling,0,0,58,0.0
2025-03-30 09:24:39.280430,volcanoes-d1,5NN,class_likelihood_sampling,0,0,59,0.0
2025-03-30 09:24:39.681719,volcanoes-d1,5NN,class_likelihood_sampling,0,0,60,0.0
2025-03-30 09:24:40.085016,volcanoes-d1,5NN,class_likelihood_sampling,0,0,61,0.0
2025-03-30 09:24:40.490094,volcanoes-d1,5NN,class_likelihood_sampling,0,0,62,0.0
2025-03-30 09:24:40.896052,volcanoes-d1,5NN,class_likelihood_sampling,0,0,63,0.0
2025-03-30 09:24:41.301717,volcanoes-d1,5NN,class_likelihood_sampling,0,0,64,0.0
2025-03-30 09:24:41.699983,volcanoes-d1,5NN,class_likelihood_sampling,0,0,65,0.0
