time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 13:14:33.210038,voting,DecisionTree,local_set_cardinality_sampling,0,0,0,0.9287080032777929
2025-03-30 13:14:33.503752,voting,DecisionTree,local_set_cardinality_sampling,0,0,1,0.3885542168674698
2025-03-30 13:14:33.767434,voting,DecisionTree,local_set_cardinality_sampling,0,0,2,0.9287080032777929
2025-03-30 13:14:34.030620,voting,DecisionTree,local_set_cardinality_sampling,0,0,3,0.9287080032777929
2025-03-30 13:14:34.294671,voting,DecisionTree,local_set_cardinality_sampling,0,0,4,0.9287080032777929
2025-03-30 13:14:34.553111,voting,DecisionTree,local_set_cardinality_sampling,0,0,5,0.9287080032777929
2025-03-30 13:14:34.810746,voting,DecisionTree,local_set_cardinality_sampling,0,0,6,0.9287080032777929
2025-03-30 13:14:35.064822,voting,DecisionTree,local_set_cardinality_sampling,0,0,7,0.9287080032777929
2025-03-30 13:14:35.326360,voting,DecisionTree,local_set_cardinality_sampling,0,0,8,0.9287080032777929
2025-03-30 13:14:35.581554,voting,DecisionTree,local_set_cardinality_sampling,0,0,9,0.339031339031339
2025-03-30 13:14:35.837004,voting,DecisionTree,local_set_cardinality_sampling,0,0,10,0.5831021437578814
2025-03-30 13:14:36.093610,voting,DecisionTree,local_set_cardinality_sampling,0,0,11,0.3214370125265894
2025-03-30 13:14:36.354253,voting,DecisionTree,local_set_cardinality_sampling,0,0,12,0.44802342606149337
2025-03-30 13:14:36.607832,voting,DecisionTree,local_set_cardinality_sampling,0,0,13,0.5749550012856776
2025-03-30 13:14:36.861703,voting,DecisionTree,local_set_cardinality_sampling,0,0,14,0.6507894032646508
2025-03-30 13:14:37.113222,voting,DecisionTree,local_set_cardinality_sampling,0,0,15,0.8146964856230032
2025-03-30 13:14:37.381665,voting,DecisionTree,local_set_cardinality_sampling,0,0,16,0.6724045185583647
2025-03-30 13:14:37.631568,voting,DecisionTree,local_set_cardinality_sampling,0,0,17,0.8799337565553409
2025-03-30 13:14:37.894374,voting,DecisionTree,local_set_cardinality_sampling,0,0,18,0.8824006488240065
2025-03-30 13:14:38.152380,voting,DecisionTree,local_set_cardinality_sampling,0,0,19,0.9054347826086957
2025-03-30 13:14:38.406195,voting,DecisionTree,local_set_cardinality_sampling,0,0,20,0.85667215815486
2025-03-30 13:14:38.658038,voting,DecisionTree,local_set_cardinality_sampling,0,0,21,0.9034406215316315
2025-03-30 13:14:38.905331,voting,DecisionTree,local_set_cardinality_sampling,0,0,22,0.8799337565553409
2025-03-30 13:14:39.166011,voting,DecisionTree,local_set_cardinality_sampling,0,0,23,0.9287080032777929
2025-03-30 13:14:39.422930,voting,DecisionTree,local_set_cardinality_sampling,0,0,24,0.8824006488240065
2025-03-30 13:14:39.678705,voting,DecisionTree,local_set_cardinality_sampling,0,0,25,0.9287080032777929
2025-03-30 13:14:39.931497,voting,DecisionTree,local_set_cardinality_sampling,0,0,26,0.8824006488240065
2025-03-30 13:14:40.194014,voting,DecisionTree,local_set_cardinality_sampling,0,0,27,0.9522240527182867
2025-03-30 13:14:40.444713,voting,DecisionTree,local_set_cardinality_sampling,0,0,28,0.837035054856837
2025-03-30 13:14:40.697527,voting,DecisionTree,local_set_cardinality_sampling,0,0,29,0.837035054856837
2025-03-30 13:14:40.943085,voting,DecisionTree,local_set_cardinality_sampling,0,0,30,0.9287080032777929
2025-03-30 13:14:41.198427,voting,DecisionTree,local_set_cardinality_sampling,0,0,31,0.9287080032777929
2025-03-30 13:14:41.435098,voting,DecisionTree,local_set_cardinality_sampling,0,0,32,0.8824006488240065
2025-03-30 13:14:41.678883,voting,DecisionTree,local_set_cardinality_sampling,0,0,33,0.9287080032777929
2025-03-30 13:14:41.915778,voting,DecisionTree,local_set_cardinality_sampling,0,0,34,0.9287080032777929
2025-03-30 13:14:42.153030,voting,DecisionTree,local_set_cardinality_sampling,0,0,35,0.9287080032777929
2025-03-30 13:14:42.387416,voting,DecisionTree,local_set_cardinality_sampling,0,0,36,0.9287080032777929
2025-03-30 13:14:42.622322,voting,DecisionTree,local_set_cardinality_sampling,0,0,37,0.9522240527182867
2025-03-30 13:14:42.912267,voting,DecisionTree,local_set_cardinality_sampling,0,0,38,0.9034406215316315
2025-03-30 13:14:43.145033,voting,DecisionTree,local_set_cardinality_sampling,0,0,39,0.9279602539332046
2025-03-30 13:14:43.377431,voting,DecisionTree,local_set_cardinality_sampling,0,0,40,0.9522240527182867
2025-03-30 13:14:43.609403,voting,DecisionTree,local_set_cardinality_sampling,0,0,41,0.9279602539332046
2025-03-30 13:14:43.841211,voting,DecisionTree,local_set_cardinality_sampling,0,0,42,0.9522240527182867
2025-03-30 13:14:44.078998,voting,DecisionTree,local_set_cardinality_sampling,0,0,43,0.9522240527182867
2025-03-30 13:14:44.307995,voting,DecisionTree,local_set_cardinality_sampling,0,0,44,0.9522240527182867
2025-03-30 13:14:44.536715,voting,DecisionTree,local_set_cardinality_sampling,0,0,45,0.9522240527182867
2025-03-30 13:14:44.773561,voting,DecisionTree,local_set_cardinality_sampling,0,0,46,0.9522240527182867
2025-03-30 13:14:45.005846,voting,DecisionTree,local_set_cardinality_sampling,0,0,47,0.9522240527182867
2025-03-30 13:14:45.239415,voting,DecisionTree,local_set_cardinality_sampling,0,0,48,0.8596019365250134
2025-03-30 13:14:45.465844,voting,DecisionTree,local_set_cardinality_sampling,0,0,49,0.8596019365250134
2025-03-30 13:14:45.697414,voting,DecisionTree,local_set_cardinality_sampling,0,0,50,0.9522240527182867
2025-03-30 13:14:45.925424,voting,DecisionTree,local_set_cardinality_sampling,0,0,51,0.9522240527182867
2025-03-30 13:14:46.150244,voting,DecisionTree,local_set_cardinality_sampling,0,0,52,0.9522240527182867
2025-03-30 13:14:46.372996,voting,DecisionTree,local_set_cardinality_sampling,0,0,53,0.9522240527182867
2025-03-30 13:14:46.594649,voting,DecisionTree,local_set_cardinality_sampling,0,0,54,0.9522240527182867
2025-03-30 13:14:46.824215,voting,DecisionTree,local_set_cardinality_sampling,0,0,55,0.9522240527182867
2025-03-30 13:14:47.047457,voting,DecisionTree,local_set_cardinality_sampling,0,0,56,0.9522240527182867
2025-03-30 13:14:47.267058,voting,DecisionTree,local_set_cardinality_sampling,0,0,57,0.9287080032777929
2025-03-30 13:14:47.487825,voting,DecisionTree,local_set_cardinality_sampling,0,0,58,0.9522240527182867
2025-03-30 13:14:47.710245,voting,DecisionTree,local_set_cardinality_sampling,0,0,59,0.9522240527182867
2025-03-30 13:14:47.934999,voting,DecisionTree,local_set_cardinality_sampling,0,0,60,0.9522240527182867
2025-03-30 13:14:48.154173,voting,DecisionTree,local_set_cardinality_sampling,0,0,61,0.9522240527182867
2025-03-30 13:14:48.370967,voting,DecisionTree,local_set_cardinality_sampling,0,0,62,0.9522240527182867
2025-03-30 13:14:48.600501,voting,DecisionTree,local_set_cardinality_sampling,0,0,63,0.9287080032777929
