time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 13:31:53.331837,waveform-v2,5NN,margin_sampling,0,0,0,0.0
2025-03-30 13:31:53.338244,waveform-v2,5NN,margin_sampling,0,0,1,0.0
2025-03-30 13:31:53.344757,waveform-v2,5NN,margin_sampling,0,0,2,0.05774384990906489
2025-03-30 13:31:53.351272,waveform-v2,5NN,margin_sampling,0,0,3,0.22764520270189192
2025-03-30 13:31:53.357952,waveform-v2,5NN,margin_sampling,0,0,4,0.3873934865997941
2025-03-30 13:31:53.364695,waveform-v2,5NN,margin_sampling,0,0,5,0.412746538118428
2025-03-30 13:31:53.371464,waveform-v2,5NN,margin_sampling,0,0,6,0.48965923903852393
2025-03-30 13:31:53.378371,waveform-v2,5NN,margin_sampling,0,0,7,0.4733195977478428
2025-03-30 13:31:53.385350,waveform-v2,5NN,margin_sampling,0,0,8,0.4738030139726228
2025-03-30 13:31:53.392423,waveform-v2,5NN,margin_sampling,0,0,9,0.4738557109076288
2025-03-30 13:31:53.399722,waveform-v2,5NN,margin_sampling,0,0,10,0.4364942468603612
2025-03-30 13:31:53.407123,waveform-v2,5NN,margin_sampling,0,0,11,0.4425539101181697
2025-03-30 13:31:53.414415,waveform-v2,5NN,margin_sampling,0,0,12,0.4350696224381976
2025-03-30 13:31:53.421692,waveform-v2,5NN,margin_sampling,0,0,13,0.5122717514082031
2025-03-30 13:31:53.429189,waveform-v2,5NN,margin_sampling,0,0,14,0.5296190213678799
2025-03-30 13:31:53.436814,waveform-v2,5NN,margin_sampling,0,0,15,0.522129594259563
2025-03-30 13:31:53.444399,waveform-v2,5NN,margin_sampling,0,0,16,0.5217929018476184
2025-03-30 13:31:53.452094,waveform-v2,5NN,margin_sampling,0,0,17,0.5188322463339063
2025-03-30 13:31:53.459722,waveform-v2,5NN,margin_sampling,0,0,18,0.5278515145474194
2025-03-30 13:31:53.467375,waveform-v2,5NN,margin_sampling,0,0,19,0.526287306748457
2025-03-30 13:31:53.475044,waveform-v2,5NN,margin_sampling,0,0,20,0.5294399736246609
2025-03-30 13:31:53.482848,waveform-v2,5NN,margin_sampling,0,0,21,0.5204677836770231
2025-03-30 13:31:53.490640,waveform-v2,5NN,margin_sampling,0,0,22,0.5114985157646621
2025-03-30 13:31:53.498580,waveform-v2,5NN,margin_sampling,0,0,23,0.5145281933256618
2025-03-30 13:31:53.506450,waveform-v2,5NN,margin_sampling,0,0,24,0.5190521281568758
2025-03-30 13:31:53.514554,waveform-v2,5NN,margin_sampling,0,0,25,0.5235769483155898
2025-03-30 13:31:53.522876,waveform-v2,5NN,margin_sampling,0,0,26,0.530959659533657
2025-03-30 13:31:53.531445,waveform-v2,5NN,margin_sampling,0,0,27,0.5086745897882208
2025-03-30 13:31:53.539974,waveform-v2,5NN,margin_sampling,0,0,28,0.5314090664111624
2025-03-30 13:31:53.548607,waveform-v2,5NN,margin_sampling,0,0,29,0.5537118296317374
2025-03-30 13:31:53.557355,waveform-v2,5NN,margin_sampling,0,0,30,0.5536516685638967
2025-03-30 13:31:53.566211,waveform-v2,5NN,margin_sampling,0,0,31,0.5728481287750484
2025-03-30 13:31:53.574998,waveform-v2,5NN,margin_sampling,0,0,32,0.5683815507091732
2025-03-30 13:31:53.583988,waveform-v2,5NN,margin_sampling,0,0,33,0.5668900155410054
2025-03-30 13:31:53.593039,waveform-v2,5NN,margin_sampling,0,0,34,0.5667133936536256
2025-03-30 13:31:53.602220,waveform-v2,5NN,margin_sampling,0,0,35,0.5637286062103457
2025-03-30 13:31:53.611331,waveform-v2,5NN,margin_sampling,0,0,36,0.5787119079103211
2025-03-30 13:31:53.620502,waveform-v2,5NN,margin_sampling,0,0,37,0.5801859776119179
2025-03-30 13:31:53.629680,waveform-v2,5NN,margin_sampling,0,0,38,0.5771828684094129
2025-03-30 13:31:53.638625,waveform-v2,5NN,margin_sampling,0,0,39,0.5801872364925242
2025-03-30 13:31:53.647633,waveform-v2,5NN,margin_sampling,0,0,40,0.5726816103156158
2025-03-30 13:31:53.656756,waveform-v2,5NN,margin_sampling,0,0,41,0.5758558569360307
2025-03-30 13:31:53.665999,waveform-v2,5NN,margin_sampling,0,0,42,0.5670528734805653
2025-03-30 13:31:53.675240,waveform-v2,5NN,margin_sampling,0,0,43,0.5593373272759702
2025-03-30 13:31:53.684454,waveform-v2,5NN,margin_sampling,0,0,44,0.5609552893649286
2025-03-30 13:31:53.693765,waveform-v2,5NN,margin_sampling,0,0,45,0.5653796408836882
2025-03-30 13:31:53.703128,waveform-v2,5NN,margin_sampling,0,0,46,0.5742722528942741
2025-03-30 13:31:53.712533,waveform-v2,5NN,margin_sampling,0,0,47,0.575673973670795
2025-03-30 13:31:53.721973,waveform-v2,5NN,margin_sampling,0,0,48,0.5892478888990493
2025-03-30 13:31:53.731558,waveform-v2,5NN,margin_sampling,0,0,49,0.5937537008138418
2025-03-30 13:31:53.741227,waveform-v2,5NN,margin_sampling,0,0,50,0.5998483320269705
2025-03-30 13:31:53.750878,waveform-v2,5NN,margin_sampling,0,0,51,0.6132670391094949
2025-03-30 13:31:53.760510,waveform-v2,5NN,margin_sampling,0,0,52,0.6132670391094949
2025-03-30 13:31:53.770215,waveform-v2,5NN,margin_sampling,0,0,53,0.6252902127302404
2025-03-30 13:31:53.780044,waveform-v2,5NN,margin_sampling,0,0,54,0.6207976738260466
2025-03-30 13:31:53.789963,waveform-v2,5NN,margin_sampling,0,0,55,0.6207885798907031
2025-03-30 13:31:53.799871,waveform-v2,5NN,margin_sampling,0,0,56,0.6132954422820964
2025-03-30 13:31:53.809842,waveform-v2,5NN,margin_sampling,0,0,57,0.6207340071176084
2025-03-30 13:31:53.819795,waveform-v2,5NN,margin_sampling,0,0,58,0.6207351442105894
2025-03-30 13:31:53.829904,waveform-v2,5NN,margin_sampling,0,0,59,0.6206333473783965
2025-03-30 13:31:53.840071,waveform-v2,5NN,margin_sampling,0,0,60,0.6147267333174427
2025-03-30 13:31:53.850245,waveform-v2,5NN,margin_sampling,0,0,61,0.6117494509777468
2025-03-30 13:31:53.860412,waveform-v2,5NN,margin_sampling,0,0,62,0.6162793486341943
2025-03-30 13:31:53.870598,waveform-v2,5NN,margin_sampling,0,0,63,0.6177639340035705
2025-03-30 13:31:53.880738,waveform-v2,5NN,margin_sampling,0,0,64,0.6237755843844384
2025-03-30 13:31:53.890883,waveform-v2,5NN,margin_sampling,0,0,65,0.6282890052983805
2025-03-30 13:31:53.901014,waveform-v2,5NN,margin_sampling,0,0,66,0.6267946456272773
2025-03-30 13:31:53.912364,waveform-v2,5NN,margin_sampling,0,0,67,0.601289663059787
2025-03-30 13:31:53.924125,waveform-v2,5NN,margin_sampling,0,0,68,0.5998501311352566
2025-03-30 13:31:53.936123,waveform-v2,5NN,margin_sampling,0,0,69,0.6028689347596083
2025-03-30 13:31:53.948115,waveform-v2,5NN,margin_sampling,0,0,70,0.6089166992569417
2025-03-30 13:31:53.959891,waveform-v2,5NN,margin_sampling,0,0,71,0.6074041773993673
2025-03-30 13:31:53.970308,waveform-v2,5NN,margin_sampling,0,0,72,0.6118297506268424
2025-03-30 13:31:53.980743,waveform-v2,5NN,margin_sampling,0,0,73,0.6133348520181523
2025-03-30 13:31:53.991301,waveform-v2,5NN,margin_sampling,0,0,74,0.6177433063854856
2025-03-30 13:31:54.001877,waveform-v2,5NN,margin_sampling,0,0,75,0.6161780933646788
2025-03-30 13:31:54.012443,waveform-v2,5NN,margin_sampling,0,0,76,0.6252031398981752
2025-03-30 13:31:54.023191,waveform-v2,5NN,margin_sampling,0,0,77,0.6311534401688897
2025-03-30 13:31:54.033981,waveform-v2,5NN,margin_sampling,0,0,78,0.6342366488881693
2025-03-30 13:31:54.044895,waveform-v2,5NN,margin_sampling,0,0,79,0.6386031787924548
2025-03-30 13:31:54.055799,waveform-v2,5NN,margin_sampling,0,0,80,0.641689367169451
2025-03-30 13:31:54.066806,waveform-v2,5NN,margin_sampling,0,0,81,0.6401480790654646
2025-03-30 13:31:54.077760,waveform-v2,5NN,margin_sampling,0,0,82,0.6385630707441552
2025-03-30 13:31:54.088869,waveform-v2,5NN,margin_sampling,0,0,83,0.6400806219406854
2025-03-30 13:31:54.099859,waveform-v2,5NN,margin_sampling,0,0,84,0.6370867362700314
2025-03-30 13:31:54.110800,waveform-v2,5NN,margin_sampling,0,0,85,0.6310848504843886
2025-03-30 13:31:54.121824,waveform-v2,5NN,margin_sampling,0,0,86,0.6371226525434404
2025-03-30 13:31:54.132928,waveform-v2,5NN,margin_sampling,0,0,87,0.6371134020618556
2025-03-30 13:31:54.144025,waveform-v2,5NN,margin_sampling,0,0,88,0.6356297158211677
2025-03-30 13:31:54.155265,waveform-v2,5NN,margin_sampling,0,0,89,0.6296018594886406
2025-03-30 13:31:54.166328,waveform-v2,5NN,margin_sampling,0,0,90,0.6295918612184178
2025-03-30 13:31:54.177480,waveform-v2,5NN,margin_sampling,0,0,91,0.6281056180044867
2025-03-30 13:31:54.188486,waveform-v2,5NN,margin_sampling,0,0,92,0.6295918612184178
2025-03-30 13:31:54.199621,waveform-v2,5NN,margin_sampling,0,0,93,0.6325966270870761
2025-03-30 13:31:54.210869,waveform-v2,5NN,margin_sampling,0,0,94,0.6341000736298622
