time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 16:51:35.899674,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,0,0.0
2025-03-30 16:51:35.908096,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,1,0.0014828278962976116
2025-03-30 16:51:51.338789,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,2,0.2420589476222048
2025-03-30 16:52:07.157750,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,3,0.19239919330491384
2025-03-30 16:52:22.429410,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,4,0.29889387720713023
2025-03-30 16:52:38.226470,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,5,0.29889387720713023
2025-03-30 16:52:53.760566,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,6,0.31432695777697583
2025-03-30 16:53:09.716405,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,7,0.3198606690288871
2025-03-30 16:53:25.214683,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,8,0.3139868621729054
2025-03-30 16:53:40.684952,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,9,0.3036211699164346
2025-03-30 16:53:55.901106,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,10,0.3168086103136374
2025-03-30 16:54:11.148419,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,11,0.2783585582774223
2025-03-30 16:54:26.532192,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,12,0.2842996038890889
2025-03-30 16:54:41.922000,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,13,0.2783758806514721
2025-03-30 16:54:57.223105,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,14,0.2723573820468811
2025-03-30 16:55:12.795051,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,15,0.352518417921569
2025-03-30 16:55:27.908373,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,16,0.3452116348083092
2025-03-30 16:55:43.530470,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,17,0.3512558905064108
2025-03-30 16:55:58.726863,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,18,0.35872116685714794
2025-03-30 16:56:14.157026,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,19,0.3919256737989031
2025-03-30 16:56:29.510362,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,20,0.3978988019537508
2025-03-30 16:56:44.922524,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,21,0.3918060507038531
2025-03-30 16:57:00.153907,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,22,0.45057914362401597
2025-03-30 16:57:15.434065,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,23,0.44757601459119867
2025-03-30 16:57:30.805938,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,24,0.55607213827753
2025-03-30 16:57:46.300518,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,25,0.568311031901515
2025-03-30 16:58:01.578634,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,26,0.5923463018166067
2025-03-30 16:58:17.109757,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,27,0.6122533916600046
2025-03-30 16:58:34.381996,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,28,0.6062962658024147
2025-03-30 16:58:51.109791,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,29,0.5898179031012163
2025-03-30 16:59:06.274780,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,30,0.5928076659944999
2025-03-30 16:59:21.732909,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,31,0.6077039752164741
2025-03-30 16:59:37.074967,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,32,0.6150983296465644
2025-03-30 16:59:54.674529,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,33,0.6181199822088839
2025-03-30 17:00:13.645324,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,34,0.6301337657923148
2025-03-30 17:00:29.152210,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,35,0.6316356127501995
2025-03-30 17:00:44.857363,waveform-v2,GaussianNB,intra_extra_ratio_sampling,0,0,36,0.6422027138699594
