time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 13:26:15.794128,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,0,0.0
2025-03-30 13:26:15.802153,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,1,0.07040140127274308
2025-03-30 13:26:32.655454,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,2,0.06890269510075442
2025-03-30 13:26:32.663994,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,3,0.3546864403488278
2025-03-30 13:26:47.765852,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,4,0.5458435693397944
2025-03-30 13:27:05.479836,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,5,0.2539020623103917
2025-03-30 13:27:23.621561,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,6,0.3829853350703366
2025-03-30 13:27:39.628447,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,7,0.5255584790332768
2025-03-30 13:27:55.745256,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,8,0.4269649640693567
2025-03-30 13:28:11.678145,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,9,0.3762835172823311
2025-03-30 13:28:26.849430,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,10,0.3030848217557178
2025-03-30 13:28:42.083677,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,11,0.3532420985497352
2025-03-30 13:28:57.808132,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,12,0.24580817490067564
2025-03-30 13:29:13.266294,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,13,0.19519269749567314
2025-03-30 13:29:30.361865,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,14,0.16389210468848636
2025-03-30 13:29:48.845846,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,15,0.25115509326863306
2025-03-30 13:30:06.706549,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,16,0.2965024622413821
2025-03-30 13:30:24.753722,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,17,0.2787427030804134
2025-03-30 13:30:41.123500,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,18,0.35290787025802806
2025-03-30 13:30:57.785558,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,19,0.34842881472461007
2025-03-30 13:31:12.918194,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,20,0.4241096136299044
2025-03-30 13:31:30.937864,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,21,0.4166488420479515
2025-03-30 13:31:46.687876,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,22,0.4773109520578822
2025-03-30 13:32:02.888712,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,23,0.5210634785458887
2025-03-30 13:32:17.592292,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,24,0.49414449807310956
2025-03-30 13:32:32.864058,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,25,0.5062932647928751
2025-03-30 13:32:47.711173,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,26,0.47967129579789713
2025-03-30 13:33:02.843839,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,27,0.49765873087066503
2025-03-30 13:33:19.896128,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,28,0.48873803504984803
2025-03-30 13:33:36.826382,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,29,0.4812874833324364
2025-03-30 13:33:51.754191,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,30,0.4633380671201136
2025-03-30 13:34:06.958719,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,31,0.46333726487370497
2025-03-30 13:34:21.769044,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,32,0.4856666970681507
2025-03-30 13:34:37.043906,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,33,0.504941610031588
2025-03-30 13:34:52.617786,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,34,0.5079638076721753
2025-03-30 13:35:07.715724,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,35,0.5244426033626992
2025-03-30 13:35:23.047338,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,36,0.5199605201175423
2025-03-30 13:35:38.335225,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,37,0.5185190723268089
2025-03-30 13:35:53.346789,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,38,0.5140441247934688
2025-03-30 13:36:08.444201,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,39,0.5185521877467046
2025-03-30 13:36:23.451087,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,40,0.5185781009849713
2025-03-30 13:36:38.749323,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,41,0.5423737938707999
2025-03-30 13:36:55.001817,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,42,0.567653284862629
2025-03-30 13:37:12.247533,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,43,0.5795301511297322
2025-03-30 13:37:27.296084,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,44,0.576555224380843
2025-03-30 13:37:42.398308,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,45,0.5572044040210627
2025-03-30 13:37:57.467357,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,46,0.5542112081474634
2025-03-30 13:38:12.369669,waveform-v2,SVC,intra_extra_ratio_sampling,0,0,47,0.5423176674354533
