time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 17:59:48.404903,wdbc,SVC,class_likelihood_sampling,0,0,0,0.0
2025-03-30 17:59:48.420845,wdbc,SVC,class_likelihood_sampling,0,0,1,0.27402547279042844
2025-03-30 17:59:48.438810,wdbc,SVC,class_likelihood_sampling,0,0,2,0.6776246023329799
2025-03-30 17:59:48.457511,wdbc,SVC,class_likelihood_sampling,0,0,3,0.9442451907401369
2025-03-30 17:59:48.476836,wdbc,SVC,class_likelihood_sampling,0,0,4,0.9442451907401369
2025-03-30 17:59:48.495958,wdbc,SVC,class_likelihood_sampling,0,0,5,0.9626596790042581
2025-03-30 17:59:48.514863,wdbc,SVC,class_likelihood_sampling,0,0,6,0.9623140495867769
2025-03-30 17:59:48.533964,wdbc,SVC,class_likelihood_sampling,0,0,7,0.9626596790042581
2025-03-30 17:59:48.552946,wdbc,SVC,class_likelihood_sampling,0,0,8,0.8546381893528849
2025-03-30 17:59:48.572170,wdbc,SVC,class_likelihood_sampling,0,0,9,0.834248788368336
2025-03-30 17:59:48.591211,wdbc,SVC,class_likelihood_sampling,0,0,10,0.8214844973379267
2025-03-30 17:59:48.610658,wdbc,SVC,class_likelihood_sampling,0,0,11,0.8722382324687801
2025-03-30 17:59:48.629927,wdbc,SVC,class_likelihood_sampling,0,0,12,0.8909786420146637
2025-03-30 17:59:48.649544,wdbc,SVC,class_likelihood_sampling,0,0,13,0.8909786420146637
2025-03-30 17:59:48.674695,wdbc,SVC,class_likelihood_sampling,0,0,14,0.9079159935379645
2025-03-30 17:59:48.694140,wdbc,SVC,class_likelihood_sampling,0,0,15,0.981243830207305
2025-03-30 17:59:48.713914,wdbc,SVC,class_likelihood_sampling,0,0,16,0.9626596790042581
2025-03-30 17:59:48.733618,wdbc,SVC,class_likelihood_sampling,0,0,17,0.8386284995281534
2025-03-30 17:59:48.752940,wdbc,SVC,class_likelihood_sampling,0,0,18,0.9087415946205571
2025-03-30 17:59:48.772615,wdbc,SVC,class_likelihood_sampling,0,0,19,0.981243830207305
2025-03-30 17:59:48.792624,wdbc,SVC,class_likelihood_sampling,0,0,20,0.9623140495867769
2025-03-30 17:59:48.812953,wdbc,SVC,class_likelihood_sampling,0,0,21,0.9623140495867769
2025-03-30 17:59:48.832777,wdbc,SVC,class_likelihood_sampling,0,0,22,0.8909786420146637
2025-03-30 17:59:48.852920,wdbc,SVC,class_likelihood_sampling,0,0,23,0.8909786420146637
2025-03-30 17:59:48.873476,wdbc,SVC,class_likelihood_sampling,0,0,24,0.9087415946205571
2025-03-30 17:59:48.893918,wdbc,SVC,class_likelihood_sampling,0,0,25,0.9079159935379645
2025-03-30 17:59:48.913987,wdbc,SVC,class_likelihood_sampling,0,0,26,0.9623140495867769
2025-03-30 17:59:48.935154,wdbc,SVC,class_likelihood_sampling,0,0,27,0.9070753179002282
2025-03-30 17:59:48.959124,wdbc,SVC,class_likelihood_sampling,0,0,28,0.9623140495867769
2025-03-30 17:59:48.982472,wdbc,SVC,class_likelihood_sampling,0,0,29,0.9623140495867769
2025-03-30 17:59:49.002605,wdbc,SVC,class_likelihood_sampling,0,0,30,0.9253193580085162
2025-03-30 17:59:49.023050,wdbc,SVC,class_likelihood_sampling,0,0,31,0.9079159935379645
2025-03-30 17:59:49.043527,wdbc,SVC,class_likelihood_sampling,0,0,32,0.9442451907401369
2025-03-30 17:59:49.064791,wdbc,SVC,class_likelihood_sampling,0,0,33,0.9623140495867769
2025-03-30 17:59:49.085888,wdbc,SVC,class_likelihood_sampling,0,0,34,0.9070753179002282
2025-03-30 17:59:49.107051,wdbc,SVC,class_likelihood_sampling,0,0,35,0.9432082364662903
2025-03-30 17:59:49.128268,wdbc,SVC,class_likelihood_sampling,0,0,36,0.9442451907401369
2025-03-30 17:59:49.149345,wdbc,SVC,class_likelihood_sampling,0,0,37,0.9432082364662903
2025-03-30 17:59:49.170281,wdbc,SVC,class_likelihood_sampling,0,0,38,0.9253193580085162
2025-03-30 17:59:49.191712,wdbc,SVC,class_likelihood_sampling,0,0,39,0.9623140495867769
2025-03-30 17:59:49.213318,wdbc,SVC,class_likelihood_sampling,0,0,40,0.9259980525803311
