time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 22:08:45.111347,wine-quality-red,5NN,f3_sampling,0,0,0,0.005630931528268435
2025-03-30 22:08:45.133312,wine-quality-red,5NN,f3_sampling,0,0,1,-0.02297259894824255
2025-03-30 22:08:45.197354,wine-quality-red,5NN,f3_sampling,0,0,2,-0.0035637918745545782
2025-03-30 22:08:45.218547,wine-quality-red,5NN,f3_sampling,0,0,3,0.23210376976084313
2025-03-30 22:08:45.282766,wine-quality-red,5NN,f3_sampling,0,0,4,0.13294703337958047
2025-03-30 22:08:45.346378,wine-quality-red,5NN,f3_sampling,0,0,5,0.1496946690873081
2025-03-30 22:08:45.378091,wine-quality-red,5NN,f3_sampling,0,0,6,0.12530874361929856
2025-03-30 22:08:45.446944,wine-quality-red,5NN,f3_sampling,0,0,7,0.14055033778217174
2025-03-30 22:08:45.557384,wine-quality-red,5NN,f3_sampling,0,0,8,0.08646431501230512
2025-03-30 22:08:45.668301,wine-quality-red,5NN,f3_sampling,0,0,9,0.06236699950892122
2025-03-30 22:08:45.736471,wine-quality-red,5NN,f3_sampling,0,0,10,0.058515854854527594
2025-03-30 22:08:45.804972,wine-quality-red,5NN,f3_sampling,0,0,11,-0.02520735078874603
2025-03-30 22:08:45.873483,wine-quality-red,5NN,f3_sampling,0,0,12,-0.018181818181818077
2025-03-30 22:08:45.941268,wine-quality-red,5NN,f3_sampling,0,0,13,-0.012493915300989755
2025-03-30 22:08:46.009182,wine-quality-red,5NN,f3_sampling,0,0,14,-0.008176782626535095
2025-03-30 22:08:46.119723,wine-quality-red,5NN,f3_sampling,0,0,15,0.040795437929521894
2025-03-30 22:08:46.230334,wine-quality-red,5NN,f3_sampling,0,0,16,0.06577908157508738
2025-03-30 22:08:46.341589,wine-quality-red,5NN,f3_sampling,0,0,17,0.0914650126670743
2025-03-30 22:08:46.453122,wine-quality-red,5NN,f3_sampling,0,0,18,0.0660146699266504
2025-03-30 22:08:46.564074,wine-quality-red,5NN,f3_sampling,0,0,19,0.10883033982101509
2025-03-30 22:08:46.675371,wine-quality-red,5NN,f3_sampling,0,0,20,0.16969382459782034
2025-03-30 22:08:46.786071,wine-quality-red,5NN,f3_sampling,0,0,21,0.1809585914574503
2025-03-30 22:08:46.896206,wine-quality-red,5NN,f3_sampling,0,0,22,0.17528498265322978
2025-03-30 22:08:46.965237,wine-quality-red,5NN,f3_sampling,0,0,23,0.15497606865819447
2025-03-30 22:08:47.033611,wine-quality-red,5NN,f3_sampling,0,0,24,0.14983498349834978
2025-03-30 22:08:47.102566,wine-quality-red,5NN,f3_sampling,0,0,25,0.1907438016528925
2025-03-30 22:08:47.171120,wine-quality-red,5NN,f3_sampling,0,0,26,0.2523612261806131
2025-03-30 22:08:47.239763,wine-quality-red,5NN,f3_sampling,0,0,27,0.2627216973313443
2025-03-30 22:08:47.308696,wine-quality-red,5NN,f3_sampling,0,0,28,0.25704809286898844
2025-03-30 22:08:47.377685,wine-quality-red,5NN,f3_sampling,0,0,29,0.23115161557580777
2025-03-30 22:08:47.446347,wine-quality-red,5NN,f3_sampling,0,0,30,0.21072670087733814
2025-03-30 22:08:47.515504,wine-quality-red,5NN,f3_sampling,0,0,31,0.2171512636990265
2025-03-30 22:08:47.626580,wine-quality-red,5NN,f3_sampling,0,0,32,0.2257809671154415
2025-03-30 22:08:47.737654,wine-quality-red,5NN,f3_sampling,0,0,33,0.23056791415859712
2025-03-30 22:08:47.848808,wine-quality-red,5NN,f3_sampling,0,0,34,0.2264345099064079
2025-03-30 22:08:47.960297,wine-quality-red,5NN,f3_sampling,0,0,35,0.22560945899855445
2025-03-30 22:08:48.071398,wine-quality-red,5NN,f3_sampling,0,0,36,0.19846765875939287
2025-03-30 22:08:48.182934,wine-quality-red,5NN,f3_sampling,0,0,37,0.1636531001380761
2025-03-30 22:08:48.294242,wine-quality-red,5NN,f3_sampling,0,0,38,0.16314413066004385
2025-03-30 22:08:48.405377,wine-quality-red,5NN,f3_sampling,0,0,39,0.16986832167602528
2025-03-30 22:08:48.516681,wine-quality-red,5NN,f3_sampling,0,0,40,0.17421390884136823
2025-03-30 22:08:48.628430,wine-quality-red,5NN,f3_sampling,0,0,41,0.16827057526855194
2025-03-30 22:08:48.740684,wine-quality-red,5NN,f3_sampling,0,0,42,0.17394235354083432
2025-03-30 22:08:48.852970,wine-quality-red,5NN,f3_sampling,0,0,43,0.17684887459807075
2025-03-30 22:08:48.966718,wine-quality-red,5NN,f3_sampling,0,0,44,0.1853333553751797
2025-03-30 22:08:49.078732,wine-quality-red,5NN,f3_sampling,0,0,45,0.18072050346046475
2025-03-30 22:08:49.191572,wine-quality-red,5NN,f3_sampling,0,0,46,0.19697545029799735
2025-03-30 22:08:49.303896,wine-quality-red,5NN,f3_sampling,0,0,47,0.20780313908006132
2025-03-30 22:08:49.416743,wine-quality-red,5NN,f3_sampling,0,0,48,0.20150708926859906
2025-03-30 22:08:49.530671,wine-quality-red,5NN,f3_sampling,0,0,49,0.2016390192320403
2025-03-30 22:08:49.643195,wine-quality-red,5NN,f3_sampling,0,0,50,0.216983003769592
2025-03-30 22:08:49.754507,wine-quality-red,5NN,f3_sampling,0,0,51,0.22253074176913934
2025-03-30 22:08:49.866323,wine-quality-red,5NN,f3_sampling,0,0,52,0.22253074176913934
2025-03-30 22:08:49.977633,wine-quality-red,5NN,f3_sampling,0,0,53,0.21711244090323012
2025-03-30 22:08:50.088794,wine-quality-red,5NN,f3_sampling,0,0,54,0.21711244090323012
2025-03-30 22:08:50.200084,wine-quality-red,5NN,f3_sampling,0,0,55,0.2177589852008457
2025-03-30 22:08:50.311767,wine-quality-red,5NN,f3_sampling,0,0,56,0.2177589852008457
2025-03-30 22:08:50.423750,wine-quality-red,5NN,f3_sampling,0,0,57,0.2126036265151766
2025-03-30 22:08:50.535684,wine-quality-red,5NN,f3_sampling,0,0,58,0.2126036265151766
2025-03-30 22:08:50.647492,wine-quality-red,5NN,f3_sampling,0,0,59,0.20744997027937395
2025-03-30 22:08:50.759729,wine-quality-red,5NN,f3_sampling,0,0,60,0.2128636048469641
2025-03-30 22:08:50.872254,wine-quality-red,5NN,f3_sampling,0,0,61,0.1844300278035218
2025-03-30 22:08:50.983640,wine-quality-red,5NN,f3_sampling,0,0,62,0.1844300278035218
2025-03-30 22:08:51.095227,wine-quality-red,5NN,f3_sampling,0,0,63,0.2016390192320403
2025-03-30 22:08:51.207265,wine-quality-red,5NN,f3_sampling,0,0,64,0.20744997027937395
2025-03-30 22:08:51.319136,wine-quality-red,5NN,f3_sampling,0,0,65,0.22947521192730158
2025-03-30 22:08:51.431062,wine-quality-red,5NN,f3_sampling,0,0,66,0.22947521192730158
2025-03-30 22:08:51.542809,wine-quality-red,5NN,f3_sampling,0,0,67,0.22947521192730158
2025-03-30 22:08:51.654591,wine-quality-red,5NN,f3_sampling,0,0,68,0.240406171699855
2025-03-30 22:08:51.766563,wine-quality-red,5NN,f3_sampling,0,0,69,0.22496457639964418
2025-03-30 22:08:51.878274,wine-quality-red,5NN,f3_sampling,0,0,70,0.22496457639964418
2025-03-30 22:08:51.989782,wine-quality-red,5NN,f3_sampling,0,0,71,0.22496457639964418
2025-03-30 22:08:52.101025,wine-quality-red,5NN,f3_sampling,0,0,72,0.23525727659293938
2025-03-30 22:08:52.211915,wine-quality-red,5NN,f3_sampling,0,0,73,0.22922097205266112
2025-03-30 22:08:52.323051,wine-quality-red,5NN,f3_sampling,0,0,74,0.21814639944530667
2025-03-30 22:08:52.434324,wine-quality-red,5NN,f3_sampling,0,0,75,0.21273363714417814
2025-03-30 22:08:52.545321,wine-quality-red,5NN,f3_sampling,0,0,76,0.21273363714417814
2025-03-30 22:08:52.656596,wine-quality-red,5NN,f3_sampling,0,0,77,0.21273363714417814
2025-03-30 22:08:52.767720,wine-quality-red,5NN,f3_sampling,0,0,78,0.2138629206443422
2025-03-30 22:08:52.878935,wine-quality-red,5NN,f3_sampling,0,0,79,0.2202574994237546
2025-03-30 22:08:52.990275,wine-quality-red,5NN,f3_sampling,0,0,80,0.21974364888464204
2025-03-30 22:08:53.101638,wine-quality-red,5NN,f3_sampling,0,0,81,0.25265392781316354
2025-03-30 22:08:53.213033,wine-quality-red,5NN,f3_sampling,0,0,82,0.23370893404845094
2025-03-30 22:08:53.324114,wine-quality-red,5NN,f3_sampling,0,0,83,0.24004192872117391
2025-03-30 22:08:53.434956,wine-quality-red,5NN,f3_sampling,0,0,84,0.24021401505911433
2025-03-30 22:08:53.546186,wine-quality-red,5NN,f3_sampling,0,0,85,0.2339261285909714
2025-03-30 22:08:53.657639,wine-quality-red,5NN,f3_sampling,0,0,86,0.2339261285909714
2025-03-30 22:08:53.768621,wine-quality-red,5NN,f3_sampling,0,0,87,0.2339261285909714
2025-03-30 22:08:53.880080,wine-quality-red,5NN,f3_sampling,0,0,88,0.2339261285909714
