time,dataset,classifier,method,run,fold,query,kappa
2025-03-30 21:43:52.747259,wine-quality-red,SVC,f3_sampling,0,0,0,0.163659469374543
2025-03-30 21:43:53.031366,wine-quality-red,SVC,f3_sampling,0,0,1,0.004507650307916888
2025-03-30 21:43:53.147794,wine-quality-red,SVC,f3_sampling,0,0,2,0.13657119136571183
2025-03-30 21:43:53.265335,wine-quality-red,SVC,f3_sampling,0,0,3,0.12823710900318375
2025-03-30 21:43:53.332054,wine-quality-red,SVC,f3_sampling,0,0,4,0.22550920728417934
2025-03-30 21:43:53.399248,wine-quality-red,SVC,f3_sampling,0,0,5,0.16002763067004377
2025-03-30 21:43:53.465196,wine-quality-red,SVC,f3_sampling,0,0,6,0.1629072681704261
2025-03-30 21:43:53.533386,wine-quality-red,SVC,f3_sampling,0,0,7,0.16621924643906127
2025-03-30 21:43:53.600295,wine-quality-red,SVC,f3_sampling,0,0,8,0.14321198729011764
2025-03-30 21:43:53.665904,wine-quality-red,SVC,f3_sampling,0,0,9,0.10351156837173348
2025-03-30 21:43:53.732469,wine-quality-red,SVC,f3_sampling,0,0,10,0.1482359773508204
2025-03-30 21:43:53.799043,wine-quality-red,SVC,f3_sampling,0,0,11,0.10741349843603865
2025-03-30 21:43:53.864500,wine-quality-red,SVC,f3_sampling,0,0,12,0.09379072873256211
2025-03-30 21:43:53.930918,wine-quality-red,SVC,f3_sampling,0,0,13,0.06969273518688057
2025-03-30 21:43:53.997032,wine-quality-red,SVC,f3_sampling,0,0,14,0.10852026602682818
2025-03-30 21:43:54.063582,wine-quality-red,SVC,f3_sampling,0,0,15,0.107801898499573
2025-03-30 21:43:54.130009,wine-quality-red,SVC,f3_sampling,0,0,16,0.107801898499573
2025-03-30 21:43:54.195699,wine-quality-red,SVC,f3_sampling,0,0,17,0.11023456570587953
2025-03-30 21:43:54.262245,wine-quality-red,SVC,f3_sampling,0,0,18,0.15407854984894265
2025-03-30 21:43:54.329689,wine-quality-red,SVC,f3_sampling,0,0,19,0.14171215802593806
2025-03-30 21:43:54.397876,wine-quality-red,SVC,f3_sampling,0,0,20,0.13518567213018973
2025-03-30 21:43:54.465822,wine-quality-red,SVC,f3_sampling,0,0,21,0.11693039368229452
2025-03-30 21:43:54.535091,wine-quality-red,SVC,f3_sampling,0,0,22,0.16645212097348216
2025-03-30 21:43:54.603416,wine-quality-red,SVC,f3_sampling,0,0,23,0.12389117476806588
2025-03-30 21:43:54.670574,wine-quality-red,SVC,f3_sampling,0,0,24,0.15660004392708093
2025-03-30 21:43:54.739579,wine-quality-red,SVC,f3_sampling,0,0,25,0.13285924626421464
2025-03-30 21:43:54.807455,wine-quality-red,SVC,f3_sampling,0,0,26,0.13285924626421464
2025-03-30 21:43:54.875080,wine-quality-red,SVC,f3_sampling,0,0,27,0.14077098217790684
2025-03-30 21:43:54.944262,wine-quality-red,SVC,f3_sampling,0,0,28,0.13864051236038488
2025-03-30 21:43:55.012471,wine-quality-red,SVC,f3_sampling,0,0,29,0.13810717934429284
